#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PE-23.ngb-sdg              0-PE-23.ngb-sdg              0-PE-23.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PE-23                      0-PE-23                      0-PE-23                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   01.03.2023 14:41             01.03.2023 14:41             01.03.2023 14:41            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     15-02-2023 16:42             15-02-2023 16:42             15-02-2023 16:42            
#SENSITIVITY:                 15-02-2023 16:42             15-02-2023 16:42             15-02-2023 16:42            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PE-23                      0-PE-23                      0-PE-23                     
#SAMPLE MASS /mg:             1.39                         1.39                         1.39                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       15-02-2023 16:42             15-02-2023 16:42             15-02-2023 16:42            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.05183;            ;-1.04730;1.267621e-02
-48.05183;            ;-0.96447;     1.95963
-47.05183;            ;-1.05975;     2.23141
-46.05183;            ;-1.16667;     2.33699
-45.05183;            ;-1.29148;     2.35167
-44.05183;            ;-1.41590;     2.31841
-43.05183;            ;-1.54256;     2.25193
-42.05183;            ;-1.66808;     2.16933
-41.05183;            ;-1.76746;     2.08151
-40.05183;            ;-1.77658;     1.98091
-39.05183;            ;-1.77677;     1.87364
-38.05183;            ;-1.78758;     1.79441
-37.05183;            ;-1.79217;     1.75928
-36.05183;            ;-1.79856;     1.73471
-35.05183;            ;-1.80252;     1.74945
-34.05183;            ;-1.80683;     1.77855
-33.05183;            ;-1.80991;     1.81012
-32.05183;            ;-1.81387;     1.84111
-31.05183;            ;-1.81587;     1.86755
-30.05183;            ;-1.81695;     1.88874
-29.05183;            ;-1.81774;     1.90220
-28.05183;            ;-1.81854;     1.90938
-27.05183;            ;-1.82070;     1.91530
-26.05183;            ;-1.82384;     1.92152
-25.05183;            ;-1.82835;     1.92604
-24.05183;            ;-1.83266;     1.92983
-23.05183;            ;-1.83684;     1.93509
-22.05183;            ;-1.84123;     1.94065
-21.05183;            ;-1.84665;     1.94667
-20.05183;            ;-1.85210;     1.95344
-19.05183;            ;-1.85764;     1.96238
-18.05183;            ;-1.86193;     1.97061
-17.05183;            ;-1.86491;     1.97968
-16.05183;            ;-1.86813;     1.98764
-15.05183;            ;-1.87092;     1.99601
-14.05183;            ;-1.87394;     2.00536
-13.05183;            ;-1.87862;     2.01357
-12.05183;            ;-1.88119;     2.02143
-11.05183;            ;-1.88575;     2.02830
-10.05183;            ;-1.88805;     2.03529
 -9.05183;            ;-1.89126;     2.04111
 -8.05183;            ;-1.89441;     2.04986
 -7.05183;            ;-1.89633;     2.05457
 -6.05183;            ;-1.89969;     2.06206
 -5.05183;            ;-1.90140;     2.06862
 -4.05183;            ;-1.90556;     2.07631
 -3.05183;            ;-1.90845;     2.08460
 -2.05183;            ;-1.91432;     2.09388
 -1.05183;            ;-1.91785;     2.10017
 -0.05183;            ;-1.92111;     2.10481
  0.94817;            ;-1.92152;     2.11209
  1.94817;            ;-1.92369;     2.11993
  2.94817;            ;-1.92548;     2.12795
  3.94817;            ;-1.92740;     2.13462
  4.94817;            ;-1.93256;     2.14227
  5.94817;            ;-1.93776;     2.15070
  6.94817;            ;-1.94579;     2.15700
  7.94817;            ;-1.95052;     2.16294
  8.94817;            ;-1.95369;     2.16986
  9.94817;            ;-1.95780;     2.17762
 10.94817;            ;-1.95923;     2.18520
 11.94817;            ;-1.96439;     2.19017
 12.94817;            ;-1.96706;     2.19788
 13.94817;            ;-1.97342;     2.20370
 14.94817;            ;-1.97838;     2.20914
 15.94817;            ;-1.98378;     2.21599
 16.94817;            ;-1.98855;     2.22139
 17.94817;            ;-1.99180;     2.22704
 18.94817;5.839960e-02;-1.99458;     2.23113
 19.94817;5.839960e-02;-1.99752;     2.23900
 20.94817;     1.42205;-2.00058;     2.24560
 21.94817;     2.30600;-2.00408;     2.25189
 22.94817;     2.59384;-2.00823;     2.25679
 23.94817;     2.71335;-2.01221;     2.26305
 24.94817;     2.73852;-2.01697;     2.26883
 25.94817;     2.70482;-2.02095;     2.27405
 26.94817;     2.62930;-2.02499;     2.28241
 27.94817;     2.52897;-2.02973;     2.28641
 28.94817;     2.41852;-2.03501;     2.29130
 29.94817;     2.30011;-2.04228;     2.29811
 30.94817;     2.16175;-2.04713;     2.30298
 31.94817;     2.07819;-2.05323;     2.30977
 32.94817;     2.03903;-2.05903;     2.31889
 33.94817;     1.99372;-2.06611;     2.32658
 34.94817;     2.02194;-2.07336;     2.33231
 35.94817;     2.07089;-2.08022;     2.33966
 36.94817;     2.12821;-2.08931;     2.34723
 37.94817;     2.18341;-2.09846;     2.35468
 38.94817;     2.23012;-2.10701;     2.36306
 39.94817;     2.26661;-2.11967;     2.37097
