#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PE-9.ngb-sdg               0-PE-9.ngb-sdg               0-PE-9.ngb-sdg              
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PE-9                       0-PE-9                       0-PE-9                      
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   02.01.2023 19:50             02.01.2023 19:50             02.01.2023 19:50            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PE-9                       0-PE-9                       0-PE-9                      
#SAMPLE MASS /mg:             1.27                         1.27                         1.27                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.04134;             ; -1.76968;-0.17917
-48.04134;             ; -1.76968; 6.14708
-47.04134;             ; -1.54913; 6.18797
-46.04134;             ; -1.70519; 6.03542
-45.04134;             ; -1.92225; 5.85695
-44.04134;             ; -2.20436; 5.69165
-43.04134;             ; -2.57353; 5.54398
-42.04134;             ; -3.05215; 5.43024
-41.04134;             ; -3.63405; 5.23173
-40.04134;             ; -4.22469; 5.03684
-39.04134;             ; -4.46397; 4.77760
-38.04134;             ; -4.44502; 4.67569
-37.04134;             ; -4.46967; 4.60663
-36.04134;             ; -4.45777; 4.39738
-35.04134;             ; -4.45706; 4.36136
-34.04134;             ; -4.45883; 4.35332
-33.04134;             ; -4.46552; 4.35858
-32.04134;             ; -4.47555; 4.35178
-31.04134;             ; -4.48266; 4.34793
-30.04134;             ; -4.49127; 4.34902
-29.04134;             ; -4.50093; 4.34507
-28.04134;             ; -4.50990; 4.34615
-27.04134;             ; -4.51902; 4.35187
-26.04134;             ; -4.52813; 4.34281
-25.04134;             ; -4.53660; 4.34926
-24.04134;             ; -4.54572; 4.35584
-23.04134;             ; -4.55382; 4.36306
-22.04134;             ; -4.56364; 4.37180
-21.04134;             ; -4.56952; 4.38029
-20.04134;             ; -4.57540; 4.39468
-19.04134;             ; -4.58075; 4.40130
-18.04134;             ; -4.58961; 4.40870
-17.04134;             ; -4.59687; 4.42097
-16.04134;             ; -4.60482; 4.43039
-15.04134;             ; -4.61224; 4.44373
-14.04134;             ; -4.61820; 4.45801
-13.04134;             ; -4.62418; 4.47100
-12.04134;             ; -4.62707; 4.48208
-11.04134;             ; -4.63566; 4.49302
-10.04134;             ; -4.64361; 4.50897
 -9.04134;             ; -4.65262; 4.52583
 -8.04134;             ; -4.65754; 4.53680
 -7.04134;             ; -4.66322; 4.55326
 -6.04134;             ; -4.66886; 4.57081
 -5.04134;             ; -4.67549; 4.58398
 -4.04134;             ; -4.68107; 4.60243
 -3.04134;             ; -4.68665; 4.61381
 -2.04134;             ; -4.69119; 4.63029
 -1.04134;             ; -4.69600; 4.64282
 -0.04134;             ; -4.70116; 4.65523
  0.95866;             ; -4.70481; 4.67147
  1.95866;             ; -4.71056; 4.68612
  2.95866;             ; -4.71519; 4.70046
  3.95866;             ; -4.72163; 4.71821
  4.95866;             ; -4.72772; 4.73962
  5.95866;             ; -4.73303; 4.75950
  6.95866;             ; -4.73871; 4.77542
  7.95866;             ; -4.74419; 4.79982
  8.95866;             ; -4.74973; 4.82367
  9.95866;             ; -4.75514; 4.83891
 10.95866;             ; -4.75741; 4.85444
 11.95866;             ; -4.76069; 4.86858
 12.95866;             ; -4.76435; 4.88183
 13.95866;             ; -4.76924; 4.90003
 14.95866;             ; -4.77543; 4.91257
 15.95866;             ; -4.77867; 4.92907
 16.95866;             ; -4.78338; 4.94389
 17.95866;             ; -4.78718; 4.95753
 18.95866;-6.618381e-02; -4.79400; 4.97387
 19.95866;-6.618381e-02; -4.79702; 4.98876
 20.95866;      5.86214; -4.80404; 5.00627
 21.95866;      6.71357; -4.81058; 5.02180
 22.95866;      6.78077; -4.81835; 5.02891
