#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PET-1.ngb-sdg              0-PET-1.ngb-sdg              0-PET-1.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PET-1                      0-PET-1                      0-PET-1                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.12.2022 18:02             13.12.2022 18:02             13.12.2022 18:02            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#SENSITIVITY:                 25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PET-1                      0-PET-1                      0-PET-1                     
#SAMPLE MASS /mg:             1.44                         1.44                         1.44                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-48.94803;             ;-0.78698;-5.510980e-02
-47.94803;             ;-0.70042;      2.53898
-46.94803;             ;-0.78793;      2.24365
-45.94803;             ;-0.85543;      2.02855
-44.94803;             ;-0.98609;      1.88281
-43.94803;             ;-1.16954;      1.78854
-42.94803;             ;-1.39424;      1.73973
-41.94803;             ;-1.70470;      1.72566
-40.94803;             ;-1.69852;      1.73360
-39.94803;             ;-1.81582;      1.69497
-38.94803;             ;-1.79299;      1.66476
-37.94803;             ;-1.80188;      1.57859
-36.94803;             ;-1.80485;      1.61831
-35.94803;             ;-1.80708;      1.50226
-34.94803;             ;-1.80863;      1.53560
-33.94803;             ;-1.80653;      1.66866
-32.94803;             ;-1.81024;      1.75958
-31.94803;             ;-1.80945;      1.80456
-30.94803;             ;-1.80544;      1.82850
-29.94803;             ;-1.79714;      1.82570
-28.94803;             ;-1.80520;      1.82562
-27.94803;             ;-1.82173;      1.80989
-26.94803;             ;-1.82444;      1.80732
-25.94803;             ;-1.82822;      1.79747
-24.94803;             ;-1.82822;      1.78841
-23.94803;             ;-1.83017;      1.79775
-22.94803;             ;-1.82994;      1.78650
-21.94803;             ;-1.83156;      1.78997
-20.94803;             ;-1.83170;      1.79750
-19.94803;             ;-1.83467;      1.79902
-18.94803;             ;-1.83402;      1.81265
-17.94803;             ;-1.83231;      1.81350
-16.94803;             ;-1.83224;      1.81524
-15.94803;             ;-1.83130;      1.81945
-14.94803;             ;-1.82945;      1.82498
-13.94803;             ;-1.82877;      1.82967
-12.94803;             ;-1.82755;      1.83350
-11.94803;             ;-1.82678;      1.83456
-10.94803;             ;-1.82450;      1.84739
 -9.94803;             ;-1.82150;      1.85151
 -8.94803;             ;-1.81994;      1.85287
 -7.94803;             ;-1.81535;      1.85634
 -6.94803;             ;-1.81236;      1.85514
 -5.94803;             ;-1.79912;      1.86679
 -4.94803;             ;-1.79294;      1.86984
 -3.94803;             ;-1.79607;      1.86908
 -2.94803;             ;-1.81254;      1.87806
 -1.94803;             ;-1.81564;      1.87995
 -0.94803;             ;-1.81315;      1.87435
  0.05197;             ;-1.81008;      1.87482
  1.05197;             ;-1.80766;      1.87726
  2.05197;             ;-1.80682;      1.88901
  3.05197;             ;-1.80614;      1.89154
  4.05197;             ;-1.80576;      1.88946
  5.05197;             ;-1.80273;      1.89175
  6.05197;             ;-1.80179;      1.88879
  7.05197;             ;-1.80070;      1.89839
  8.05197;             ;-1.79964;      1.89823
  9.05197;             ;-1.79935;      1.90383
 10.05197;             ;-1.79521;      1.90860
 11.05197;             ;-1.79363;      1.91176
 12.05197;             ;-1.78967;      1.92036
 13.05197;             ;-1.78609;      1.91578
