#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PE-37.ngb-sdg             UV-PE-37.ngb-sdg             UV-PE-37.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PE-37                     UV-PE-37                     UV-PE-37                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   22.12.2022 04:50             22.12.2022 04:50             22.12.2022 04:50            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PE-37                     UV-PE-37                     UV-PE-37                    
#SAMPLE MASS /mg:             1.28                         1.28                         1.28                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.07689;            ;-0.70867;3.529809e-02
-48.07689;            ;-0.70867;     1.77621
-47.07689;            ;-0.64770;     1.99666
-46.07689;            ;-0.70494;     2.06118
-45.07689;            ;-0.77170;     2.04976
-44.07689;            ;-0.85725;     2.00106
-43.07689;            ;-0.93302;     1.93229
-42.07689;            ;-1.06363;     1.85641
-41.07689;            ;-1.20554;     1.77735
-40.07689;            ;-1.35925;     1.68160
-39.07689;            ;-1.46455;     1.58544
-38.07689;            ;-1.47852;     1.49575
-37.07689;            ;-1.46718;     1.47161
-36.07689;            ;-1.47335;     1.44560
-35.07689;            ;-1.47701;     1.46389
-34.07689;            ;-1.48309;     1.48965
-33.07689;            ;-1.48794;     1.51801
-32.07689;            ;-1.49289;     1.54422
-31.07689;            ;-1.49835;     1.56701
-30.07689;            ;-1.50294;     1.58566
-29.07689;            ;-1.50945;     1.59643
-28.07689;            ;-1.51229;     1.60528
-27.07689;            ;-1.51722;     1.61228
-26.07689;            ;-1.52476;     1.61816
-25.07689;            ;-1.52560;     1.62277
-24.07689;            ;-1.52001;     1.62747
-23.07689;            ;-1.48387;     1.63151
-22.07689;            ;-1.48750;     1.63855
-21.07689;            ;-1.56104;     1.64432
-20.07689;            ;-1.56560;     1.65153
-19.07689;            ;-1.57010;     1.66074
-18.07689;            ;-1.57708;     1.66966
-17.07689;            ;-1.58201;     1.67776
-16.07689;            ;-1.58750;     1.68376
-15.07689;            ;-1.59186;     1.69019
-14.07689;            ;-1.59650;     1.69564
-13.07689;            ;-1.60113;     1.70090
-12.07689;            ;-1.60451;     1.70813
-11.07689;            ;-1.61002;     1.71510
-10.07689;            ;-1.61441;     1.72153
 -9.07689;            ;-1.61940;     1.72837
 -8.07689;            ;-1.62425;     1.73589
 -7.07689;            ;-1.62929;     1.74162
 -6.07689;            ;-1.63377;     1.74919
 -5.07689;            ;-1.63705;     1.75779
 -4.07689;            ;-1.64091;     1.76544
 -3.07689;            ;-1.64572;     1.77537
 -2.07689;            ;-1.65087;     1.78200
 -1.07689;            ;-1.65438;     1.78966
 -0.07689;            ;-1.65957;     1.79599
  0.92311;            ;-1.66284;     1.80318
  1.92311;            ;-1.66786;     1.81185
  2.92311;            ;-1.67130;     1.81790
  3.92311;            ;-1.67618;     1.82695
  4.92311;            ;-1.68080;     1.83539
  5.92311;            ;-1.68562;     1.84200
  6.92311;            ;-1.69037;     1.85001
  7.92311;            ;-1.69448;     1.85739
  8.92311;            ;-1.69921;     1.86566
  9.92311;            ;-1.70299;     1.87244
 10.92311;            ;-1.70616;     1.87883
 11.92311;            ;-1.70914;     1.88489
 12.92311;            ;-1.71083;     1.89087
 13.92311;            ;-1.71462;     1.89557
 14.92311;            ;-1.71672;     1.90040
 15.92311;            ;-1.71486;     1.90697
