#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PET-59.ngb-sdg            UV-PET-59.ngb-sdg            UV-PET-59.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PET-59                    UV-PET-59                    UV-PET-59                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   19.01.2023 12:43             19.01.2023 12:43             19.01.2023 12:43            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PET-59                    UV-PET-59                    UV-PET-59                   
#SAMPLE MASS /mg:             1.38                         1.38                         1.38                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.03581;             ;-1.54671;-0.20484
-48.03581;             ;-1.54671; 5.64090
-47.03581;             ;-1.49311; 5.66764
-46.03581;             ;-1.59898; 5.53084
-45.03581;             ;-1.81774; 5.35660
-44.03581;             ;-2.11746; 5.19436
-43.03581;             ;-2.51456; 5.05043
-42.03581;             ;-3.00406; 4.94651
-41.03581;             ;-3.54550; 4.75303
-40.03581;             ;-3.97209; 4.56458
-39.03581;             ;-4.08285; 4.30099
-38.03581;             ;-4.06634; 4.20686
-37.03581;             ;-4.07075; 4.13590
-36.03581;             ;-4.07289; 3.82010
-35.03581;             ;-4.07852; 3.88154
-34.03581;             ;-4.08581; 3.90293
-33.03581;             ;-4.09297; 3.92646
-32.03581;             ;-4.09899; 3.95121
-31.03581;             ;-4.10209; 3.94860
-30.03581;             ;-4.11095; 3.95120
-29.03581;             ;-4.12492; 3.95012
-28.03581;             ;-4.12881; 3.94779
-27.03581;             ;-4.13272; 3.95777
-26.03581;             ;-4.14809; 3.95767
-25.03581;             ;-4.16210; 3.95683
-24.03581;             ;-4.17120; 3.97837
-23.03581;             ;-4.18059; 3.97614
-22.03581;             ;-4.18588; 3.99298
-21.03581;             ;-4.19326; 4.01335
-20.03581;             ;-4.19855; 4.02698
-19.03581;             ;-4.20547; 4.02763
-18.03581;             ;-4.21040; 4.03998
-17.03581;             ;-4.21809; 4.05111
-16.03581;             ;-4.22432; 4.06306
-15.03581;             ;-4.22879; 4.07666
-14.03581;             ;-4.23489; 4.08754
-13.03581;             ;-4.23957; 4.09988
-12.03581;             ;-4.24551; 4.11391
-11.03581;             ;-4.25101; 4.12467
-10.03581;             ;-4.25519; 4.14132
 -9.03581;             ;-4.26099; 4.15429
 -8.03581;             ;-4.26363; 4.16815
 -7.03581;             ;-4.26391; 4.18181
 -6.03581;             ;-4.26631; 4.19634
 -5.03581;             ;-4.27089; 4.21406
 -4.03581;             ;-4.27741; 4.22798
 -3.03581;             ;-4.28214; 4.24657
 -2.03581;             ;-4.28491; 4.25727
 -1.03581;             ;-4.28779; 4.26740
 -0.03581;             ;-4.28968; 4.27748
  0.96419;             ;-4.28922; 4.28790
  1.96419;             ;-4.29520; 4.29936
  2.96419;             ;-4.29926; 4.31134
  3.96419;             ;-4.30710; 4.32590
  4.96419;             ;-4.30968; 4.33958
  5.96419;             ;-4.31253; 4.35346
  6.96419;             ;-4.31707; 4.36508
  7.96419;             ;-4.31891; 4.37970
  8.96419;             ;-4.32018; 4.39338
  9.96419;             ;-4.32319; 4.40476
 10.96419;             ;-4.32699; 4.41988
 11.96419;             ;-4.33094; 4.43311
 12.96419;             ;-4.33417; 4.44491
 13.96419;             ;-4.33324; 4.45508
 14.96419;             ;-4.33496; 4.46661
 15.96419;             ;-4.33677; 4.47775
 16.96419;             ;-4.33688; 4.48775
 17.96419;             ;-4.33979; 4.50043
 18.96419;-7.879723e-02;-4.34126; 4.51221
 19.96419;-7.879723e-02;-4.34528; 4.52317
 20.96419;      6.82190;-4.34867; 4.53463
 21.96419;      6.47009;-4.35004; 4.55005
 22.96419;      6.06128;-4.35383; 4.55954
 23.96419;      5.75821;-4.35383; 4.57222
 24.96419;      5.53189;-4.35536; 4.58438
 25.96419;      5.38091;-4.35515; 4.59567
 26.96419;      5.28787;-4.35350; 4.60785
 27.96419;      5.21213;-4.35435; 4.61758
 28.96419;      5.07612;-4.35218; 4.63082
 29.96419;      4.80621;-4.35257; 4.63952
 30.96419;      4.72992;-4.35469; 4.64747
 31.96419;      4.67501;-4.35281; 4.65887
 32.96419;      4.56066;-4.35390; 4.67006
 33.96419;      4.54230;-4.35259; 4.67936
 34.96419;      4.54210;-4.35097; 4.68971
 35.96419;      4.54595;-4.35240; 4.69922
 36.96419;      4.55951;-4.35023; 4.70705
 37.96419;      4.57427;-4.35213; 4.71721
 38.96419;      4.58627;-4.35191; 4.72650
 39.96419;      4.59894;-4.35094; 4.73896
 40.96419;      4.60856;-4.35173; 4.74620
 41.96419;      4.62204;-4.35044; 4.75887
 42.96419;      4.63463;-4.34883; 4.76796
 43.96419;      4.65038;-4.34959; 4.77817
 44.96419;      4.66763;-4.34738; 4.78907
 45.96419;      4.68165;-4.34634; 4.79776
 46.96419;      4.69916;-4.34497; 4.80925
 47.96419;      4.71446;-4.34078; 4.81786
 48.96419;      4.73039;-4.33945; 4.82621
 49.96419;      4.74853;-4.33693; 4.83696
 50.96419;      4.76415;-4.33549; 4.84502
 51.96419;      4.78153;-4.33560; 4.85524
 52.96419;      4.79876;-4.33362; 4.86402
 53.96419;      4.81518;-4.33426; 4.87514
 54.96419;      4.83325;-4.33319; 4.88590
 55.96419;      4.84935;-4.33113; 4.89444
 56.96419;      4.86762;-4.32971; 4.90472
 57.96419;      4.88591;-4.32500; 4.91509
 58.96419;      4.90380;-4.32262; 4.92592
 59.96419;      4.92323;-4.32033; 4.93791
 60.96419;      4.94000;-4.31780; 4.94924
 61.96419;      4.95770;-4.31838; 4.96145
 62.96419;      4.97417;-4.31621; 4.97208
 63.96419;      4.98972;-4.31437; 4.97961
 64.96419;      5.00717;-4.31230; 4.99036
 65.96419;      5.02260;-4.30878; 5.00162
 66.96419;      5.03946;-4.30741; 5.01015
 67.96419;      5.05730;-4.30588; 5.02095
 68.96419;      5.07206;-4.30639; 5.03062
 69.96419;      5.08942;-4.30680; 5.04276
