#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PE-1.ngb-sdg              eb-PE-1.ngb-sdg              eb-PE-1.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PE-1                      eb-PE-1                      eb-PE-1                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   09.01.2023 09:10             09.01.2023 09:10             09.01.2023 09:10            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PE-1                      eb-PE-1                      eb-PE-1                     
#SAMPLE MASS /mg:             1.18                         1.18                         1.18                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.04042;             ;-1.94654;-0.20251
-48.04042;             ;-1.86423; 6.88503
-47.04042;             ;-1.85034; 6.87928
-46.04042;             ;-2.10207; 6.71574
-45.04042;             ;-2.42792; 6.51864
-44.04042;             ;-2.89050; 6.33163
-43.04042;             ;-3.48598; 6.17849
-42.04042;             ;-4.19400; 6.05531
-41.04042;             ;-4.80722; 5.80890
-40.04042;             ;-5.01353; 5.56515
-39.04042;             ;-4.98878; 5.24396
-38.04042;             ;-4.98032; 5.12508
-37.04042;             ;-4.98689; 5.05505
-36.04042;             ;-4.98854; 4.65253
-35.04042;             ;-4.99295; 4.69458
-34.04042;             ;-5.00339; 4.73968
-33.04042;             ;-5.01318; 4.75828
-32.04042;             ;-5.02491; 4.78674
-31.04042;             ;-5.03288; 4.79115
-30.04042;             ;-5.03857; 4.79205
-29.04042;             ;-5.04309; 4.80268
-28.04042;             ;-5.05093; 4.78540
-27.04042;             ;-5.06044; 4.80723
-26.04042;             ;-5.07018; 4.79828
-25.04042;             ;-5.07989; 4.80166
-24.04042;             ;-5.08870; 4.82319
-23.04042;             ;-5.10002; 4.82918
-22.04042;             ;-5.11242; 4.83887
-21.04042;             ;-5.12187; 4.85446
-20.04042;             ;-5.12757; 4.86677
-19.04042;             ;-5.13310; 4.88725
-18.04042;             ;-5.14009; 4.89831
-17.04042;             ;-5.14615; 4.91676
-16.04042;             ;-5.15591; 4.94366
-15.04042;             ;-5.16050; 4.94030
-14.04042;             ;-5.16609; 4.97657
-13.04042;             ;-5.17078; 4.99401
-12.04042;             ;-5.17576; 5.00428
-11.04042;             ;-5.18313; 5.01728
-10.04042;             ;-5.18732; 5.03599
 -9.04042;             ;-5.19271; 5.06663
 -8.04042;             ;-5.19863; 5.07442
 -7.04042;             ;-5.20431; 5.09208
 -6.04042;             ;-5.21271; 5.12110
 -5.04042;             ;-5.21894; 5.11949
 -4.04042;             ;-5.22416; 5.13609
 -3.04042;             ;-5.23075; 5.16862
 -2.04042;             ;-5.23266; 5.17107
 -1.04042;             ;-5.23958; 5.19405
 -0.04042;             ;-5.24158; 5.21186
  0.95958;             ;-5.24543; 5.22344
  1.95958;             ;-5.24838; 5.23185
  2.95958;             ;-5.25433; 5.25007
  3.95958;             ;-5.25990; 5.28275
  4.95958;             ;-5.26533; 5.28443
  5.95958;             ;-5.26754; 5.30478
  6.95958;             ;-5.27266; 5.32729
  7.95958;             ;-5.27666; 5.33693
  8.95958;             ;-5.28043; 5.37153
  9.95958;             ;-5.28588; 5.39157
 10.95958;             ;-5.29036; 5.40650
 11.95958;             ;-5.29670; 5.43639
 12.95958;             ;-5.30062; 5.43445
