#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PE-50.ngb-sdg             eb-PE-50.ngb-sdg             eb-PE-50.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PE-50                     eb-PE-50                     eb-PE-50                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.01.2023 19:47             13.01.2023 19:47             13.01.2023 19:47            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    MH                           MH                           MH                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PE-50                     eb-PE-50                     eb-PE-50                    
#SAMPLE MASS /mg:             1.50                         1.50                         1.50                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.78609;            ;-2.12587;-4.273458e-02
-48.78609;            ;-2.03895;      5.12837
-47.78609;            ;-2.58208;      5.59612
-46.78609;            ;-3.21564;      5.52870
-45.78609;            ;-3.66782;      5.38825
-44.78609;            ;-3.73477;      5.23504
-43.78609;            ;-3.72196;      5.09441
-42.78609;            ;-3.72482;      4.97927
-41.78609;            ;-3.72697;      4.85555
-40.78609;            ;-3.73115;      4.65258
-39.78609;            ;-3.73607;      4.34851
-38.78609;            ;-3.74201;      4.22552
-37.78609;            ;-3.74648;      4.13184
-36.78609;            ;-3.75446;      3.85029
-35.78609;            ;-3.76365;      3.77182
-34.78609;            ;-3.77164;      3.81005
-33.78609;            ;-3.78057;      3.83231
-32.78609;            ;-3.79241;      3.84492
-31.78609;            ;-3.80374;      3.86210
-30.78609;            ;-3.81670;      3.85698
-29.78609;            ;-3.82552;      3.86978
-28.78609;            ;-3.83425;      3.85254
-27.78609;            ;-3.83964;      3.84789
-26.78609;            ;-3.84879;      3.84913
-25.78609;            ;-3.85492;      3.83914
-24.78609;            ;-3.86087;      3.85023
-23.78609;            ;-3.86580;      3.93785
-22.78609;            ;-3.87209;      3.88221
-21.78609;            ;-3.88005;      3.86674
-20.78609;            ;-3.89095;      3.86730
-19.78609;            ;-3.89609;      3.87415
-18.78609;            ;-3.90534;      3.88915
-17.78609;            ;-3.91008;      3.87947
-16.78609;            ;-3.91974;      3.90150
-15.78609;            ;-3.92746;      3.90610
-14.78609;            ;-3.93472;      3.92555
-13.78609;            ;-3.94537;      3.94361
-12.78609;            ;-3.95238;      3.94164
-11.78609;            ;-3.96161;      3.96050
-10.78609;            ;-3.96890;      3.96794
 -9.78609;            ;-3.97491;      3.96467
 -8.78609;            ;-3.98136;      3.98856
 -7.78609;            ;-3.98551;      3.99309
 -6.78609;            ;-3.98881;      4.02027
 -5.78609;            ;-3.99221;      4.03346
 -4.78609;            ;-3.99645;      4.03590
 -3.78609;            ;-4.00168;      4.05640
 -2.78609;            ;-4.00899;      4.06544
 -1.78609;            ;-4.01548;      4.08120
 -0.78609;            ;-4.02431;      4.10194
  0.21391;            ;-4.03226;      4.10271
  1.21391;            ;-4.03865;      4.11010
  2.21391;            ;-4.04621;      4.10832
  3.21391;            ;-4.05334;      4.12078
  4.21391;            ;-4.05430;      4.13434
  5.21391;            ;-4.05666;      4.15139
  6.21391;            ;-4.04602;      4.17606
  7.21391;            ;-4.05043;      4.18556
  8.21391;            ;-4.04886;      4.20347
  9.21391;            ;-4.04208;      4.23309
 10.21391;            ;-4.07268;      4.23453
 11.21391;            ;-4.11306;      4.23162
 12.21391;            ;-4.24906;      4.25088
 13.21391;            ;-4.26573;      4.25884
 14.21391;            ;-4.07630;      4.27692
 15.21391;            ;-4.08453;      4.27987
 16.21391;            ;-4.08681;      4.28772
 17.21391;            ;-4.09045;      4.31157
 18.21391;1.702265e-03;-4.09537;      4.30969
 19.21391;1.702265e-03;-4.10017;      4.33732
 20.21391;1.702265e-03;-4.10804;      4.34641
 21.21391;     5.60290;-4.11432;      4.35885
 22.21391;     5.97738;-4.12647;      4.37617
 23.21391;     5.96879;-4.13693;      4.38395
 24.21391;     5.87317;-4.13579;      4.40443
 25.21391;     5.75663;-4.12689;      4.41791
 26.21391;     5.63565;-4.12699;      4.41925
 27.21391;     5.52951;-4.13326;      4.43775
 28.21391;     5.36094;-4.14151;      4.45176
 29.21391;     5.15494;-4.14580;      4.45456
 30.21391;     4.84207;-4.15272;      4.47171
 31.21391;     4.71083;-4.15761;      4.48668
 32.21391;     4.61513;-4.16340;      4.49857
 33.21391;     4.24932;-4.16992;      4.51123
 34.21391;     4.25592;-4.17631;      4.51932
 35.21391;     4.30451;-4.18531;      4.53587
 36.21391;     4.36370;-4.19540;      4.54312
 37.21391;     4.42553;-4.20535;      4.55165
 38.21391;     4.44395;-4.21257;      4.56232
 39.21391;     4.47576;-4.22202;      4.55784
 40.21391;     4.48284;-4.23098;      4.58058
 41.21391;     4.48975;-4.24176;      4.57977
 42.21391;     4.50264;-4.25767;      4.59411
 43.21391;     4.50458;-4.26897;      4.60126
 44.21391;     4.52789;-4.27850;      4.60217
 45.21391;     4.54021;-4.28848;      4.61775
 46.21391;     4.55261;-4.29766;      4.62879
 47.21391;     4.58025;-4.30941;      4.64261
 48.21391;     4.58799;-4.32084;      4.66103
 49.21391;     4.61158;-4.33818;      4.66517
 50.21391;     4.62681;-4.35481;      4.69228
