#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PET-35.ngb-sdg            eb-PET-35.ngb-sdg            eb-PET-35.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PET-35                    eb-PET-35                    eb-PET-35                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   12.01.2023 23:15             12.01.2023 23:15             12.01.2023 23:15            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PET-35                    eb-PET-35                    eb-PET-35                   
#SAMPLE MASS /mg:             1.23                         1.23                         1.23                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.03246;             ;-1.69625;-0.22808
-48.03246;             ;-1.69625; 6.38945
-47.03246;             ;-1.47792; 6.37289
-46.03246;             ;-1.60554; 6.21397
-45.03246;             ;-1.79891; 6.01438
-44.03246;             ;-2.05839; 5.83117
-43.03246;             ;-2.43087; 5.67483
-42.03246;             ;-2.92493; 5.55701
-41.03246;             ;-3.56068; 5.31201
-40.03246;             ;-4.20718; 5.08340
-39.03246;             ;-4.52707; 4.76076
-38.03246;             ;-4.52198; 4.64015
-37.03246;             ;-4.52505; 4.54595
-36.03246;             ;-4.51640; 4.16994
-35.03246;             ;-4.51457; 4.21345
-34.03246;             ;-4.51450; 4.24737
-33.03246;             ;-4.51961; 4.28908
-32.03246;             ;-4.52361; 4.30402
-31.03246;             ;-4.52866; 4.29044
-30.03246;             ;-4.53260; 4.30407
-29.03246;             ;-4.53690; 4.28714
-28.03246;             ;-4.53803; 4.28373
-27.03246;             ;-4.53915; 4.29721
-26.03246;             ;-4.54210; 4.28562
-25.03246;             ;-4.54907; 4.28330
-24.03246;             ;-4.55409; 4.28656
-23.03246;             ;-4.56017; 4.28199
-22.03246;             ;-4.56240; 4.30801
-21.03246;             ;-4.56760; 4.30308
-20.03246;             ;-4.57142; 4.31763
-19.03246;             ;-4.57631; 4.33003
-18.03246;             ;-4.57937; 4.33991
-17.03246;             ;-4.58387; 4.35485
-16.03246;             ;-4.58956; 4.36577
-15.03246;             ;-4.59227; 4.37913
-14.03246;             ;-4.59427; 4.39111
-13.03246;             ;-4.59602; 4.40378
-12.03246;             ;-4.59740; 4.41955
-11.03246;             ;-4.60118; 4.43121
-10.03246;             ;-4.60176; 4.44394
 -9.03246;             ;-4.60320; 4.45737
 -8.03246;             ;-4.60398; 4.47000
 -7.03246;             ;-4.60555; 4.48134
 -6.03246;             ;-4.60882; 4.49098
 -5.03246;             ;-4.61233; 4.50561
 -4.03246;             ;-4.61510; 4.52092
 -3.03246;             ;-4.61937; 4.53191
 -2.03246;             ;-4.62208; 4.54655
 -1.03246;             ;-4.62324; 4.55210
 -0.03246;             ;-4.62493; 4.56513
  0.96754;             ;-4.62394; 4.57659
  1.96754;             ;-4.62434; 4.58465
  2.96754;             ;-4.62241; 4.59534
  3.96754;             ;-4.62263; 4.60540
  4.96754;             ;-4.62658; 4.62110
  5.96754;             ;-4.62933; 4.63622
  6.96754;             ;-4.63102; 4.65503
  7.96754;             ;-4.63102; 4.67622
  8.96754;             ;-4.63033; 4.69514
  9.96754;             ;-4.63186; 4.71682
 10.96754;             ;-4.63398; 4.73038
 11.96754;             ;-4.63529; 4.74287
 12.96754;             ;-4.63906; 4.75559
 13.96754;             ;-4.63780; 4.76141
 14.96754;             ;-4.63875; 4.76903
 15.96754;             ;-4.63681; 4.78177
 16.96754;             ;-4.63569; 4.79129
 17.96754;             ;-4.63780; 4.80303
 18.96754;-6.544685e-02;-4.63858; 4.81473
 19.96754;-6.544685e-02;-4.64014; 4.82489
 20.96754;      7.68515;-4.64008; 4.83760
 21.96754;      7.19349;-4.63767; 4.84971
 22.96754;      6.69503;-4.63816; 4.86319
 23.96754;      6.32730;-4.63613; 4.87915
 24.96754;      6.06825;-4.63560; 4.89092
 25.96754;      5.89359;-4.63803; 4.90281
 26.96754;      5.78834;-4.63812; 4.91888
 27.96754;      5.70021;-4.64000; 4.92876
 28.96754;      5.53827;-4.64121; 4.93868
 29.96754;      5.21008;-4.64245; 4.95053
 30.96754;      5.12842;-4.64480; 4.96456
 31.96754;      5.06474;-4.64283; 4.97685
 32.96754;      4.93628;-4.64268; 4.98671
 33.96754;      4.91051;-4.64240; 4.99859
 34.96754;      4.90539;-4.63953; 5.00932
 35.96754;      4.90541;-4.63910; 5.02024
 36.96754;      4.91110;-4.63788; 5.03086
 37.96754;      4.91976;-4.63517; 5.04580
 38.96754;      4.93100;-4.63325; 5.05260
 39.96754;      4.93670;-4.63084; 5.06260
 40.96754;      4.94388;-4.63130; 5.07637
 41.96754;      4.95273;-4.63320; 5.08462
 42.96754;      4.95974;-4.63541; 5.08482
 43.96754;      4.97270;-4.63954; 5.08885
 44.96754;      4.98390;-4.63806; 5.09028
 45.96754;      4.99761;-4.63676; 5.09237
 46.96754;      5.01296;-4.63515; 5.09865
 47.96754;      5.02307;-4.63215; 5.10231
 48.96754;      5.03671;-4.63180; 5.11123
 49.96754;      5.04713;-4.62924; 5.11542
 50.96754;      5.06055;-4.62607; 5.11835
 51.96754;      5.07647;-4.62527; 5.12456
 52.96754;      5.08980;-4.62152; 5.13251
