#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PET-43.ngb-sdg            eb-PET-43.ngb-sdg            eb-PET-43.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PET-43                    eb-PET-43                    eb-PET-43                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   14.01.2023 10:34             14.01.2023 10:34             14.01.2023 10:34            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    MH                           MH                           MH                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PET-43                    eb-PET-43                    eb-PET-43                   
#SAMPLE MASS /mg:             1.47                         1.47                         1.47                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.42238;            ;-1.78801;-9.795057e-02
-48.42238;            ;-1.68898;      5.12921
-47.42238;            ;-2.06748;      5.29624
-46.42238;            ;-2.53989;      5.17511
-45.42238;            ;-3.07433;      5.01846
-44.42238;            ;-3.51292;      4.85870
-43.42238;            ;-3.67580;      4.71995
-42.42238;            ;-3.70624;      4.60726
-41.42238;            ;-3.80081;      4.46029
-40.42238;            ;-3.71902;      4.27032
-39.42238;            ;-3.66541;      3.99869
-38.42238;            ;-3.61600;      3.89407
-37.42238;            ;-3.61244;      3.81794
-36.42238;            ;-3.61345;      3.52589
-35.42238;            ;-3.61549;      3.51528
-34.42238;            ;-3.61773;      3.55437
-33.42238;            ;-3.61958;      3.57332
-32.42238;            ;-3.62190;      3.59855
-31.42238;            ;-3.62357;      3.60831
-30.42238;            ;-3.62373;      3.60223
-29.42238;            ;-3.62590;      3.60106
-28.42238;            ;-3.62759;      3.59448
-27.42238;            ;-3.62967;      3.59283
-26.42238;            ;-3.63355;      3.60023
-25.42238;            ;-3.63571;      3.59478
-24.42238;            ;-3.63908;      3.60088
-23.42238;            ;-3.64050;      3.59903
-22.42238;            ;-3.64379;      3.61038
-21.42238;            ;-3.64797;      3.61591
-20.42238;            ;-3.64939;      3.61350
-19.42238;            ;-3.65184;      3.62447
-18.42238;            ;-3.65384;      3.62919
-17.42238;            ;-3.65566;      3.64122
-16.42238;            ;-3.65876;      3.64872
-15.42238;            ;-3.66150;      3.66113
-14.42238;            ;-3.66331;      3.67283
-13.42238;            ;-3.66869;      3.67976
-12.42238;            ;-3.66959;      3.69033
-11.42238;            ;-3.67256;      3.70161
-10.42238;            ;-3.67468;      3.71285
 -9.42238;            ;-3.67614;      3.72566
 -8.42238;            ;-3.68132;      3.73712
 -7.42238;            ;-3.68181;      3.74869
 -6.42238;            ;-3.68396;      3.75730
 -5.42238;            ;-3.68554;      3.77168
 -4.42238;            ;-3.68626;      3.77878
 -3.42238;            ;-3.69149;      3.79454
 -2.42238;            ;-3.69424;      3.80455
 -1.42238;            ;-3.69696;      3.81760
 -0.42238;            ;-3.69970;      3.82647
  0.57762;            ;-3.70034;      3.83729
  1.57762;            ;-3.70434;      3.84810
  2.57762;            ;-3.70656;      3.85718
  3.57762;            ;-3.70838;      3.86857
  4.57762;            ;-3.71101;      3.87687
  5.57762;            ;-3.71168;      3.88725
  6.57762;            ;-3.71341;      3.89702
  7.57762;            ;-3.71592;      3.91115
  8.57762;            ;-3.71612;      3.92626
  9.57762;            ;-3.71973;      3.93789
 10.57762;            ;-3.72077;      3.95007
 11.57762;            ;-3.72173;      3.96291
 12.57762;            ;-3.72401;      3.97537
