#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PET-72.ngb-sdg            eb-PET-72.ngb-sdg            eb-PET-72.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PET-72                    eb-PET-72                    eb-PET-72                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   09.02.2023 18:41             09.02.2023 18:41             09.02.2023 18:41            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PET-72                    eb-PET-72                    eb-PET-72                   
#SAMPLE MASS /mg:             1.3                          1.3                          1.3                         
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.05402;             ;-1.28724;-0.10823
-48.05402;             ;-1.10007; 4.68194
-47.05402;             ;-1.14828; 4.65226
-46.05402;             ;-1.28353; 4.50275
-45.05402;             ;-1.49536; 4.33803
-44.05402;             ;-1.79690; 4.18482
-43.05402;             ;-2.19408; 4.05176
-42.05402;             ;-2.69305; 3.95426
-41.05402;             ;-3.13352; 3.79223
-40.05402;             ;-3.25059; 3.61486
-39.05402;             ;-3.25754; 3.33949
-38.05402;             ;-3.25035; 3.25296
-37.05402;             ;-3.25211; 3.19740
-36.05402;             ;-3.25538; 3.10535
-35.05402;             ;-3.25764; 3.09680
-34.05402;             ;-3.26255; 3.10300
-33.05402;             ;-3.26573; 3.11363
-32.05402;             ;-3.26996; 3.13650
-31.05402;             ;-3.27252; 3.15732
-30.05402;             ;-3.27413; 3.17615
-29.05402;             ;-3.27629; 3.18804
-28.05402;             ;-3.27999; 3.19489
-27.05402;             ;-3.28275; 3.20064
-26.05402;             ;-3.28563; 3.20929
-25.05402;             ;-3.29046; 3.21930
-24.05402;             ;-3.29747; 3.22857
-23.05402;             ;-3.30557; 3.24103
-22.05402;             ;-3.31094; 3.25370
-21.05402;             ;-3.31595; 3.26528
-20.05402;             ;-3.32085; 3.27931
-19.05402;             ;-3.32548; 3.29020
-18.05402;             ;-3.33061; 3.30349
-17.05402;             ;-3.33347; 3.31449
-16.05402;             ;-3.33875; 3.32588
-15.05402;             ;-3.34093; 3.33844
-14.05402;             ;-3.34277; 3.34917
-13.05402;             ;-3.34564; 3.36260
-12.05402;             ;-3.34554; 3.37216
-11.05402;             ;-3.34709; 3.38352
-10.05402;             ;-3.34883; 3.39651
 -9.05402;             ;-3.35152; 3.40630
 -8.05402;             ;-3.35476; 3.41905
 -7.05402;             ;-3.35631; 3.43111
 -6.05402;             ;-3.35745; 3.44186
 -5.05402;             ;-3.35994; 3.45585
 -4.05402;             ;-3.36207; 3.46723
 -3.05402;             ;-3.36761; 3.47642
 -2.05402;             ;-3.37248; 3.48808
 -1.05402;             ;-3.37432; 3.49727
 -0.05402;             ;-3.37753; 3.50894
  0.94598;             ;-3.37624; 3.52053
  1.94598;             ;-3.37634; 3.53351
  2.94598;             ;-3.37600; 3.54681
  3.94598;             ;-3.37778; 3.55807
  4.94598;             ;-3.38262; 3.56696
  5.94598;             ;-3.38603; 3.57800
  6.94598;             ;-3.39199; 3.58814
  7.94598;             ;-3.39372; 3.60044
  8.94598;             ;-3.39495; 3.61106
  9.94598;             ;-3.39510; 3.62311
 10.94598;             ;-3.39740; 3.63496
 11.94598;             ;-3.39754; 3.64341
 12.94598;             ;-3.40034; 3.65143
 13.94598;             ;-3.40060; 3.66095
 14.94598;             ;-3.40259; 3.66746
 15.94598;             ;-3.40678; 3.67661
 16.94598;             ;-3.40825; 3.68311
 17.94598;             ;-3.41192; 3.69023
 18.94598;-3.228365e-02;-3.41255; 3.69786
 19.94598;-3.228365e-02;-3.41460; 3.70368
 20.94598;      5.66721;-3.41787; 3.71117
 21.94598;      5.27313;-3.41848; 3.71625
