Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tc in °C,∆Hc in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tc,2 in °C"
0-PE-1_1,1.17,36,99.77,93.3,-119.1,,x,,l,,x,,,1st Cooling,
0-PE-1_2,1.22,36,99.85,93.4,-120.8,,x,,l,,x,,,1st Cooling,
0-PE-1_3,1.19,36,99.29,93.4,-119.5,,x,,l,,x,,,1st Cooling,
0-PE-1_4,1.27,36,99.3,93.2,-121.3,,x,,l,,x,,,1st Cooling,
0-PE-1_5,1.41,36,98.71,93.4,-119,,x,,l,,x,,,1st Cooling,
0-PE-2_1,1.48,36,99.55,93.6,-122.1,,x,,l,,x,,,1st Cooling,
0-PE-2_2,1.44,36,99.99,93.6,-123.7,,x,,l,,x,,,1st Cooling,
0-PE-2_3,1.42,36,100.6,93.6,-121.4,,x,,l,,x,,,1st Cooling,
0-PE-2_4,1.49,36,99.98,93.5,-122.9,,x,,l,,x,,,1st Cooling,
0-PE-2_5,1.42,36,99.55,93.4,-122,,x,,l,,x,,,1st Cooling,
0-PE-3_1,1.4,36,100.58,93.6,-123.8,,x,,l,,x,,,1st Cooling,
0-PE-3_2,1.44,36,99.5,93.5,-123.6,,x,,l,,x,,,1st Cooling,
0-PE-3_3,1.1,36,99.46,93.6,-124.7,,x,,l,,x,,,1st Cooling,
0-PE-3_4,1.33,36,99.35,93.6,-125.3,,x,,l,,x,,,1st Cooling,
0-PE-3_5,1.44,36,99.8,93.5,-121.8,,x,,l,,x,,,1st Cooling,
0-PE-4_1,1.28,35.82,99,93.2,-119.9,,x,,l,,x,,,1st Cooling,
0-PE-4_2,1.47,35.68,99.23,93.4,-121,,x,,l,,x,,,1st Cooling,
0-PE-4_3,1.39,36,99.41,93.6,-121.5,,x,,l,,x,,,1st Cooling,
0-PE-4_4,1.5,36,99,93.2,-120.9,,x,,l,,x,,,1st Cooling,
0-PE-4_5,1.22,36,99.42,93.5,-121.2,,x,,l,,x,,,1st Cooling,
1-UV-PE-1_1,1.27,36,99.28,94.3,-124.2,,x,,l,,x,,,1st Cooling,
1-UV-PE-1_2,1.41,36,100.21,94.3,-124.1,,x,,l,,x,,,1st Cooling,
1-UV-PE-1_3,1.28,36,99.39,94,-122.6,,x,,l,,x,,,1st Cooling,
1-UV-PE-1_4,1.5,36,99.27,94.4,-123.4,,x,,l,,x,,,1st Cooling,
1-UV-PE-1_5,1.06,36,98.92,93.9,-119,,x,,l,,x,,,1st Cooling,
1-UV-PE-2_1,1.36,36,99.1,94.2,-122.3,,x,,l,,x,,,1st Cooling,
