Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tm in °C,∆Hm in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tm,2 in °C",Peak Signal Characterisation_Quasibimodal
0-PE-1_1,1.17,55.1,118,110.3,109.6,,x,,l,,x,,,1st Heating,,
0-PE-1_2,1.22,55,119.8,108.5,106,,x,,l,,x,,,1st Heating,,
0-PE-1_3,1.19,55,118,110.1,110.2,,x,,l,,x,,,1st Heating,,
0-PE-1_4,1.27,55,118.22,110.7,108,,x,,l,,x,,,1st Heating,,
0-PE-1_5,1.41,55,118.42,110.6,109.4,,x,,l,,x,,,1st Heating,,
0-PE-2_1,1.48,55,121.81,108.6,113.9,,x,,l,,x,,,1st Heating,,
0-PE-2_2,1.44,55,120.08,109.3,116.3,,x,,l,,x,,,1st Heating,,
0-PE-2_3,1.42,55,120.48,109.9,114.1,,x,,l,,x,,,1st Heating,,
0-PE-2_4,1.49,55,120.06,110.7,117.6,,x,,l,,x,,,1st Heating,,
0-PE-2_5,1.42,55,122.03,109.6,118.4,,x,,l,,x,,,1st Heating,,
0-PE-3_1,1.4,55.29,122.5,110.8,109.1,,x,,l,,x,,,1st Heating,,
0-PE-3_2,1.44,55.2,120.27,110.3,120.2,,x,,l,,x,,,1st Heating,,
0-PE-3_3,1.1,55,122.7,107.6,115.2,,x,,l,,x,,,1st Heating,,
0-PE-3_4,1.33,55,121.07,109.4,114.7,,x,,l,,x,,,1st Heating,,
0-PE-3_5,1.44,55,120.45,110.5,115.5,,x,,l,,x,,,1st Heating,,
0-PE-4_1,1.28,53.4,122.67,110.8,113.2,,x,,l,,x,,,1st Heating,,
0-PE-4_2,1.47,54.61,115.22,110.8,115.3,,x,,l,,x,,,1st Heating,,
0-PE-4_3,1.39,53.8,118.22,110.6,110.5,,x,,l,,x,,,1st Heating,,
0-PE-4_4,1.5,54.5,125.55,111.1,113.2,,x,,l,,x,,,1st Heating,,
