Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
0-PE-1_1,0-PE-6,1.17,109.6,1st Heating,55.1,118.0,110.3,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-1_2,0-PE-7,1.22,106.0,1st Heating,55.0,119.8,108.5,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-1_3,0-PE-8,1.19,110.2,1st Heating,55.0,118.0,110.1,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-1_4,0-PE-9,1.27,108.0,1st Heating,55.0,118.22,110.7,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-1_5,0-PE-10,1.41,109.4,1st Heating,55.0,118.42,110.6,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-2_1,0-PE-11,1.48,113.9,1st Heating,55.0,121.81,108.6,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-2_2,0-PE-12,1.44,116.3,1st Heating,55.0,120.08,109.3,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-2_3,0-PE-13,1.42,114.1,1st Heating,55.0,120.48,109.9,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-2_4,0-PE-14,1.49,117.6,1st Heating,55.0,120.06,110.7,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-2_5,0-PE-15,1.42,118.4,1st Heating,55.0,122.03,109.6,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-3_1,0-PE-16,1.4,109.1,1st Heating,55.29,122.5,110.8,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-3_2,0-PE-17,1.44,120.2,1st Heating,55.2,120.27,110.3,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-3_3,0-PE-18,1.1,115.2,1st Heating,55.0,122.7,107.6,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-3_4,0-PE-19,1.33,114.7,1st Heating,55.0,121.07,109.4,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-3_5,0-PE-20,1.44,115.5,1st Heating,55.0,120.45,110.5,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-4_1,0-PE-21,1.28,113.2,1st Heating,53.4,122.67,110.8,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-4_2,0-PE-22,1.47,115.3,1st Heating,54.61,115.22,110.8,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-4_3,0-PE-23,1.39,110.5,1st Heating,53.8,118.22,110.6,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-4_4,0-PE-24,1.5,113.2,1st Heating,54.5,125.55,111.1,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PE-4_5,0-PE-25,1.22,113.1,1st Heating,54.5,123.3,110.4,0,x,0,l,0.0,x,0.0,0,0,Pristine LDPE and PET
0-PET-1_1,0-PET-1,1.44,32.03,1st Heating,215.0,255.1,244.6,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-1_2,0-PET-2,1.35,32.51,1st Heating,215.0,255.14,244.9,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-1_3,0-PET-3,1.39,33.5,1st Heating,215.0,255.01,244.7,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-1_4,0-PET-4,1.28,30.47,1st Heating,215.0,255.24,243.7,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-1_5,0-PET-5,1.34,32.94,1st Heating,215.0,255.41,244.8,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-2_1,0-PET-6,1.42,32.58,1st Heating,214.53,256.169,243.7,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-2_2,0-PET-7,1.08,30.39,1st Heating,215.0,256.88,242.1,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-2_3,0-PET-8,1.33,31.32,1st Heating,215.1,257.5,243.2,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-2_4,0-PET-9,1.39,31.14,1st Heating,214.69,257.4,244.2,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-2_5,0-PET-10,1.29,32.61,1st Heating,214.6,258.42,244.2,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-3_1,0-PET-16,1.33,32.53,1st Heating,215.33,256.4,244.0,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-3_2,0-PET-17,1.42,32.8,1st Heating,215.04,255.91,243.4,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-3_3,0-PET-18,1.43,33.04,1st Heating,215.0,256.25,243.8,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-3_4,0-PET-19,1.28,31.3,1st Heating,215.37,254.53,243.7,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-3_5,0-PET-20,1.26,31.94,1st Heating,215.0,255.61,243.7,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-4_1,0-PET-21,1.16,32.6,1st Heating,214.7,255.34,244.3,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-4_2,0-PET-22,1.17,30.83,1st Heating,215.08,256.62,244.2,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-4_3,0-PET-26,1.16,32.11,1st Heating,215.6,258.8,243.5,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-4_4,0-PET-24,1.29,31.79,1st Heating,214.7,255.89,244.6,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-4_5,0-PET-25,1.42,32.06,1st Heating,214.7,259.1,243.9,0,0,x,x,0.0,0,0.0,0,0,Pristine LDPE and PET
1-UV-PE-1_1,UV-PE-61,1.27,114.6,1st Heating,58.0,119.16,110.3,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_2,UV-PE-62,1.41,116.6,1st Heating,58.02,119.1,110.3,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_3,UV-PE-63,1.28,117.2,1st Heating,58.0,119.91,110.4,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_4,UV-PE-64,1.5,111.8,1st Heating,58.0,119.9,109.9,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_5,UV-PE-65,1.06,113.7,1st Heating,58.0,119.2,110.2,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_1,UV-PE-66,1.36,112.8,1st Heating,58.0,120.33,110.1,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_2,UV-PE-67,1.25,113.6,1st Heating,58.0,117.35,110.3,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_3,UV-PE-68,1.49,110.5,1st Heating,58.0,120.91,110.0,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_4,UV-PE-69,1.35,113.5,1st Heating,58.0,118.0,109.9,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_5,UV-PE-70,1.4,112.2,1st Heating,58.0,115.88,110.1,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_1,UV-PE-71,1.37,114.9,1st Heating,57.9,120.4,110.0,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_2,UV-PE-72,1.5,115.4,1st Heating,57.9,121.2,110.0,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_3,UV-PE-73,1.44,114.1,1st Heating,57.9,121.95,110.9,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
