Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
0-PE-1_1,0-PE-6,1.17,108.1,2nd Heating,50.0,118.38,107.7,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-1_2,0-PE-7,1.22,107.9,2nd Heating,50.0,119.3,107.7,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-1_3,0-PE-8,1.19,108.1,2nd Heating,50.0,118.9,107.6,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-1_4,0-PE-9,1.27,109.4,2nd Heating,50.0,118.2,107.7,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-1_5,0-PE-10,1.41,107.1,2nd Heating,50.0,119.0,107.8,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-2_1,0-PE-11,1.48,111.7,2nd Heating,50.0,118.67,107.7,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-2_2,0-PE-12,1.44,113.7,2nd Heating,50.0,119.2,107.5,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-2_3,0-PE-13,1.42,110.3,2nd Heating,50.0,123.1,106.6,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-2_4,0-PE-14,1.49,114.0,2nd Heating,50.0,118.85,108.1,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-2_5,0-PE-15,1.42,114.8,2nd Heating,50.0,118.06,108.0,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-3_1,0-PE-16,1.4,115.1,2nd Heating,50.0,120.0,107.7,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-3_2,0-PE-17,1.44,112.1,2nd Heating,50.0,120.0,107.7,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-3_3,0-PE-18,1.1,113.7,2nd Heating,50.0,120.0,107.4,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-3_4,0-PE-19,1.33,115.1,2nd Heating,50.0,120.0,107.7,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-3_5,0-PE-20,1.44,113.1,2nd Heating,50.0,118.0,107.8,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-4_2,0-PE-22,1.47,112.0,2nd Heating,51.3,119.13,108.2,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-4_3,0-PE-23,1.39,113.7,2nd Heating,50.4,119.45,108.0,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-4_4,0-PE-24,1.5,113.7,2nd Heating,51.36,123.15,108.6,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PE-4_5,0-PE-25,1.22,113.0,2nd Heating,51.3,119.36,108.0,0,x,0,l,0.0,0,0.0,0,0,Pristine LDPE and PET
0-PET-1_1,0-PET-1,1.44,28.88,2nd Heating,200.0,253.77,230.2,x,0,0,x,0.0,0,0.0,1<2,0,Pristine LDPE and PET
0-PET-1_2,0-PET-2,1.35,30.34,2nd Heating,200.79,256.3,230.5,x,0,0,x,0.0,0,0.0,1<2,0,Pristine LDPE and PET
