Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hc in Jg-1,Segment,TStart in °C,TEnd in °C,Tc in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Aging Level
0-PE-1_1,0-PE-6,1.17,-119.1,1st Cooling,36.0,99.77,93.3,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-1_2,0-PE-7,1.22,-120.8,1st Cooling,36.0,99.85,93.4,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-1_3,0-PE-8,1.19,-119.5,1st Cooling,36.0,99.29,93.4,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-1_4,0-PE-9,1.27,-121.3,1st Cooling,36.0,99.3,93.2,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-1_5,0-PE-10,1.41,-119.0,1st Cooling,36.0,98.71,93.4,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-2_1,0-PE-11,1.48,-122.1,1st Cooling,36.0,99.55,93.6,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-2_2,0-PE-12,1.44,-123.7,1st Cooling,36.0,99.99,93.6,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-2_3,0-PE-13,1.42,-121.4,1st Cooling,36.0,100.6,93.6,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-2_4,0-PE-14,1.49,-122.9,1st Cooling,36.0,99.98,93.5,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-2_5,0-PE-15,1.42,-122.0,1st Cooling,36.0,99.55,93.4,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-3_1,0-PE-16,1.4,-123.8,1st Cooling,36.0,100.58,93.6,0,x,0,l,0,x,0,0,Pristine LDPE and PET
0-PE-3_2,0-PE-17,1.44,-123.6,1st Cooling,36.0,99.5,93.5,0,x,0,l,0,x,0,0,Pristine LDPE and PET
