Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
0-PE-1_1,0-PE-6,1.17,108.1,2nd Heating,PE,50.0,118.38,107.7,108,8.79001,sharp,left,undefined,Pristine LDPE and PET
0-PE-1_2,0-PE-7,1.22,107.9,2nd Heating,PE,50.0,119.3,107.7,108,8.76131,sharp,left,undefined,Pristine LDPE and PET
0-PE-1_3,0-PE-8,1.19,108.1,2nd Heating,PE,50.0,118.9,107.6,108,8.71668,sharp,left,undefined,Pristine LDPE and PET
0-PE-1_4,0-PE-9,1.27,109.4,2nd Heating,PE,50.0,118.2,107.7,108,8.40655,sharp,left,undefined,Pristine LDPE and PET
0-PE-1_5,0-PE-10,1.41,107.1,2nd Heating,PE,50.0,119.0,107.8,108,7.96444,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_1,0-PE-11,1.48,111.7,2nd Heating,PE,50.0,118.67,107.7,108,8.09733,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_2,0-PE-12,1.44,113.7,2nd Heating,PE,50.0,119.2,107.5,108,8.09063,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_3,0-PE-13,1.42,110.3,2nd Heating,PE,50.0,123.1,106.6,107,7.8116,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_4,0-PE-14,1.49,114.0,2nd Heating,PE,50.0,118.85,108.1,108,7.88245,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_5,0-PE-15,1.42,114.8,2nd Heating,PE,50.0,118.06,108.0,108,8.30799,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_1,0-PE-16,1.4,115.1,2nd Heating,PE,50.0,120.0,107.7,108,8.61513,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_2,0-PE-17,1.44,112.1,2nd Heating,PE,50.0,120.0,107.7,108,7.91518,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_3,0-PE-18,1.1,113.7,2nd Heating,PE,50.0,120.0,107.4,107,9.53295,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_4,0-PE-19,1.33,115.1,2nd Heating,PE,50.0,120.0,107.7,108,8.51314,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_5,0-PE-20,1.44,113.1,2nd Heating,PE,50.0,118.0,107.8,108,7.93825,sharp,left,undefined,Pristine LDPE and PET
0-PE-4_2,0-PE-22,1.47,112.0,2nd Heating,PE,51.3,119.13,108.2,108,5.1255,sharp,left,undefined,Pristine LDPE and PET
0-PE-4_3,0-PE-23,1.39,113.7,2nd Heating,PE,50.4,119.45,108.0,108,5.57212,sharp,left,undefined,Pristine LDPE and PET
0-PE-4_4,0-PE-24,1.5,113.7,2nd Heating,PE,51.36,123.15,108.6,109,5.14146,sharp,left,undefined,Pristine LDPE and PET
0-PE-4_5,0-PE-25,1.22,113.0,2nd Heating,PE,51.3,119.36,108.0,108,5.61346,sharp,left,undefined,Pristine LDPE and PET
0-PET-1_1,0-PET-1,1.44,28.88,2nd Heating,PET,200.0,253.77,230.2,230,2.99577,bimodal,left,undefined,Pristine LDPE and PET
0-PET-1_2,0-PET-2,1.35,30.34,2nd Heating,PET,200.79,256.3,230.5,230,2.78461,bimodal,left,undefined,Pristine LDPE and PET
0-PET-1_3,0-PET-3,1.39,30.0,2nd Heating,PET,200.0,254.25,229.8,230,3.05761,bimodal,left,undefined,Pristine LDPE and PET
0-PET-1_4,0-PET-4,1.28,29.29,2nd Heating,PET,200.0,254.59,230.2,230,2.95315,bimodal,left,undefined,Pristine LDPE and PET
0-PET-1_5,0-PET-5,1.34,31.94,2nd Heating,PET,200.0,255.31,229.7,230,2.76109,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_1,0-PET-6,1.42,28.06,2nd Heating,PET,197.73,251.2,231.7,232,6.61168,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_2,0-PET-7,1.08,26.2,2nd Heating,PET,201.21,251.22,231.1,231,8.47119,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_3,0-PET-8,1.33,28.07,2nd Heating,PET,199.86,252.59,230.8,231,6.89128,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_4,0-PET-9,1.39,26.33,2nd Heating,PET,199.64,251.15,229.8,230,6.42201,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_5,0-PET-10,1.29,28.25,2nd Heating,PET,199.1,251.15,228.7,229,6.90944,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_1,0-PET-16,1.33,29.16,2nd Heating,PET,203.02,252.13,230.7,231,7.64334,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_2,0-PET-17,1.42,29.19,2nd Heating,PET,201.78,250.53,230.7,231,7.19395,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_3,0-PET-18,1.43,29.46,2nd Heating,PET,200.56,252.82,230.9,231,6.97114,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_4,0-PET-19,1.28,28.78,2nd Heating,PET,203.79,253.83,230.9,231,7.39915,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_5,0-PET-20,1.26,30.23,2nd Heating,PET,200.22,252.53,230.8,231,7.72965,bimodal,left,undefined,Pristine LDPE and PET
0-PET-4_1,0-PET-21,1.16,28.3,2nd Heating,PET,205.48,251.33,230.3,230,3.71163,bimodal,left,undefined,Pristine LDPE and PET
0-PET-4_2,0-PET-22,1.17,27.74,2nd Heating,PET,203.7,251.66,228.7,229,3.38333,bimodal,left,undefined,Pristine LDPE and PET
0-PET-4_4,0-PET-24,1.29,28.81,2nd Heating,PET,203.86,252.52,230.3,230,3.22246,bimodal,left,undefined,Pristine LDPE and PET
0-PET-4_5,0-PET-25,1.42,29.82,2nd Heating,PET,203.7,253.95,230.3,230,3.23546,bimodal,left,undefined,Pristine LDPE and PET
1-UV-PE-1_1,UV-PE-61,1.27,108.4,2nd Heating,PE,59.0,120.76,107.5,108,8.3532,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_2,UV-PE-62,1.41,107.0,2nd Heating,PE,59.9,118.34,107.6,108,8.16878,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_4,UV-PE-64,1.5,109.3,2nd Heating,PE,58.8,118.55,107.8,108,7.22364,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_5,UV-PE-65,1.06,104.1,2nd Heating,PE,58.8,120.78,106.8,107,7.92604,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_1,UV-PE-66,1.36,106.7,2nd Heating,PE,60.9,118.17,107.5,108,7.38656,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_2,UV-PE-67,1.25,107.9,2nd Heating,PE,58.57,119.7,107.6,108,7.58901,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_3,UV-PE-68,1.49,107.0,2nd Heating,PE,58.6,118.91,107.7,108,7.0624,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_4,UV-PE-69,1.35,106.3,2nd Heating,PE,61.55,119.23,107.8,108,7.50006,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_5,UV-PE-70,1.4,105.9,2nd Heating,PE,61.14,120.9,107.9,108,7.3513,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_1,UV-PE-71,1.37,109.0,2nd Heating,PE,59.2,119.09,107.9,108,7.53299,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_2,UV-PE-72,1.5,108.7,2nd Heating,PE,59.0,119.858,107.9,108,7.08433,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_3,UV-PE-73,1.44,106.5,2nd Heating,PE,59.2,119.54,108.0,108,7.17674,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
