Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
0-PET-1_1,0-PET-1,1.44,28.88,2nd Heating,PET,200.0,253.77,230.2,230,2.99577,bimodal,left,undefined,Pristine LDPE and PET
0-PET-1_2,0-PET-2,1.35,30.34,2nd Heating,PET,200.79,256.3,230.5,230,2.78461,bimodal,left,undefined,Pristine LDPE and PET
0-PET-1_3,0-PET-3,1.39,30.0,2nd Heating,PET,200.0,254.25,229.8,230,3.05761,bimodal,left,undefined,Pristine LDPE and PET
0-PET-1_4,0-PET-4,1.28,29.29,2nd Heating,PET,200.0,254.59,230.2,230,2.95315,bimodal,left,undefined,Pristine LDPE and PET
0-PET-1_5,0-PET-5,1.34,31.94,2nd Heating,PET,200.0,255.31,229.7,230,2.76109,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_1,0-PET-6,1.42,28.06,2nd Heating,PET,197.73,251.2,231.7,232,6.61168,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_2,0-PET-7,1.08,26.2,2nd Heating,PET,201.21,251.22,231.1,231,8.47119,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_3,0-PET-8,1.33,28.07,2nd Heating,PET,199.86,252.59,230.8,231,6.89128,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_4,0-PET-9,1.39,26.33,2nd Heating,PET,199.64,251.15,229.8,230,6.42201,bimodal,left,undefined,Pristine LDPE and PET
0-PET-2_5,0-PET-10,1.29,28.25,2nd Heating,PET,199.1,251.15,228.7,229,6.90944,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_1,0-PET-16,1.33,29.16,2nd Heating,PET,203.02,252.13,230.7,231,7.64334,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_2,0-PET-17,1.42,29.19,2nd Heating,PET,201.78,250.53,230.7,231,7.19395,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_3,0-PET-18,1.43,29.46,2nd Heating,PET,200.56,252.82,230.9,231,6.97114,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_4,0-PET-19,1.28,28.78,2nd Heating,PET,203.79,253.83,230.9,231,7.39915,bimodal,left,undefined,Pristine LDPE and PET
0-PET-3_5,0-PET-20,1.26,30.23,2nd Heating,PET,200.22,252.53,230.8,231,7.72965,bimodal,left,undefined,Pristine LDPE and PET
0-PET-4_1,0-PET-21,1.16,28.3,2nd Heating,PET,205.48,251.33,230.3,230,3.71163,bimodal,left,undefined,Pristine LDPE and PET
0-PET-4_2,0-PET-22,1.17,27.74,2nd Heating,PET,203.7,251.66,228.7,229,3.38333,bimodal,left,undefined,Pristine LDPE and PET
0-PET-4_4,0-PET-24,1.29,28.81,2nd Heating,PET,203.86,252.52,230.3,230,3.22246,bimodal,left,undefined,Pristine LDPE and PET
0-PET-4_5,0-PET-25,1.42,29.82,2nd Heating,PET,203.7,253.95,230.3,230,3.23546,bimodal,left,undefined,Pristine LDPE and PET
1-UV-PET-1_1,UV-PET-1,1.38,36.85,2nd Heating,PET,207.3,256.3,235.3,235,2.85898,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_2,UV-PET-2,1.32,36.73,2nd Heating,PET,207.7,257.7,235.6,236,2.38487,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_3,UV-PET-3,1.56,38.31,2nd Heating,PET,205.2,256.7,235.1,235,2.93752,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_4,UV-PET-4,1.41,36.87,2nd Heating,PET,208.8,257.1,235.2,235,2.71196,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_5,UV-PET-5,1.31,35.91,2nd Heating,PET,204.0,256.5,234.6,235,3.16989,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_1,UV-PET-6,1.22,37.92,2nd Heating,PET,205.7,258.0,235.2,235,3.1553,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_2,UV-PET-7,1.17,36.82,2nd Heating,PET,206.0,257.6,234.9,235,3.3852,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_3,UV-PET-8,1.34,35.54,2nd Heating,PET,207.1,258.8,234.9,235,2.77521,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_4,UV-PET-9,1.26,37.34,2nd Heating,PET,207.7,257.8,235.1,235,3.01325,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_5,UV-PET-79,1.19,36.53,2nd Heating,PET,209.03,258.0,234.0,234,6.34773,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_1,UV-PET-11,1.38,37.58,2nd Heating,PET,206.5,255.9,234.5,234,3.15767,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
