Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
0-PE-1_1,0-PE-6,1.17,108.1,2nd Heating,PE,50.0,118.38,107.7,108,8.79001,sharp,left,undefined,Pristine LDPE and PET
0-PE-1_2,0-PE-7,1.22,107.9,2nd Heating,PE,50.0,119.3,107.7,108,8.76131,sharp,left,undefined,Pristine LDPE and PET
0-PE-1_3,0-PE-8,1.19,108.1,2nd Heating,PE,50.0,118.9,107.6,108,8.71668,sharp,left,undefined,Pristine LDPE and PET
0-PE-1_4,0-PE-9,1.27,109.4,2nd Heating,PE,50.0,118.2,107.7,108,8.40655,sharp,left,undefined,Pristine LDPE and PET
0-PE-1_5,0-PE-10,1.41,107.1,2nd Heating,PE,50.0,119.0,107.8,108,7.96444,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_1,0-PE-11,1.48,111.7,2nd Heating,PE,50.0,118.67,107.7,108,8.09733,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_2,0-PE-12,1.44,113.7,2nd Heating,PE,50.0,119.2,107.5,108,8.09063,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_3,0-PE-13,1.42,110.3,2nd Heating,PE,50.0,123.1,106.6,107,7.8116,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_4,0-PE-14,1.49,114.0,2nd Heating,PE,50.0,118.85,108.1,108,7.88245,sharp,left,undefined,Pristine LDPE and PET
0-PE-2_5,0-PE-15,1.42,114.8,2nd Heating,PE,50.0,118.06,108.0,108,8.30799,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_1,0-PE-16,1.4,115.1,2nd Heating,PE,50.0,120.0,107.7,108,8.61513,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_2,0-PE-17,1.44,112.1,2nd Heating,PE,50.0,120.0,107.7,108,7.91518,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_3,0-PE-18,1.1,113.7,2nd Heating,PE,50.0,120.0,107.4,107,9.53295,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_4,0-PE-19,1.33,115.1,2nd Heating,PE,50.0,120.0,107.7,108,8.51314,sharp,left,undefined,Pristine LDPE and PET
0-PE-3_5,0-PE-20,1.44,113.1,2nd Heating,PE,50.0,118.0,107.8,108,7.93825,sharp,left,undefined,Pristine LDPE and PET
0-PE-4_2,0-PE-22,1.47,112.0,2nd Heating,PE,51.3,119.13,108.2,108,5.1255,sharp,left,undefined,Pristine LDPE and PET
0-PE-4_3,0-PE-23,1.39,113.7,2nd Heating,PE,50.4,119.45,108.0,108,5.57212,sharp,left,undefined,Pristine LDPE and PET
0-PE-4_4,0-PE-24,1.5,113.7,2nd Heating,PE,51.36,123.15,108.6,109,5.14146,sharp,left,undefined,Pristine LDPE and PET
0-PE-4_5,0-PE-25,1.22,113.0,2nd Heating,PE,51.3,119.36,108.0,108,5.61346,sharp,left,undefined,Pristine LDPE and PET
1-UV-PE-1_1,UV-PE-61,1.27,108.4,2nd Heating,PE,59.0,120.76,107.5,108,8.3532,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_2,UV-PE-62,1.41,107.0,2nd Heating,PE,59.9,118.34,107.6,108,8.16878,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_4,UV-PE-64,1.5,109.3,2nd Heating,PE,58.8,118.55,107.8,108,7.22364,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_5,UV-PE-65,1.06,104.1,2nd Heating,PE,58.8,120.78,106.8,107,7.92604,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_1,UV-PE-66,1.36,106.7,2nd Heating,PE,60.9,118.17,107.5,108,7.38656,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_2,UV-PE-67,1.25,107.9,2nd Heating,PE,58.57,119.7,107.6,108,7.58901,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_3,UV-PE-68,1.49,107.0,2nd Heating,PE,58.6,118.91,107.7,108,7.0624,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_4,UV-PE-69,1.35,106.3,2nd Heating,PE,61.55,119.23,107.8,108,7.50006,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_5,UV-PE-70,1.4,105.9,2nd Heating,PE,61.14,120.9,107.9,108,7.3513,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_1,UV-PE-71,1.37,109.0,2nd Heating,PE,59.2,119.09,107.9,108,7.53299,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_2,UV-PE-72,1.5,108.7,2nd Heating,PE,59.0,119.858,107.9,108,7.08433,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_3,UV-PE-73,1.44,106.5,2nd Heating,PE,59.2,119.54,108.0,108,7.17674,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_4,UV-PE-74,1.51,107.6,2nd Heating,PE,59.2,118.61,107.9,108,7.24787,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_5,UV-PE-75,1.21,108.0,2nd Heating,PE,59.43,119.08,107.4,107,7.74093,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_1,UV-PE-76,1.43,106.36,2nd Heating,PE,60.7,120.33,107.8,108,8.8393,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_2,UV-PE-77,1.25,104.7,2nd Heating,PE,59.0,119.18,107.5,108,7.59387,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_3,UV-PE-78,1.31,105.5,2nd Heating,PE,59.3,118.32,107.7,108,7.37491,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_4,UV-PE-79,1.5,104.5,2nd Heating,PE,60.7,118.66,107.8,108,7.05847,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_5,UV-PE-80,1.44,105.3,2nd Heating,PE,61.6,118.3,107.8,108,7.25125,sharp,left,undefined,First UV-cycle (4 weeks irradiation)
2-UV-PE-1_1,UV-PE-21,1.2,113.7,2nd Heating,PE,50.7,116.46,107.8,108,5.41744,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_2,UV-PE-22,1.42,114.4,2nd Heating,PE,50.7,118.58,108.1,108,5.22685,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_3,UV-PE-23,1.35,112.8,2nd Heating,PE,50.7,118.63,108.3,108,5.03324,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_4,UV-PE-24,1.27,112.4,2nd Heating,PE,50.7,119.3,108.2,108,5.18946,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_5,UV-PE-25,1.5,113.9,2nd Heating,PE,50.7,118.36,108.0,108,5.15245,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_1,UV-PE-26,1.11,111.7,2nd Heating,PE,50.9,115.1,107.8,108,5.58085,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_2,UV-PE-27,1.27,111.7,2nd Heating,PE,50.0,117.7,107.9,108,5.29796,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_3,UV-PE-28,1.44,113.3,2nd Heating,PE,50.0,117.8,108.0,108,5.06997,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_4,UV-PE-29,1.34,111.8,2nd Heating,PE,50.0,117.2,108.2,108,5.03048,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_5,UV-PE-30,1.49,112.0,2nd Heating,PE,50.0,117.2,107.9,108,5.15288,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
