#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PE-38.ngb-sdg             eb-PE-38.ngb-sdg             eb-PE-38.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PE-38                     eb-PE-38                     eb-PE-38                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   12.01.2023 02:20             12.01.2023 02:20             12.01.2023 02:20            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PE-38                     eb-PE-38                     eb-PE-38                    
#SAMPLE MASS /mg:             1.39                         1.39                         1.39                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.04012;             ;-1.62443;-0.17359
-48.04012;             ;-1.62443; 5.74723
-47.04012;             ;-1.45359; 5.75992
-46.04012;             ;-1.60992; 5.62525
-45.04012;             ;-1.81254; 5.45426
-44.04012;             ;-2.09501; 5.29352
-43.04012;             ;-2.47956; 5.15856
-42.04012;             ;-2.97472; 5.04923
-41.04012;             ;-3.55846; 4.84258
-40.04012;             ;-4.04400; 4.64449
-39.04012;             ;-4.16871; 4.37446
-38.04012;             ;-4.15312; 4.27313
-37.04012;             ;-4.15840; 4.20491
-36.04012;             ;-4.15463; 3.87111
-35.04012;             ;-4.15645; 3.91757
-34.04012;             ;-4.16196; 3.95082
-33.04012;             ;-4.17154; 3.98399
-32.04012;             ;-4.17661; 4.00124
-31.04012;             ;-4.18300; 4.00121
-30.04012;             ;-4.18960; 4.01282
-29.04012;             ;-4.19669; 4.00814
-28.04012;             ;-4.20515; 3.99620
-27.04012;             ;-4.21372; 4.01985
-26.04012;             ;-4.22293; 4.01042
-25.04012;             ;-4.23238; 4.01863
-24.04012;             ;-4.24098; 4.02992
-23.04012;             ;-4.25067; 4.01818
-22.04012;             ;-4.26003; 4.03605
-21.04012;             ;-4.26829; 4.05105
-20.04012;             ;-4.27251; 4.05453
-19.04012;             ;-4.27634; 4.06881
-18.04012;             ;-4.28312; 4.08854
-17.04012;             ;-4.29143; 4.10236
-16.04012;             ;-4.29931; 4.11891
-15.04012;             ;-4.30584; 4.12800
-14.04012;             ;-4.31234; 4.14834
-13.04012;             ;-4.31691; 4.17272
-12.04012;             ;-4.32050; 4.18208
-11.04012;             ;-4.32659; 4.20271
-10.04012;             ;-4.33198; 4.21813
 -9.04012;             ;-4.33903; 4.24027
 -8.04012;             ;-4.34765; 4.23895
 -7.04012;             ;-4.35353; 4.25726
 -6.04012;             ;-4.35992; 4.27696
 -5.04012;             ;-4.36648; 4.28301
 -4.04012;             ;-4.37228; 4.29043
 -3.04012;             ;-4.37929; 4.33602
 -2.04012;             ;-4.38183; 4.34577
 -1.04012;             ;-4.38528; 4.35886
 -0.04012;             ;-4.38878; 4.35199
  0.95988;             ;-4.39326; 4.37185
  1.95988;             ;-4.39989; 4.38448
  2.95988;             ;-4.40477; 4.39763
  3.95988;             ;-4.41053; 4.42219
  4.95988;             ;-4.41641; 4.42915
  5.95988;             ;-4.42252; 4.44385
  6.95988;             ;-4.42752; 4.46826
  7.95988;             ;-4.43302; 4.47274
  8.95988;             ;-4.43726; 4.50354
  9.95988;             ;-4.44394; 4.52229
 10.95988;             ;-4.44924; 4.54915
 11.95988;             ;-4.45351; 4.56934
 12.95988;             ;-4.45931; 4.57504
 13.95988;             ;-4.46156; 4.59331
 14.95988;             ;-4.46731; 4.60288
 15.95988;             ;-4.46982; 4.61502
 16.95988;             ;-4.47401; 4.63319
 17.95988;             ;-4.47862; 4.63640
 18.95988;-4.970929e-02;-4.48329; 4.65405
 19.95988;-4.970929e-02;-4.48989; 4.67749
 20.95988;      5.48718;-4.49482; 4.66964
 21.95988;      6.22542;-4.50014; 4.69685
 22.95988;      6.27089;-4.50587; 4.70425
 23.95988;      6.19404;-4.50917; 4.72272
 24.95988;      6.06608;-4.51397; 4.75433
 25.95988;      5.93255;-4.51871; 4.76172
 26.95988;      5.80678;-4.52440; 4.78391
 27.95988;      5.66523;-4.53052; 4.78607
 28.95988;      5.45402;-4.53978; 4.79744
 29.95988;      5.11083;-4.54671; 4.82472
 30.95988;      4.96641;-4.55442; 4.82943
 31.95988;      4.86105;-4.55872; 4.85249
 32.95988;      4.53669;-4.56395; 4.86616
 33.95988;      4.44843;-4.57099; 4.86981
 34.95988;      4.50061;-4.57661; 4.89435
 35.95988;      4.56861;-4.58303; 4.90916
 36.95988;      4.63729;-4.59269; 4.92461
 37.95988;      4.66945;-4.59582; 4.94544
 38.95988;      4.71289;-4.60152; 4.95821
 39.95988;      4.73432;-4.61248; 4.97752
 40.95988;      4.74660;-4.62220; 4.97726
 41.95988;      4.76967;-4.63467; 4.98213
 42.95988;      4.77345;-4.64412; 4.99375
 43.95988;      4.79328;-4.65524; 4.99253
 44.95988;      4.80442;-4.67188; 5.01624
 45.95988;      4.81478;-4.68291; 5.03275
 46.95988;      4.84294;-4.69695; 5.03420
 47.95988;      4.86651;-4.71039; 5.04705
 48.95988;      4.89288;-4.72309; 5.05464
 49.95988;      4.92002;-4.73331; 5.06186
 50.95988;      4.93264;-4.73825; 5.08889
 51.95988;      4.95836;-4.74470; 5.09526
 52.95988;      4.97812;-4.75172; 5.11370
 53.95988;      4.99745;-4.75761; 5.12668
 54.95988;      5.02575;-4.76746; 5.14024
 55.95988;      5.03328;-4.77467; 5.15700
 56.95988;      5.06214;-4.78480; 5.16814
 57.95988;      5.08300;-4.79021; 5.18883
 58.95988;      5.10168;-4.79627; 5.20611
 59.95988;      5.13512;-4.81247; 5.21862
 60.95988;      5.15270;-4.81305; 5.23686
 61.95988;      5.18534;-4.82974; 5.24705
 62.95988;      5.21103;-4.83458; 5.27157
 63.95988;      5.23268;-4.84993; 5.30094
 64.95988;      5.27322;-4.88260; 5.30496
 65.95988;      5.29755;-4.90049; 5.33135
 66.95988;      5.32405;-4.92946; 5.34257
 67.95988;      5.36444;-4.97423; 5.36842
 68.95988;      5.38381;-5.01543; 5.39272
 69.95988;      5.42594;-5.08466; 5.41469
 70.95988;      5.45605;-5.15054; 5.43870
 71.95988;      5.48024;-5.24598; 5.45976
 72.95988;      5.52126;-5.36827; 5.47477
 73.95988;      5.54560;-5.48381; 5.51306
 74.95988;      5.56779;-5.63914; 5.53361
 75.95988;      5.59881;-5.78073; 5.55628
 76.95988;      5.62572;-5.92831; 5.57917
 77.95988;      5.67082;-6.05009; 5.60884
 78.95988;      5.68451;-6.09420; 5.65356
 79.95988;      5.70451;-6.07613; 5.68153
 80.95988;      5.74043;-5.97686; 5.72621
 81.95988;      5.75382;-5.81605; 5.76520
 82.95988;      5.77942;-5.64372; 5.80243
 83.95988;      5.80872;-5.46000; 5.85523
 84.95988;      5.84157;-5.32572; 5.90018
 85.95988;      5.88798;-5.22131; 5.95956
 86.95988;      5.92100;-5.13870; 6.03081
 87.95988;      5.97539;-5.09540; 6.09680
 88.95988;      6.03038;-5.04018; 6.18351
 89.95988;      6.08992;-4.97222; 6.26723
 90.95988;      6.18333;-4.87462; 6.35117
 91.95988;      6.28392;-4.73346; 6.45195
 92.95988;      6.40762;-4.57976; 6.52973
 93.95988;      6.56594;-4.43408; 6.59959
 94.95988;      6.73215;-4.36746; 6.64067
 95.95988;      6.93544;-4.37003; 6.63273
 96.95988;      7.14953;-4.35597; 6.59598
 97.95988;      7.37384;-4.35217; 6.50447
 98.95988;      7.56769;-4.34969; 6.39511
 99.95988;      7.66968;-4.34503; 6.27888
100.95988;      7.67733;-4.34461; 6.16007
101.95988;      7.55357;-4.34389; 6.06892
102.95988;      7.34255;-4.34190; 5.97520
103.95988;      7.05223;-4.34203; 5.90721
104.95988;      6.69226;-4.33733; 5.84952
105.95988;      6.33067;-4.33424; 5.76704
106.95988;      6.02982;-4.33125; 5.68338
107.95988;      5.84250;-4.32749; 5.58220
108.95988;      5.73584;-4.32731; 5.49665
109.95988;      5.66188;-4.32513; 5.44835
110.95988;      5.62458;-4.32323; 5.42077
111.95988;      5.61091;-4.32195; 5.41740
112.95988;      5.59424;-4.31847; 5.42702
113.95988;      5.59919;-4.31771; 5.42581
114.95988;      5.61003;-4.31559; 5.44096
115.95988;      5.60491;-4.31392; 5.44175
116.95988;      5.63013;-4.31414; 5.43818
117.95988;      5.62291;-4.31157; 5.46421
118.95988;      5.63367;-4.31127; 5.47610
119.95988;      5.64976;-4.31079; 5.48503
120.95988;      5.65070;-4.30745; 5.49277
121.95988;      5.66699;-4.30640; 5.48977
122.95988;      5.67674;-4.30353; 5.50463
123.95988;      5.68684;-4.30088; 5.51338
124.95988;      5.70793;-4.30017; 5.52494
125.95988;      5.70400;-4.29677; 5.53691
126.95988;      5.72880;-4.29598; 5.53901
