#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PE-44.ngb-sdg             eb-PE-44.ngb-sdg             eb-PE-44.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PE-44                     eb-PE-44                     eb-PE-44                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.01.2023 12:57             13.01.2023 12:57             13.01.2023 12:57            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    MH                           MH                           MH                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PE-44                     eb-PE-44                     eb-PE-44                    
#SAMPLE MASS /mg:             1.37                         1.37                         1.37                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.90352;             ;-2.63865;-0.12473
-48.90352;             ;-2.53646; 5.38632
-47.90352;             ;-3.20267; 5.92833
-46.90352;             ;-3.84742; 5.89025
-45.90352;             ;-4.06696; 5.72900
-44.90352;             ;-4.06703; 5.55527
-43.90352;             ;-4.05738; 5.40488
-42.90352;             ;-4.05706; 5.27301
-41.90352;             ;-4.05991; 5.15251
-40.90352;             ;-4.06461; 4.94010
-39.90352;             ;-4.07398; 4.70112
-38.90352;             ;-4.08162; 4.47731
-37.90352;             ;-4.09180; 4.38494
-36.90352;             ;-4.09944; 4.16367
-35.90352;             ;-4.10917; 4.11599
-34.90352;             ;-4.11973; 4.08657
-33.90352;             ;-4.12866; 4.09335
-32.90352;             ;-4.13633; 4.10484
-31.90352;             ;-4.14538; 4.11556
-30.90352;             ;-4.15411; 4.11241
-29.90352;             ;-4.16515; 4.10735
-28.90352;             ;-4.17592; 4.11255
-27.90352;             ;-4.18017; 4.11087
-26.90352;             ;-4.18728; 4.11773
-25.90352;             ;-4.19495; 4.12152
-24.90352;             ;-4.20306; 4.12637
-23.90352;             ;-4.21310; 4.14572
-22.90352;             ;-4.22377; 4.15558
-21.90352;             ;-4.23345; 4.16355
-20.90352;             ;-4.23915; 4.17170
-19.90352;             ;-4.24713; 4.18162
-18.90352;             ;-4.25403; 4.19100
-17.90352;             ;-4.26249; 4.20295
-16.90352;             ;-4.26909; 4.21658
-15.90352;             ;-4.27532; 4.22459
-14.90352;             ;-4.28267; 4.23283
-13.90352;             ;-4.29158; 4.25105
-12.90352;             ;-4.30146; 4.25756
-11.90352;             ;-4.31213; 4.27074
-10.90352;             ;-4.32110; 4.28812
 -9.90352;             ;-4.32933; 4.30105
 -8.90352;             ;-4.33463; 4.31508
 -7.90352;             ;-4.34098; 4.32627
 -6.90352;             ;-4.34693; 4.33174
 -5.90352;             ;-4.35726; 4.35100
 -4.90352;             ;-4.36585; 4.34602
 -3.90352;             ;-4.37327; 4.37825
 -2.90352;             ;-4.37947; 4.38629
 -1.90352;             ;-4.38648; 4.40279
 -0.90352;             ;-4.39232; 4.41872
  0.09648;             ;-4.39799; 4.43180
  1.09648;             ;-4.40539; 4.44716
  2.09648;             ;-4.41034; 4.46203
  3.09648;             ;-4.41897; 4.47434
  4.09648;             ;-4.42441; 4.49079
  5.09648;             ;-4.43104; 4.50359
  6.09648;             ;-4.43650; 4.52339
  7.09648;             ;-4.43997; 4.53852
  8.09648;             ;-4.44375; 4.55112
  9.09648;             ;-4.44880; 4.56676
 10.09648;             ;-4.45159; 4.57867
 11.09648;             ;-4.45595; 4.58812
 12.09648;             ;-4.45935; 4.60303
