#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PE-8.ngb-sdg              eb-PE-8.ngb-sdg              eb-PE-8.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PE-8                      eb-PE-8                      eb-PE-8                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   09.01.2023 17:08             09.01.2023 17:08             09.01.2023 17:08            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PE-8                      eb-PE-8                      eb-PE-8                     
#SAMPLE MASS /mg:             1.15                         1.15                         1.15                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.04459;             ;-1.89387;-0.17954
-48.04459;             ;-1.89387; 7.06540
-47.04459;             ;-1.68324; 7.05466
-46.04459;             ;-1.87552; 6.89239
-45.04459;             ;-2.12408; 6.68749
-44.04459;             ;-2.48433; 6.49461
-43.04459;             ;-2.96775; 6.33519
-42.04459;             ;-3.59589; 6.20821
-41.04459;             ;-4.32827; 5.95046
-40.04459;             ;-4.89831; 5.70492
-39.04459;             ;-5.00025; 5.37634
-38.04459;             ;-4.97731; 5.25249
-37.04459;             ;-4.98594; 5.17181
-36.04459;             ;-4.98655; 4.76490
-35.04459;             ;-4.99008; 4.79460
-34.04459;             ;-4.99924; 4.83339
-33.04459;             ;-5.00835; 4.87314
-32.04459;             ;-5.01643; 4.88506
-31.04459;             ;-5.02336; 4.88698
-30.04459;             ;-5.03044; 4.87539
-29.04459;             ;-5.03913; 4.89367
-28.04459;             ;-5.04720; 4.88221
-27.04459;             ;-5.05567; 4.89253
-26.04459;             ;-5.06782; 4.87652
-25.04459;             ;-5.07902; 4.88221
-24.04459;             ;-5.08875; 4.90097
-23.04459;             ;-5.10050; 4.89380
-22.04459;             ;-5.11052; 4.91497
-21.04459;             ;-5.11920; 4.92816
-20.04459;             ;-5.12912; 4.93918
-19.04459;             ;-5.13745; 4.96089
-18.04459;             ;-5.14416; 4.95316
-17.04459;             ;-5.14388; 4.97331
-16.04459;             ;-5.15197; 4.98579
-15.04459;             ;-5.15695; 4.98515
-14.04459;             ;-5.16559; 5.02388
-13.04459;             ;-5.16942; 5.03352
-12.04459;             ;-5.17177; 5.03727
-11.04459;             ;-5.17544; 5.06207
-10.04459;             ;-5.18185; 5.05560
 -9.04459;             ;-5.19138; 5.07841
 -8.04459;             ;-5.19819; 5.09420
 -7.04459;             ;-5.20471; 5.10456
 -6.04459;             ;-5.21211; 5.13274
 -5.04459;             ;-5.21736; 5.12235
 -4.04459;             ;-5.22202; 5.13551
 -3.04459;             ;-5.22744; 5.17505
 -2.04459;             ;-5.23233; 5.18272
 -1.04459;             ;-5.23841; 5.19100
 -0.04459;             ;-5.24219; 5.19171
  0.95541;             ;-5.24502; 5.22105
  1.95541;             ;-5.24790; 5.23751
  2.95541;             ;-5.25161; 5.23425
  3.95541;             ;-5.25770; 5.26091
  4.95541;             ;-5.26602; 5.28144
  5.95541;             ;-5.27131; 5.28904
  6.95541;             ;-5.27837; 5.32264
  7.95541;             ;-5.28299; 5.34375
  8.95541;             ;-5.28770; 5.38144
  9.95541;             ;-5.29264; 5.38496
 10.95541;             ;-5.29318; 5.39211
 11.95541;             ;-5.29881; 5.42212
 12.95541;             ;-5.30136; 5.42944
 13.95541;             ;-5.30775; 5.43539
 14.95541;             ;-5.31082; 5.45792
 15.95541;             ;-5.31616; 5.46643
 16.95541;             ;-5.32066; 5.48883
 17.95541;             ;-5.32804; 5.50006
 18.95541;-5.535638e-02;-5.33258; 5.51349
 19.95541;-5.535638e-02;-5.33868; 5.54812
 20.95541;      6.73760;-5.34264; 5.56391
 21.95541;      7.58432;-5.34700; 5.58890
 22.95541;      7.62547;-5.35399; 5.60610
 23.95541;      7.52196;-5.35844; 5.62346
 24.95541;      7.36879;-5.36536; 5.65448
 25.95541;      7.20778;-5.36905; 5.65748
 26.95541;      7.05993;-5.37314; 5.66875
 27.95541;      6.88818;-5.37793; 5.68454
 28.95541;      6.62823;-5.38196; 5.69236
 29.95541;      6.21257;-5.38960; 5.71980
 30.95541;      6.02990;-5.39745; 5.73150
 31.95541;      5.89703;-5.40482; 5.74800
 32.95541;      5.73691;-5.41220; 5.77212
 33.95541;      5.67751;-5.41669; 5.77580
 34.95541;      5.66074;-5.42171; 5.79293
 35.95541;      5.65942;-5.42930; 5.79690
 36.95541;      5.66040;-5.43761; 5.80678
 37.95541;      5.67182;-5.44030; 5.82754
 38.95541;      5.68857;-5.45137; 5.83190
 39.95541;      5.69758;-5.46218; 5.84626
 40.95541;      5.70904;-5.47086; 5.84864
 41.95541;      5.72550;-5.48464; 5.86021
 42.95541;      5.73978;-5.49243; 5.87322
 43.95541;      5.75567;-5.50560; 5.87423
 44.95541;      5.76552;-5.51752; 5.88622
 45.95541;      5.78236;-5.52491; 5.90979
 46.95541;      5.79894;-5.53962; 5.91856
 47.95541;      5.81325;-5.55269; 5.93824
 48.95541;      5.83494;-5.56870; 5.95759
 49.95541;      5.85313;-5.58521; 5.97080
 50.95541;      5.87359;-5.59727; 5.99059
 51.95541;      5.89624;-5.60821; 5.99062
 52.95541;      5.91474;-5.61826; 6.00987
 53.95541;      5.94080;-5.62845; 6.02504
 54.95541;      5.96242;-5.63607; 6.02658
 55.95541;      5.98135;-5.64011; 6.04710
 56.95541;      6.00702;-5.64151; 6.06380
 57.95541;      6.02860;-5.63964; 6.09171
 58.95541;      6.05377;-5.63330; 6.10084
 59.95541;      6.07972;-5.63444; 6.11477
 60.95541;      6.10363;-5.63685; 6.14869
 61.95541;      6.13084;-5.64668; 6.14629
 62.95541;      6.15774;-5.65632; 6.16578
 63.95541;      6.18249;-5.65521; 6.19396
 64.95541;      6.21000;-5.66619; 6.20034
 65.95541;      6.23419;-5.67154; 6.23602
 66.95541;      6.26469;-5.69620; 6.24894
 67.95541;      6.29181;-5.70579; 6.26656
 68.95541;      6.31657;-5.73604; 6.29596
 69.95541;      6.34587;-5.75771; 6.30120
 70.95541;      6.36374;-5.77472; 6.33665
 71.95541;      6.39016;-5.81593; 6.36787
 72.95541;      6.41426;-5.86113; 6.37469
 73.95541;      6.43738;-5.90482; 6.40503
 74.95541;      6.46520;-6.00475; 6.42621
 75.95541;      6.48827;-6.09768; 6.45873
 76.95541;      6.51127;-6.23934; 6.49947
 77.95541;      6.53533;-6.40317; 6.51044
 78.95541;      6.55585;-6.54683; 6.54634
 79.95541;      6.58316;-6.67617; 6.56683
 80.95541;      6.60838;-6.74239; 6.61054
 81.95541;      6.63481;-6.74817; 6.65951
 82.95541;      6.66488;-6.72967; 6.69163
 83.95541;      6.69388;-6.69366; 6.73726
 84.95541;      6.72809;-6.65653; 6.77204
 85.95541;      6.76124;-6.62308; 6.81605
 86.95541;      6.79805;-6.59514; 6.88510
 87.95541;      6.84264;-6.60910; 6.94286
 88.95541;      6.88890;-6.62902; 6.99908
 89.95541;      6.94670;-6.68225; 7.06994
 90.95541;      7.01607;-6.73832; 7.13565
 91.95541;      7.10201;-6.70130; 7.24391
 92.95541;      7.20977;-6.53410; 7.33356
 93.95541;      7.33381;-6.11384; 7.44123
 94.95541;      7.49171;-5.56524; 7.52299
 95.95541;      7.68097;-5.30724; 7.59264
 96.95541;      7.89893;-5.24061; 7.62702
 97.95541;      8.14156;-5.23136; 7.61590
 98.95541;      8.37317;-5.22689; 7.59047
 99.95541;      8.56632;-5.22554; 7.57999
100.95541;      8.68435;-5.22482; 7.53649
101.95541;      8.68821;-5.22316; 7.49752
102.95541;      8.58243;-5.22343; 7.46295
103.95541;      8.36702;-5.22339; 7.43778
104.95541;      8.08051;-5.22093; 7.41500
105.95541;      7.79106;-5.22090; 7.32968
106.95541;      7.51944;-5.21723; 7.19037
107.95541;      7.26700;-5.21674; 6.95671
108.95541;      7.03131;-5.21409; 6.70559
109.95541;      6.84833;-5.20779; 6.54646
110.95541;      6.73360;-5.20515; 6.46652
111.95541;      6.65280;-5.20108; 6.42230
112.95541;      6.61148;-5.20103; 6.42002
113.95541;      6.59021;-5.20205; 6.40464
114.95541;      6.57798;-5.20219; 6.43496
115.95541;      6.58158;-5.20033; 6.44181
116.95541;      6.58584;-5.19843; 6.44205
117.95541;      6.59045;-5.19370; 6.46297
118.95541;      6.60280;-5.19245; 6.46339
119.95541;      6.60825;-5.19035; 6.46774
120.95541;      6.61774;-5.19013; 6.48512
121.95541;      6.62720;-5.19098; 6.48993
122.95541;      6.63906;-5.18872; 6.51702
123.95541;      6.65474;-5.18705; 6.52013
124.95541;      6.66671;-5.18343; 6.52186
125.95541;      6.67847;-5.17890; 6.53909
126.95541;      6.69042;-5.17765; 6.54170
127.95541;      6.69885;-5.17454; 6.56532
128.95541;      6.70997;-5.17350; 6.58019
129.95541;      6.72534;-5.17381; 6.57986
130.95541;      6.73377;-5.17285; 6.60138
131.95541;      6.74539;-5.17265; 6.60263
132.95541;      6.75430;-5.16865; 6.61234
133.95541;      6.76575;-5.16515; 6.63912
134.95541;      6.77776;-5.16390; 6.63158
135.95541;      6.78855;-5.15972; 6.65573
136.95541;      6.80171;-5.15979; 6.67496
137.95541;      6.81153;-5.15748; 6.66565
138.95541;      6.82099;-5.15412; 6.69031
139.95541;      6.83262;-5.15544; 6.69975
140.95541;      6.84049;-5.15035; 6.70297
141.95541;      6.85117;-5.14765; 6.72689
142.95541;      6.86291;-5.14642; 6.73535
143.95541;      6.87024;-5.14407; 6.75086
144.95541;      6.88421;-5.14460; 6.74964
145.95541;      6.89490;-5.14207; 6.76378
146.95541;      6.90667;-5.13722; 6.77631
147.95541;      6.92089;-5.13476; 6.77640
148.95541;      6.92730;-5.12929; 6.81013
149.95541;      6.94247;-5.12684; 6.82330
150.95541;      6.95252;-5.12255; 6.83902
151.95541;      6.96327;-5.11705; 6.86231
152.95541;      6.97267;-5.11421; 6.85260
153.95541;      6.98164;-5.11085; 6.87928
154.95541;      6.99450;-5.11291; 6.88447
155.95541;      7.00313;-5.11094; 6.88600
156.95541;      7.01173;-5.10744; 6.91524
157.95541;      7.02484;-5.10579; 6.90593
158.95541;      7.03560;-5.10171; 6.91523
159.95541;      7.04487;-5.10117; 6.93380
160.95541;      7.05825;-5.10093; 6.93667
161.95541;      7.06610;-5.09747; 6.95400
162.95541;      7.07656;-5.09899; 6.96837
163.95541;      7.08572;-5.09665; 6.98138
164.95541;      7.09553;-5.09604; 7.00572
165.95541;      7.11104;-5.09442; 7.00846
166.95541;      7.12317;-5.08990; 7.01794
167.95541;      7.14072;-5.08615; 7.03306
168.95541;      7.14978;-5.08213; 7.04589
169.95541;      7.15908;-5.07808; 7.06499
170.95541;      7.17259;-5.07736; 7.06583
171.95541;      7.17950;-5.07510; 7.09315
172.95541;      7.19086;-5.07215; 7.10517
173.95541;      7.20362;-5.06924; 7.11471
174.95541;      7.21335;-5.06370; 7.14146
175.95541;      7.22645;-5.06064; 7.14360
176.95541;      7.23427;-5.05655; 7.15157
177.95541;      7.24729;-5.05289; 7.16459
178.95541;      7.26114;-5.05192; 7.17606
179.95541;      7.26927;-5.05012; 7.18944
180.95541;      7.28430;-5.04983; 7.20076
