#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PE-18.ngb-sdg              0-PE-18.ngb-sdg              0-PE-18.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PE-18                      0-PE-18                      0-PE-18                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   30.01.2023 14:30             30.01.2023 14:30             30.01.2023 14:30            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PE-18                      0-PE-18                      0-PE-18                     
#SAMPLE MASS /mg:             1.1                          1.1                          1.1                         
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.03989;             ; -1.97836;-0.21565
-48.03989;             ; -1.88081; 7.26571
-47.03989;             ; -1.75129; 7.24380
-46.03989;             ; -1.97101; 7.06064
-45.03989;             ; -2.30164; 6.84603
-44.03989;             ; -2.75339; 6.64308
-43.03989;             ; -3.37410; 6.47801
-42.03989;             ; -4.13783; 6.34623
-41.03989;             ; -4.90257; 6.07929
-40.03989;             ; -5.17755; 5.81969
-39.03989;             ; -5.15921; 5.46468
-38.03989;             ; -5.15239; 5.33853
-37.03989;             ; -5.15698; 5.24613
-36.03989;             ; -5.15704; 4.90184
-35.03989;             ; -5.16664; 4.89135
-34.03989;             ; -5.17509; 4.92068
-33.03989;             ; -5.18291; 4.95663
-32.03989;             ; -5.18645; 4.98057
-31.03989;             ; -5.19279; 4.97454
-30.03989;             ; -5.19657; 4.97517
-29.03989;             ; -5.20173; 4.98070
-28.03989;             ; -5.21023; 4.97339
-27.03989;             ; -5.22214; 4.97678
-26.03989;             ; -5.23240; 4.97366
-25.03989;             ; -5.23614; 4.97739
-24.03989;             ; -5.24589; 4.99383
-23.03989;             ; -5.25109; 4.98818
-22.03989;             ; -5.25546; 5.00459
-21.03989;             ; -5.26481; 5.01714
-20.03989;             ; -5.27449; 5.03796
-19.03989;             ; -5.28350; 5.04967
-18.03989;             ; -5.29437; 5.06171
-17.03989;             ; -5.30275; 5.07698
-16.03989;             ; -5.30936; 5.08950
-15.03989;             ; -5.31452; 5.10178
-14.03989;             ; -5.32289; 5.11869
-13.03989;             ; -5.32676; 5.13021
-12.03989;             ; -5.33356; 5.14236
-11.03989;             ; -5.34093; 5.16027
-10.03989;             ; -5.34713; 5.17872
 -9.03989;             ; -5.35243; 5.19645
 -8.03989;             ; -5.35513; 5.21217
 -7.03989;             ; -5.36156; 5.23138
 -6.03989;             ; -5.36650; 5.24897
 -5.03989;             ; -5.37392; 5.26159
 -4.03989;             ; -5.38161; 5.28088
 -3.03989;             ; -5.38777; 5.29077
 -2.03989;             ; -5.39552; 5.30941
 -1.03989;             ; -5.40021; 5.32396
 -0.03989;             ; -5.40354; 5.33516
  0.96011;             ; -5.40465; 5.35105
  1.96011;             ; -5.41116; 5.36508
  2.96011;             ; -5.41543; 5.38300
  3.96011;             ; -5.42253; 5.40205
  4.96011;             ; -5.42764; 5.41305
  5.96011;             ; -5.43205; 5.43415
  6.96011;             ; -5.43808; 5.45244
  7.96011;             ; -5.44246; 5.47105
  8.96011;             ; -5.45039; 5.49447
  9.96011;             ; -5.45539; 5.50880
 10.96011;             ; -5.45979; 5.52582
 11.96011;             ; -5.46422; 5.54076
 12.96011;             ; -5.46707; 5.55117
