#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PE-6.ngb-sdg               0-PE-6.ngb-sdg               0-PE-6.ngb-sdg              
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PE-6                       0-PE-6                       0-PE-6                      
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   02.01.2023 16:25             02.01.2023 16:25             02.01.2023 16:25            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PE-6                       0-PE-6                       0-PE-6                      
#SAMPLE MASS /mg:             1.17                         1.17                         1.17                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.04178;            ; -1.76329;-0.19515
-48.04178;            ; -1.76329; 6.54163
-47.04178;            ; -1.53231; 6.55703
-46.04178;            ; -1.68811; 6.38482
-45.04178;            ; -1.90601; 6.18521
-44.04178;            ; -2.20482; 6.00274
-43.04178;            ; -2.60015; 5.84457
-42.04178;            ; -3.12580; 5.72351
-41.04178;            ; -3.77833; 5.50794
-40.04178;            ; -4.40920; 5.29451
-39.04178;            ; -4.63206; 5.00799
-38.04178;            ; -4.61736; 4.89691
-37.04178;            ; -4.62881; 4.80230
-36.04178;            ; -4.61868; 4.56229
-35.04178;            ; -4.61631; 4.53466
-34.04178;            ; -4.62227; 4.52466
-33.04178;            ; -4.63159; 4.52427
-32.04178;            ; -4.63987; 4.52463
-31.04178;            ; -4.64927; 4.52965
-30.04178;            ; -4.66049; 4.52781
-29.04178;            ; -4.67081; 4.51722
-28.04178;            ; -4.67872; 4.51508
-27.04178;            ; -4.68443; 4.51633
-26.04178;            ; -4.68955; 4.50954
-25.04178;            ; -4.69859; 4.52485
-24.04178;            ; -4.70660; 4.52947
-23.04178;            ; -4.71688; 4.53932
-22.04178;            ; -4.72517; 4.54796
-21.04178;            ; -4.73468; 4.55979
-20.04178;            ; -4.74223; 4.56959
-19.04178;            ; -4.75114; 4.58073
-18.04178;            ; -4.75823; 4.59467
-17.04178;            ; -4.76628; 4.61036
-16.04178;            ; -4.77237; 4.62159
-15.04178;            ; -4.78022; 4.63795
-14.04178;            ; -4.78553; 4.65090
-13.04178;            ; -4.78831; 4.66417
-12.04178;            ; -4.79184; 4.67992
-11.04178;            ; -4.79725; 4.69115
-10.04178;            ; -4.80389; 4.70927
 -9.04178;            ; -4.81199; 4.72395
 -8.04178;            ; -4.81846; 4.73370
 -7.04178;            ; -4.82492; 4.74833
 -6.04178;            ; -4.83146; 4.76498
 -5.04178;            ; -4.83652; 4.77937
 -4.04178;            ; -4.84321; 4.79673
 -3.04178;            ; -4.85173; 4.81221
 -2.04178;            ; -4.85735; 4.83356
 -1.04178;            ; -4.86174; 4.84945
 -0.04178;            ; -4.86469; 4.86466
  0.95822;            ; -4.86789; 4.88528
  1.95822;            ; -4.87296; 4.90181
  2.95822;            ; -4.87945; 4.91773
  3.95822;            ; -4.88768; 4.93443
  4.95822;            ; -4.89317; 4.95052
  5.95822;            ; -4.89656; 4.97123
  6.95822;            ; -4.90088; 4.98743
  7.95822;            ; -4.90613; 5.00809
  8.95822;            ; -4.90878; 5.02650
  9.95822;            ; -4.91342; 5.04169
 10.95822;            ; -4.91655; 5.06322
 11.95822;            ; -4.91854; 5.08452
 12.95822;            ; -4.92051; 5.10638
 13.95822;            ; -4.92360; 5.12746
 14.95822;            ; -4.92977; 5.14337
 15.95822;            ; -4.93581; 5.16708
 16.95822;            ; -4.93935; 5.18583
 17.95822;7.139431e-02; -4.94472; 5.20281
 18.95822;7.139431e-02; -4.95028; 5.22348
 19.95822;7.139431e-02; -4.95374; 5.24389
 20.95822;     6.40015; -4.95846; 5.26759
 21.95822;     7.26698; -4.96447; 5.28672
 22.95822;     7.31486; -4.96937; 5.30304
 23.95822;     7.21856; -4.97611; 5.32420
 24.95822;     7.06398; -4.98116; 5.34006
 25.95822;     6.90723; -4.98872; 5.35704
 26.95822;     6.76129; -4.99752; 5.37580
 27.95822;     6.60889; -5.00165; 5.39220
 28.95822;     6.37791; -5.00579; 5.41316
 29.95822;     6.02233; -5.01108; 5.43151
 30.95822;     5.86255; -5.01944; 5.44721
 31.95822;     5.74767; -5.02517; 5.46513
 32.95822;     5.41345; -5.03057; 5.47860
 33.95822;     5.31340; -5.03944; 5.49543
 34.95822;     5.33394; -5.04638; 5.51272
 35.95822;     5.40897; -5.05382; 5.52956
 36.95822;     5.44943; -5.06195; 5.54957
 37.95822;     5.48274; -5.06490; 5.56338
 38.95822;     5.51078; -5.07795; 5.58493
 39.95822;     5.51127; -5.08985; 5.60065
 40.95822;     5.51812; -5.09858; 5.61486
 41.95822;     5.52883; -5.11444; 5.62895
 42.95822;     5.52222; -5.12163; 5.64109
 43.95822;     5.54757; -5.13542; 5.65109
 44.95822;     5.54891; -5.14808; 5.66120
 45.95822;     5.55440; -5.16112; 5.67141
 46.95822;     5.58658; -5.18133; 5.68002
 47.95822;     5.59782; -5.19762; 5.68968
 48.95822;     5.61763; -5.21678; 5.69869
 49.95822;     5.61743; -5.24042; 5.71245
 50.95822;     5.63739; -5.25619; 5.72495
 51.95822;     5.66689; -5.27920; 5.73638
 52.95822;     5.67398; -5.29886; 5.75050
 53.95822;     5.70814; -5.30705; 5.76220
 54.95822;     5.73079; -5.31075; 5.77515
 55.95822;     5.75478; -5.30451; 5.78712
 56.95822;     5.80218; -5.29249; 5.80123
 57.95822;     5.83099; -5.27624; 5.81560
 58.95822;     5.87903; -5.25487; 5.82633
 59.95822;     5.93263; -5.23276; 5.84415
 60.95822;     5.95849; -5.21723; 5.85792
 61.95822;     5.99549; -5.21106; 5.87606
 62.95822;     6.00390; -5.20875; 5.89064
 63.95822;     6.02387; -5.20965; 5.90762
 64.95822;     6.04931; -5.21227; 5.92457
 65.95822;     6.03365; -5.21480; 5.93820
 66.95822;     6.04951; -5.21724; 5.95255
 67.95822;     6.06827; -5.22363; 5.96983
 68.95822;     6.07497; -5.22506; 5.98645
 69.95822;     6.09960; -5.23522; 6.00450
 70.95822;     6.10530; -5.24618; 6.02387
 71.95822;     6.12864; -5.25686; 6.04167
 72.95822;     6.13645; -5.27690; 6.05923
 73.95822;     6.13817; -5.28298; 6.07896
 74.95822;     6.16589; -5.30126; 6.09969
 75.95822;     6.17968; -5.30975; 6.11923
 76.95822;     6.18252; -5.32920; 6.14240
 77.95822;     6.21480; -5.35059; 6.16427
 78.95822;     6.23563; -5.36124; 6.18605
 79.95822;     6.24526; -5.38324; 6.20229
 80.95822;     6.26096; -5.40255; 6.22735
 81.95822;     6.29747; -5.40829; 6.24737
 82.95822;     6.32338; -5.44205; 6.26893
 83.95822;     6.33434; -5.47275; 6.29536
 84.95822;     6.36312; -5.51031; 6.32082
 85.95822;     6.38066; -5.55207; 6.34893
 86.95822;     6.40336; -5.58365; 6.37424
 87.95822;     6.42257; -5.69048; 6.40603
 88.95822;     6.46031; -5.91628; 6.43781
 89.95822;     6.48196; -6.32723; 6.46668
 90.95822;     6.50145; -7.09225; 6.50268
 91.95822;     6.52090; -8.33816; 6.53376
 92.95822;     6.55651;-11.15634; 6.56637
 93.95822;     6.59075; -9.99609; 6.60248
 94.95822;     6.63012; -6.56135; 6.63694
 95.95822;     6.68883; -5.40621; 6.67855
 96.95822;     6.73044; -5.04930; 6.73130
 97.95822;     6.80735; -4.91283; 6.78299
 98.95822;     6.87677; -4.87525; 6.84235
