#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PE-30.ngb-sdg             UV-PE-30.ngb-sdg             UV-PE-30.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PE-30                     UV-PE-30                     UV-PE-30                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   21.12.2022 20:50             21.12.2022 20:50             21.12.2022 20:50            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PE-30                     UV-PE-30                     UV-PE-30                    
#SAMPLE MASS /mg:             1.49                         1.49                         1.49                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.07623;            ;-0.67048;3.746918e-02
-48.07623;            ;-0.67048;     1.74597
-47.07623;            ;-0.61542;     1.95335
-46.07623;            ;-0.67015;     2.01105
-45.07623;            ;-0.73002;     1.99809
-44.07623;            ;-0.81007;     1.94921
-43.07623;            ;-0.90095;     1.88133
-42.07623;            ;-1.02779;     1.80892
-41.07623;            ;-1.18747;     1.73032
-40.07623;            ;-1.34834;     1.63255
-39.07623;            ;-1.42139;     1.50614
-38.07623;            ;-1.42123;     1.44558
-37.07623;            ;-1.42940;     1.42231
-36.07623;            ;-1.42638;     1.38972
-35.07623;            ;-1.43289;     1.41324
-34.07623;            ;-1.43726;     1.44658
-33.07623;            ;-1.44461;     1.47871
-32.07623;            ;-1.45041;     1.51086
-31.07623;            ;-1.45602;     1.53492
-30.07623;            ;-1.46070;     1.55170
-29.07623;            ;-1.46569;     1.56214
-28.07623;            ;-1.47132;     1.56708
-27.07623;            ;-1.47755;     1.56999
-26.07623;            ;-1.48352;     1.57661
-25.07623;            ;-1.48935;     1.58126
-24.07623;            ;-1.49434;     1.58833
-23.07623;            ;-1.49976;     1.59276
-22.07623;            ;-1.50526;     1.59933
-21.07623;            ;-1.51121;     1.60629
-20.07623;            ;-1.51574;     1.61301
-19.07623;            ;-1.52071;     1.61732
-18.07623;            ;-1.52544;     1.62326
-17.07623;            ;-1.53119;     1.62961
-16.07623;            ;-1.53715;     1.63398
-15.07623;            ;-1.54295;     1.63876
-14.07623;            ;-1.54795;     1.64696
-13.07623;            ;-1.55197;     1.65255
-12.07623;            ;-1.55685;     1.66054
-11.07623;            ;-1.56090;     1.66777
-10.07623;            ;-1.56538;     1.67440
 -9.07623;            ;-1.56978;     1.68184
 -8.07623;            ;-1.57551;     1.68826
 -7.07623;            ;-1.58025;     1.69554
 -6.07623;            ;-1.58538;     1.70325
 -5.07623;            ;-1.58885;     1.70856
 -4.07623;            ;-1.59394;     1.71463
 -3.07623;            ;-1.59775;     1.72250
 -2.07623;            ;-1.60210;     1.73109
 -1.07623;            ;-1.60637;     1.73906
 -0.07623;            ;-1.61059;     1.74380
  0.92377;            ;-1.61379;     1.75079
  1.92377;            ;-1.61840;     1.75794
  2.92377;            ;-1.62202;     1.76386
  3.92377;            ;-1.62796;     1.77127
  4.92377;            ;-1.63275;     1.77728
  5.92377;            ;-1.63879;     1.78340
  6.92377;            ;-1.64467;     1.79126
  7.92377;            ;-1.65043;     1.79875
  8.92377;            ;-1.65639;     1.80629
  9.92377;            ;-1.66015;     1.81373
 10.92377;            ;-1.66405;     1.82252
 11.92377;            ;-1.66821;     1.83249
 12.92377;            ;-1.67262;     1.84070
