#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PE-64.ngb-sdg             UV-PE-64.ngb-sdg             UV-PE-64.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PE-64                     UV-PE-64                     UV-PE-64                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   31.01.2023 10:02             31.01.2023 10:02             31.01.2023 10:02            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PE-64                     UV-PE-64                     UV-PE-64                    
#SAMPLE MASS /mg:             1.5                          1.5                          1.5                         
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.05765;            ;-1.08389;-6.452738e-02
-48.05765;            ;-1.08389;      4.41109
-47.05765;            ;-0.93904;      4.37771
-46.05765;            ;-1.04053;      4.24568
-45.05765;            ;-1.20176;      4.09658
-44.05765;            ;-1.43030;      3.96685
-43.05765;            ;-1.76104;      3.85449
-42.05765;            ;-2.19040;      3.76689
-41.05765;            ;-2.68418;      3.61065
-40.05765;            ;-2.99240;      3.44637
-39.05765;            ;-2.99887;      3.19438
-38.05765;            ;-2.95953;      3.11925
-37.05765;            ;-2.97882;      3.06713
-36.05765;            ;-2.99364;      2.93446
-35.05765;            ;-3.00848;      2.92892
-34.05765;            ;-3.01640;      2.93210
-33.05765;            ;-3.02428;      2.95537
-32.05765;            ;-3.03137;      2.97165
-31.05765;            ;-3.03964;      2.98783
-30.05765;            ;-3.04656;      3.00307
-29.05765;            ;-3.05484;      3.01349
-28.05765;            ;-3.06266;      3.02437
-27.05765;            ;-3.07053;      3.03134
-26.05765;            ;-3.07963;      3.03918
-25.05765;            ;-3.08658;      3.05006
-24.05765;            ;-3.09443;      3.05917
-23.05765;            ;-3.10052;      3.07040
-22.05765;            ;-3.10815;      3.08091
-21.05765;            ;-3.11333;      3.09237
-20.05765;            ;-3.12073;      3.10316
-19.05765;            ;-3.12657;      3.11517
-18.05765;            ;-3.13355;      3.12591
-17.05765;            ;-3.13969;      3.14134
-16.05765;            ;-3.14662;      3.15111
-15.05765;            ;-3.15244;      3.16574
-14.05765;            ;-3.15859;      3.17884
-13.05765;            ;-3.16379;      3.19328
-12.05765;            ;-3.16741;      3.20659
-11.05765;            ;-3.17263;      3.21814
-10.05765;            ;-3.17706;      3.22920
 -9.05765;            ;-3.18361;      3.24165
 -8.05765;            ;-3.18857;      3.25038
 -7.05765;            ;-3.19319;      3.26032
 -6.05765;            ;-3.19987;      3.26996
 -5.05765;            ;-3.20515;      3.28186
 -4.05765;            ;-3.21130;      3.29477
 -3.05765;            ;-3.21692;      3.30449
 -2.05765;            ;-3.22184;      3.31822
 -1.05765;            ;-3.22781;      3.32888
 -0.05765;            ;-3.23223;      3.33602
  0.94235;            ;-3.23839;      3.34929
  1.94235;            ;-3.24322;      3.35898
  2.94235;            ;-3.24854;      3.37339
  3.94235;            ;-3.25247;      3.38470
  4.94235;            ;-3.25732;      3.39661
  5.94235;            ;-3.26359;      3.41463
  6.94235;            ;-3.26991;      3.42890
  7.94235;            ;-3.27516;      3.44306
  8.94235;            ;-3.28075;      3.45858
  9.94235;            ;-3.28523;      3.46929
 10.94235;            ;-3.28929;      3.48171
 11.94235;            ;-3.29444;      3.49234
 12.94235;            ;-3.30058;      3.50372
