#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PET-28.ngb-sdg            eb-PET-28.ngb-sdg            eb-PET-28.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PET-28                    eb-PET-28                    eb-PET-28                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   12.01.2023 15:17             12.01.2023 15:17             12.01.2023 15:17            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PET-28                    eb-PET-28                    eb-PET-28                   
#SAMPLE MASS /mg:             1.27                         1.27                         1.27                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.03766;        ;-1.68160;-0.20400
-48.03766;        ;-1.68160; 6.25739
-47.03766;        ;-1.46037; 6.24494
-46.03766;        ;-1.58205; 6.08971
-45.03766;        ;-1.77101; 5.89978
-44.03766;        ;-2.02568; 5.71940
-43.03766;        ;-2.40123; 5.57068
-42.03766;        ;-2.88652; 5.45344
-41.03766;        ;-3.51446; 5.21904
-40.03766;        ;-4.14285; 4.99281
-39.03766;        ;-4.43794; 4.68048
-38.03766;        ;-4.44316; 4.56426
-37.03766;        ;-4.42748; 4.47815
-36.03766;        ;-4.42806; 4.11931
-35.03766;        ;-4.43111; 4.14745
-34.03766;        ;-4.43162; 4.20068
-33.03766;        ;-4.43664; 4.22549
-32.03766;        ;-4.44130; 4.24650
-31.03766;        ;-4.44588; 4.25895
-30.03766;        ;-4.44757; 4.24695
-29.03766;        ;-4.45194; 4.24723
-28.03766;        ;-4.45897; 4.23674
-27.03766;        ;-4.46622; 4.22704
-26.03766;        ;-4.46995; 4.24065
-25.03766;        ;-4.47428; 4.23734
-24.03766;        ;-4.48044; 4.24080
-23.03766;        ;-4.48586; 4.25008
-22.03766;        ;-4.49506; 4.24254
-21.03766;        ;-4.50051; 4.25981
-20.03766;        ;-4.50042; 4.26187
-19.03766;        ;-4.50021; 4.27470
-18.03766;        ;-4.50455; 4.29074
-17.03766;        ;-4.50914; 4.30420
-16.03766;        ;-4.51272; 4.32054
-15.03766;        ;-4.51567; 4.33240
-14.03766;        ;-4.51799; 4.34500
-13.03766;        ;-4.51892; 4.36056
-12.03766;        ;-4.52229; 4.37098
-11.03766;        ;-4.52557; 4.38410
-10.03766;        ;-4.52884; 4.39734
 -9.03766;        ;-4.53060; 4.41126
 -8.03766;        ;-4.53114; 4.42444
 -7.03766;        ;-4.53457; 4.43370
 -6.03766;        ;-4.53723; 4.44304
 -5.03766;        ;-4.54062; 4.45680
 -4.03766;        ;-4.54466; 4.48071
 -3.03766;        ;-4.54726; 4.49303
 -2.03766;        ;-4.54843; 4.50740
 -1.03766;        ;-4.54980; 4.51400
 -0.03766;        ;-4.55023; 4.52299
  0.96234;        ;-4.55361; 4.53090
  1.96234;        ;-4.55530; 4.54483
  2.96234;        ;-4.55809; 4.55279
  3.96234;        ;-4.56074; 4.56456
  4.96234;        ;-4.56307; 4.57056
  5.96234;        ;-4.56627; 4.58754
  6.96234;        ;-4.56812; 4.60551
  7.96234;        ;-4.56867; 4.62646
  8.96234;        ;-4.57082; 4.65523
  9.96234;        ;-4.57192; 4.67420
 10.96234;        ;-4.57404; 4.68722
 11.96234;        ;-4.57399; 4.69722
 12.96234;        ;-4.57301; 4.70176
