#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PET-41.ngb-sdg            eb-PET-41.ngb-sdg            eb-PET-41.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PET-41                    eb-PET-41                    eb-PET-41                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   14.01.2023 08:17             14.01.2023 08:17             14.01.2023 08:17            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    MH                           MH                           MH                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PET-41                    eb-PET-41                    eb-PET-41                   
#SAMPLE MASS /mg:             1.41                         1.41                         1.41                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.32823;             ;-1.75020;-9.910066e-02
-48.32823;             ;-1.63709;      5.15992
-47.32823;             ;-1.98236;      5.29691
-46.32823;             ;-2.42896;      5.17283
-45.32823;             ;-2.95377;      5.01520
-44.32823;             ;-3.41107;      4.84961
-43.32823;             ;-3.60425;      4.70800
-42.32823;             ;-3.60973;      4.59312
-41.32823;             ;-3.59839;      4.44095
-40.32823;             ;-3.59903;      4.25922
-39.32823;             ;-3.60299;      4.00085
-38.32823;             ;-3.60728;      3.89841
-37.32823;             ;-3.61290;      3.82181
-36.32823;             ;-3.62032;      3.54762
-35.32823;             ;-3.62336;      3.52622
-34.32823;             ;-3.62668;      3.56442
-33.32823;             ;-3.62615;      3.57731
-32.32823;             ;-3.62918;      3.59335
-31.32823;             ;-3.63384;      3.58921
-30.32823;             ;-3.63860;      3.58596
-29.32823;             ;-3.64561;      3.59448
-28.32823;             ;-3.64895;      3.59214
-27.32823;             ;-3.65326;      3.58111
-26.32823;             ;-3.65603;      3.59120
-25.32823;             ;-3.65974;      3.57941
-24.32823;             ;-3.66452;      3.58824
-23.32823;             ;-3.66676;      3.58954
-22.32823;             ;-3.67173;      3.58085
-21.32823;             ;-3.67522;      3.59706
-20.32823;             ;-3.67857;      3.60519
-19.32823;             ;-3.68158;      3.60685
-18.32823;             ;-3.68593;      3.61411
-17.32823;             ;-3.68923;      3.62693
-16.32823;             ;-3.69272;      3.63081
-15.32823;             ;-3.69308;      3.63866
-14.32823;             ;-3.69636;      3.64393
-13.32823;             ;-3.69911;      3.65003
-12.32823;             ;-3.70134;      3.65741
-11.32823;             ;-3.70456;      3.66780
-10.32823;             ;-3.70571;      3.67722
 -9.32823;             ;-3.70768;      3.68837
 -8.32823;             ;-3.71111;      3.69620
 -7.32823;             ;-3.71305;      3.70792
 -6.32823;             ;-3.71814;      3.71811
 -5.32823;             ;-3.71997;      3.72871
 -4.32823;             ;-3.72161;      3.73833
 -3.32823;             ;-3.72392;      3.75277
 -2.32823;             ;-3.72605;      3.76222
 -1.32823;             ;-3.73141;      3.77295
 -0.32823;             ;-3.73413;      3.77976
  0.67177;             ;-3.73670;      3.79135
  1.67177;             ;-3.73988;      3.80184
  2.67177;             ;-3.74114;      3.80822
  3.67177;             ;-3.74321;      3.81934
  4.67177;             ;-3.74438;      3.82717
  5.67177;             ;-3.74481;      3.83971
  6.67177;             ;-3.74488;      3.85355
  7.67177;             ;-3.74556;      3.86418
  8.67177;             ;-3.74617;      3.88032
  9.67177;             ;-3.75040;      3.89223
 10.67177;             ;-3.75178;      3.90459
 11.67177;             ;-3.75646;      3.91450
 12.67177;             ;-3.75911;      3.92451
