#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PET-16.ngb-sdg             0-PET-16.ngb-sdg             0-PET-16.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PET-16                     0-PET-16                     0-PET-16                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   20.01.2023 08:04             20.01.2023 08:04             20.01.2023 08:04            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PET-16                     0-PET-16                     0-PET-16                    
#SAMPLE MASS /mg:             1.33                         1.33                         1.33                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.03212;        ;-1.46885;-0.22272
-48.03212;        ;-1.46885; 5.88121
-47.03212;        ;-1.36344; 5.85500
-46.03212;        ;-1.48604; 5.69869
-45.03212;        ;-1.66496; 5.51611
-44.03212;        ;-1.92062; 5.34262
-43.03212;        ;-2.27588; 5.19967
-42.03212;        ;-2.74761; 5.08929
-41.03212;        ;-3.31798; 4.86613
-40.03212;        ;-3.89097; 4.65267
-39.03212;        ;-4.22656; 4.35281
-38.03212;        ;-4.24331; 4.24960
-37.03212;        ;-4.24023; 4.16501
-36.03212;        ;-4.24369; 3.81923
-35.03212;        ;-4.24585; 3.86495
-34.03212;        ;-4.24853; 3.92086
-33.03212;        ;-4.25350; 3.94075
-32.03212;        ;-4.25961; 3.97324
-31.03212;        ;-4.26553; 3.99222
-30.03212;        ;-4.27402; 3.97559
-29.03212;        ;-4.28128; 3.97702
-28.03212;        ;-4.28891; 3.97407
-27.03212;        ;-4.29552; 3.98038
-26.03212;        ;-4.30407; 3.99112
-25.03212;        ;-4.30982; 3.98809
-24.03212;        ;-4.31740; 3.99563
-23.03212;        ;-4.32339; 3.99684
-22.03212;        ;-4.33076; 4.01612
-21.03212;        ;-4.33574; 4.02609
-20.03212;        ;-4.34081; 4.03348
-19.03212;        ;-4.34440; 4.05086
-18.03212;        ;-4.34780; 4.06329
-17.03212;        ;-4.35622; 4.08213
-16.03212;        ;-4.36192; 4.09502
-15.03212;        ;-4.36788; 4.11262
-14.03212;        ;-4.37322; 4.12892
-13.03212;        ;-4.37738; 4.14383
-12.03212;        ;-4.37990; 4.16017
-11.03212;        ;-4.38433; 4.17851
-10.03212;        ;-4.38482; 4.19011
 -9.03212;        ;-4.38924; 4.20739
 -8.03212;        ;-4.39189; 4.22168
 -7.03212;        ;-4.39533; 4.23979
 -6.03212;        ;-4.40096; 4.25707
 -5.03212;        ;-4.40322; 4.25862
 -4.03212;        ;-4.40726; 4.26422
 -3.03212;        ;-4.40951; 4.31132
 -2.03212;        ;-4.41018; 4.34317
 -1.03212;        ;-4.41286; 4.35952
 -0.03212;        ;-4.41374; 4.35903
  0.96788;        ;-4.41613; 4.36306
  1.96788;        ;-4.41919; 4.37231
  2.96788;        ;-4.41932; 4.38329
  3.96788;        ;-4.42399; 4.39655
  4.96788;        ;-4.42691; 4.41150
  5.96788;        ;-4.43171; 4.42365
  6.96788;        ;-4.43429; 4.44237
  7.96788;        ;-4.43448; 4.45996
  8.96788;        ;-4.43669; 4.48028
  9.96788;        ;-4.43787; 4.49790
 10.96788;        ;-4.43777; 4.52413
 11.96788;        ;-4.43972; 4.54693
 12.96788;        ;-4.43935; 4.56264
 13.96788;        ;-4.44086; 4.57728
 14.96788;        ;-4.44064; 4.58703
 15.96788;        ;-4.43787; 4.60269
 16.96788;        ;-4.43704; 4.61128
 17.96788;        ;-4.43823; 4.62385
 18.96788;-0.11636;-4.44140; 4.63706
 19.96788;-0.11636;-4.44534; 4.64901
 20.96788; 5.62551;-4.44582; 4.66273
 21.96788; 6.31645;-4.44618; 4.67660
 22.96788; 6.33585;-4.44586; 4.69197
 23.96788; 6.23557;-4.44417; 4.70787
 24.96788; 6.10286;-4.44521; 4.72534
 25.96788; 5.96116;-4.44398; 4.73646
 26.96788; 5.83184;-4.44377; 4.74981
 27.96788; 5.68349;-4.44473; 4.76148
 28.96788; 5.45424;-4.44148; 4.77414
 29.96788; 5.06529;-4.44283; 4.79067
 30.96788; 4.91978;-4.44199; 4.80154
 31.96788; 4.81115;-4.44144; 4.81200
 32.96788; 4.65119;-4.44336; 4.82617
 33.96788; 4.60932;-4.44179; 4.84275
 34.96788; 4.60302;-4.44089; 4.85406
 35.96788; 4.60396;-4.44111; 4.86470
 36.96788; 4.61922;-4.43871; 4.87772
 37.96788; 4.63427;-4.43984; 4.88679
 38.96788; 4.65619;-4.43712; 4.89678
 39.96788; 4.67206;-4.43672; 4.90665
 40.96788; 4.68495;-4.43488; 4.91388
 41.96788; 4.70111;-4.43062; 4.92238
 42.96788; 4.71379;-4.43028; 4.93074
 43.96788; 4.73079;-4.42809; 4.94201
 44.96788; 4.74793;-4.42719; 4.95594
 45.96788; 4.76547;-4.42748; 4.96766
 46.96788; 4.78440;-4.42484; 4.97684
 47.96788; 4.80342;-4.42495; 4.98960
 48.96788; 4.82016;-4.42410; 4.99770
 49.96788; 4.83882;-4.42175; 5.00911
 50.96788; 4.85707;-4.42069; 5.01780
 51.96788; 4.88434;-4.41710; 5.02709
 52.96788; 4.90490;-4.41355; 5.03782
 53.96788; 4.92533;-4.41241; 5.04817
 54.96788; 4.94983;-4.40782; 5.06234
 55.96788; 4.96922;-4.40663; 5.07246
 56.96788; 4.98865;-4.40248; 5.08301
 57.96788; 5.00604;-4.39830; 5.09265
 58.96788; 5.02474;-4.39641; 5.10369
 59.96788; 5.04289;-4.39127; 5.10952
 60.96788; 5.06516;-4.39142; 5.12093
 61.96788; 5.08239;-4.39169; 5.13146
 62.96788; 5.10263;-4.39177; 5.14693
 63.96788; 5.11984;-4.39067; 5.15442
 64.96788; 5.13918;-4.38540; 5.16864
 65.96788; 5.15900;-4.38156; 5.17436
 66.96788; 5.17457;-4.38021; 5.18400
 67.96788; 5.19513;-4.37778; 5.19011
 68.96788; 5.21155;-4.37948; 5.20313
 69.96788; 5.23008;-4.37984; 5.21293
 70.96788; 5.24785;-4.38043; 5.22373
 71.96788; 5.26518;-4.38226; 5.23656
 72.96788; 5.28452;-4.38000; 5.25028
 73.96788; 5.29864;-4.37952; 5.26266
 74.96788; 5.31616;-4.37704; 5.27349
 75.96788; 5.33354;-4.37510; 5.28837
 76.96788; 5.34597;-4.37625; 5.29705
 77.96788; 5.36406;-4.37493; 5.31183
 78.96788; 5.37971;-4.37786; 5.33051
 79.96788; 5.39764;-4.37903; 5.34373
 80.96788; 5.41582;-4.37780; 5.36259
 81.96788; 5.43704;-4.38045; 5.37634
 82.96788; 5.46458;-4.37818; 5.39215
 83.96788; 5.49058;-4.37691; 5.40387
 84.96788; 5.51621;-4.37559; 5.41678
 85.96788; 5.54357;-4.37023; 5.42693
 86.96788; 5.56786;-4.36830; 5.44348
 87.96788; 5.58815;-4.36880; 5.45452
 88.96788; 5.60651;-4.36616; 5.46683
 89.96788; 5.62001;-4.36702; 5.48101
 90.96788; 5.63514;-4.36425; 5.49231
 91.96788; 5.64107;-4.36327; 5.50630
 92.96788; 5.65431;-4.36337; 5.51733
 93.96788; 5.66879;-4.35877; 5.52958
 94.96788; 5.67963;-4.35477; 5.54002
 95.96788; 5.69193;-4.34886; 5.55027
 96.96788; 5.70378;-4.34369; 5.56292
 97.96788; 5.71866;-4.34227; 5.57478
 98.96788; 5.73004;-4.33776; 5.58703
 99.96788; 5.74264;-4.33561; 5.60092
100.96788; 5.75558;-4.33344; 5.61088
101.96788; 5.76956;-4.32910; 5.62462
102.96788; 5.78485;-4.32793; 5.63808
103.96788; 5.80170;-4.32485; 5.65176
104.96788; 5.81416;-4.32063; 5.66410
105.96788; 5.83106;-4.31922; 5.67214
