#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PET-2.ngb-sdg              0-PET-2.ngb-sdg              0-PET-2.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PET-2                      0-PET-2                      0-PET-2                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.12.2022 19:11             13.12.2022 19:11             13.12.2022 19:11            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#SENSITIVITY:                 25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PET-2                      0-PET-2                      0-PET-2                     
#SAMPLE MASS /mg:             1.35                         1.35                         1.35                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-48.92775;             ;-0.80913;-3.024294e-02
-47.92775;             ;-0.68781;      2.52670
-46.92775;             ;-0.74860;      2.24454
-45.92775;             ;-0.82824;      2.03482
-44.92775;             ;-0.95002;      1.89172
-43.92775;             ;-1.14879;      1.79810
-42.92775;             ;-1.38385;      1.74755
-41.92775;             ;-1.66468;      1.73059
-40.92775;             ;-1.77140;      1.73547
-39.92775;             ;-1.77211;      1.69435
-38.92775;             ;-1.76856;      1.66149
-37.92775;             ;-1.76757;      1.57518
-36.92775;             ;-1.76915;      1.60924
-35.92775;             ;-1.77147;      1.49567
-34.92775;             ;-1.77293;      1.53292
-33.92775;             ;-1.76978;      1.63610
-32.92775;             ;-1.77448;      1.72592
-31.92775;             ;-1.77618;      1.76799
-30.92775;             ;-1.77833;      1.78412
-29.92775;             ;-1.78021;      1.79779
-28.92775;             ;-1.78002;      1.78510
-27.92775;             ;-1.78007;      1.77804
-26.92775;             ;-1.78320;      1.77359
-25.92775;             ;-1.78357;      1.76357
-24.92775;             ;-1.78674;      1.75622
-23.92775;             ;-1.78722;      1.75261
-22.92775;             ;-1.78836;      1.75530
-21.92775;             ;-1.78856;      1.76062
-20.92775;             ;-1.78925;      1.75911
-19.92775;             ;-1.78934;      1.76840
-18.92775;             ;-1.78909;      1.77150
-17.92775;             ;-1.78978;      1.77762
-16.92775;             ;-1.78777;      1.78276
-15.92775;             ;-1.78602;      1.78112
-14.92775;             ;-1.78443;      1.78482
-13.92775;             ;-1.78137;      1.78651
-12.92775;             ;-1.78063;      1.78633
-11.92775;             ;-1.77897;      1.78787
-10.92775;             ;-1.77585;      1.79776
 -9.92775;             ;-1.77430;      1.79914
 -8.92775;             ;-1.77091;      1.79815
 -7.92775;             ;-1.76908;      1.79550
 -6.92775;             ;-1.76698;      1.80311
 -5.92775;             ;-1.76437;      1.80331
 -4.92775;             ;-1.76265;      1.81004
 -3.92775;             ;-1.76040;      1.81313
 -2.92775;             ;-1.75762;      1.81096
 -1.92775;             ;-1.75536;      1.81198
 -0.92775;             ;-1.75272;      1.81060
  0.07225;             ;-1.74918;      1.65476
  1.07225;             ;-1.74641;      1.71918
  2.07225;             ;-1.74350;      1.82158
  3.07225;             ;-1.74133;      1.81907
  4.07225;             ;-1.73838;      1.81557
  5.07225;             ;-1.73810;      1.81399
  6.07225;             ;-1.73698;      1.81351
  7.07225;             ;-1.73725;      1.81216
  8.07225;             ;-1.73569;      1.81835
  9.07225;             ;-1.73402;      1.81541
 10.07225;             ;-1.73367;      1.81982
 11.07225;             ;-1.73239;      1.82503
 12.07225;             ;-1.72935;      1.82319
 13.07225;             ;-1.72781;      1.82923
