#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PET-14.ngb-sdg            UV-PET-14.ngb-sdg            UV-PET-14.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PET-14                    UV-PET-14                    UV-PET-14                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   14.12.2022 14:37             14.12.2022 14:37             14.12.2022 14:37            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#SENSITIVITY:                 25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PET-14                    UV-PET-14                    UV-PET-14                   
#SAMPLE MASS /mg:             1.38                         1.38                         1.38                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-48.90309;            ;-1.05073;-5.510993e-02
-47.90309;            ;-0.94744;      2.40544
-46.90309;            ;-1.02037;      2.21888
-45.90309;            ;-1.13183;      2.06788
-44.90309;            ;-1.25398;      1.95958
-43.90309;            ;-1.42085;      1.88343
-42.90309;            ;-1.61418;      1.83886
-41.90309;            ;-1.84483;      1.81831
-40.90309;            ;-1.93216;      1.81694
-39.90309;            ;-1.92595;      1.78252
-38.90309;            ;-1.92300;      1.75649
-37.90309;            ;-1.91081;      1.68109
-36.90309;            ;-1.90900;      1.70030
-35.90309;            ;-1.90577;      1.60016
-34.90309;            ;-1.90340;      1.61863
-33.90309;            ;-1.90076;      1.70022
-32.90309;            ;-1.89882;      1.77657
-31.90309;            ;-1.89870;      1.81132
-30.90309;            ;-1.90025;      1.82341
-29.90309;            ;-1.89984;      1.83950
-28.90309;            ;-1.90071;      1.83056
-27.90309;            ;-1.90004;      1.83340
-26.90309;            ;-1.89895;      1.83138
-25.90309;            ;-1.89980;      1.82337
-24.90309;            ;-1.89767;      1.81280
-23.90309;            ;-1.89776;      1.82577
-22.90309;            ;-1.89661;      1.82367
-21.90309;            ;-1.89468;      1.81940
-20.90309;            ;-1.89382;      1.82536
-19.90309;            ;-1.89165;      1.83162
-18.90309;            ;-1.88979;      1.83199
-17.90309;            ;-1.88801;      1.83747
-16.90309;            ;-1.88460;      1.84586
-15.90309;            ;-1.88297;      1.84686
-14.90309;            ;-1.88014;      1.85794
-13.90309;            ;-1.87765;      1.85475
-12.90309;            ;-1.87679;      1.86747
-11.90309;            ;-1.87507;      1.86876
-10.90309;            ;-1.87194;      1.87054
 -9.90309;            ;-1.87090;      1.87880
 -8.90309;            ;-1.86624;      1.88133
 -7.90309;            ;-1.86332;      1.88236
 -6.90309;            ;-1.86032;      1.88983
 -5.90309;            ;-1.85599;      1.88362
 -4.90309;            ;-1.85242;      1.89071
 -3.90309;            ;-1.84828;      1.89420
 -2.90309;            ;-1.84499;      1.89164
 -1.90309;            ;-1.84122;      1.90060
 -0.90309;            ;-1.83821;      1.89871
  0.09691;            ;-1.83544;      1.90836
  1.09691;            ;-1.83301;      1.90477
  2.09691;            ;-1.83052;      1.90653
  3.09691;            ;-1.82782;      1.91329
  4.09691;            ;-1.82592;      1.91609
  5.09691;            ;-1.82371;      1.92435
  6.09691;            ;-1.82239;      1.92525
  7.09691;            ;-1.82022;      1.92914
  8.09691;            ;-1.81879;      1.93164
  9.09691;            ;-1.81620;      1.92796
 10.09691;            ;-1.81442;      1.92918
 11.09691;            ;-1.81172;      1.92826
 12.09691;            ;-1.80446;      1.92933
 13.09691;            ;-1.79710;      1.93402
 14.09691;            ;-1.77374;      1.94183
 15.09691;            ;-1.71437;      1.94260
 16.09691;            ;-1.65113;      1.94625
 17.09691;            ;-1.80055;      1.94802
 18.09691;2.416771e-02;-1.80207;      1.93034
 19.09691;2.416771e-02;-1.79905;      1.94228
 20.09691;2.416771e-02;-1.79707;      1.95453
 21.09691;     2.33990;-1.79554;      1.96128
 22.09691;     2.24507;-1.79298;      1.96734
 23.09691;     2.13692;-1.79034;      1.96396
 24.09691;     2.05151;-1.78831;      1.96774
 25.09691;     1.98628;-1.78529;      1.96285
 26.09691;     1.93935;-1.78372;      1.95754
 27.09691;     1.90982;-1.78126;      1.95288
 28.09691;     1.89619;-1.77854;      1.95158
