#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PET-6.ngb-sdg             UV-PET-6.ngb-sdg             UV-PET-6.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PET-6                     UV-PET-6                     UV-PET-6                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   14.12.2022 05:28             14.12.2022 05:28             14.12.2022 05:28            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#SENSITIVITY:                 25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PET-6                     UV-PET-6                     UV-PET-6                    
#SAMPLE MASS /mg:             1.22                         1.22                         1.22                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-48.98485;            ;-0.92357;-2.422597e-02
-47.98485;            ;-0.82754;      2.64883
-46.98485;            ;-0.88068;      2.37218
-45.98485;            ;-0.96825;      2.17059
-44.98485;            ;-1.10217;      2.03244
-43.98485;            ;-1.29989;      1.94004
-42.98485;            ;-1.55240;      1.88687
-41.98485;            ;-1.82356;      1.86815
-40.98485;            ;-1.91557;      1.87839
-39.98485;            ;-1.91058;      1.83865
-38.98485;            ;-1.89900;      1.81123
-37.98485;            ;-1.88843;      1.72062
-36.98485;            ;-1.88941;      1.75060
-35.98485;            ;-1.88617;      1.64799
-34.98485;            ;-1.88458;      1.67199
-33.98485;            ;-1.88304;      1.76146
-32.98485;            ;-1.88375;      1.86107
-31.98485;            ;-1.88351;      1.90934
-30.98485;            ;-1.88000;      1.94672
-29.98485;            ;-1.87131;      1.94064
-28.98485;            ;-1.84744;      1.92595
-27.98485;            ;-1.76664;      1.91694
-26.98485;            ;-1.77516;      1.91359
-25.98485;            ;-1.86031;      1.90420
-24.98485;            ;-1.91090;      1.88544
-23.98485;            ;-1.90990;      1.88835
-22.98485;            ;-1.90791;      1.88846
-21.98485;            ;-1.90635;      1.87911
-20.98485;            ;-1.90377;      1.88492
-19.98485;            ;-1.90361;      1.89785
-18.98485;            ;-1.90174;      1.90157
-17.98485;            ;-1.90068;      1.90779
-16.98485;            ;-1.89932;      1.91763
-15.98485;            ;-1.89779;      1.92548
-14.98485;            ;-1.89562;      1.92238
-13.98485;            ;-1.89198;      1.93003
-12.98485;            ;-1.89026;      1.93445
-11.98485;            ;-1.88735;      1.93556
-10.98485;            ;-1.88614;      1.93995
 -9.98485;            ;-1.88427;      1.93303
 -8.98485;            ;-1.87973;      1.92535
 -7.98485;            ;-1.87674;      1.93437
 -6.98485;            ;-1.87313;      1.93396
 -5.98485;            ;-1.86839;      1.93734
 -4.98485;            ;-1.86483;      1.93915
 -3.98485;            ;-1.86232;      1.94654
 -2.98485;            ;-1.85816;      1.94684
 -1.98485;            ;-1.85435;      1.95238
 -0.98485;            ;-1.85183;      1.94790
  0.01515;            ;-1.84782;      1.95184
  1.01515;            ;-1.84498;      1.95848
  2.01515;            ;-1.84356;      1.96010
  3.01515;            ;-1.84105;      1.96139
  4.01515;            ;-1.83910;      1.95648
  5.01515;            ;-1.83660;      1.96610
  6.01515;            ;-1.83235;      1.96809
  7.01515;            ;-1.82854;      1.96807
  8.01515;            ;-1.82586;      1.97780
  9.01515;            ;-1.82399;      1.97480
 10.01515;            ;-1.82040;      1.97509
 11.01515;            ;-1.81856;      1.97727
 12.01515;            ;-1.81546;      1.98018
 13.01515;            ;-1.81162;      1.98998
 14.01515;            ;-1.80814;      1.99053
 15.01515;            ;-1.80439;      1.99492
 16.01515;            ;-1.80078;      1.99282
 17.01515;            ;-1.79857;      1.99592
 18.01515;            ;-1.79608;      2.00389
 19.01515;3.765777e-02;-1.79342;      2.01054
 20.01515;3.765777e-02;-1.79068;      2.01535
 21.01515;     2.25125;-1.78774;      2.02001
 22.01515;     2.35093;-1.78008;      2.01747
 23.01515;     2.30909;-1.76494;      2.02691
 24.01515;     2.24625;-1.74339;      2.02664
 25.01515;     2.18324;-1.68241;      2.02775
 26.01515;     2.12594;-1.71510;      2.03427
 27.01515;     2.07885;-1.78615;      2.03911
 28.01515;     2.04190;-1.78532;      2.03331
 29.01515;     2.00150;-1.78381;      2.03769
 30.01515;     1.94496;-1.78171;      2.04814
 31.01515;     1.82806;-1.77943;      2.05046
 32.01515;     1.81336;-1.77856;      2.04559
 33.01515;     1.82024;-1.77624;      2.03746
 34.01515;     1.67769;-1.77368;      2.03665
 35.01515;     1.74707;-1.77276;      2.03737
 36.01515;     1.83700;-1.77029;      2.01260
 37.01515;     1.90209;-1.76822;      2.01829
 38.01515;     1.95037;-1.76691;      2.03180
 39.01515;     1.97979;-1.76333;      2.03307
 40.01515;     1.98855;-1.76142;      2.02555
 41.01515;     1.99651;-1.75892;      2.02618
 42.01515;     1.98427;-1.75504;      2.03138
 43.01515;     1.99463;-1.75301;      2.02942
 44.01515;     1.98228;-1.74896;      2.03270
 45.01515;     1.98017;-1.74547;      2.03564
 46.01515;     1.98731;-1.74289;      2.03883
 47.01515;     1.98614;-1.73943;      2.03609
 48.01515;     1.98936;-1.73731;      2.04070
 49.01515;     1.99712;-1.73559;      2.04204
 50.01515;     1.99998;-1.73429;      2.04529
 51.01515;     2.01375;-1.73090;      2.04496
 52.01515;     2.02128;-1.72767;      2.04805
 53.01515;     2.02439;-1.72409;      2.04916
 54.01515;     2.02958;-1.71537;      2.05096
 55.01515;     2.03842;-1.72098;      2.05449
 56.01515;     2.03756;-1.73778;      2.04980
 57.01515;     2.04487;-1.73951;      2.05568
 58.01515;     2.04369;-1.73910;      2.05900
 59.01515;     2.05256;-1.73818;      2.05736
 60.01515;     2.05580;-1.73585;      2.06014
 61.01515;     2.06359;-1.73553;      2.06017
 62.01515;     2.06369;-1.73450;      2.06445
 63.01515;     2.06814;-1.73486;      2.06413
 64.01515;     2.07334;-1.73292;      2.06515
 65.01515;     2.07244;-1.73158;      2.06772
 66.01515;     2.08334;-1.73114;      2.06179
 67.01515;     2.08698;-1.73074;      2.06909
 68.01515;     2.08463;-1.73022;      2.07144
 69.01515;     2.08912;-1.73022;      2.07411
 70.01515;     2.08824;-1.72859;      2.07305
 71.01515;     2.08862;-1.73073;      2.07173
 72.01515;     2.09970;-1.73400;      2.07424
 73.01515;     2.09690;-1.73587;      2.07447
 74.01515;     2.10560;-1.73657;      2.07472
 75.01515;     2.10643;-1.73719;      2.07790
 76.01515;     2.10386;-1.73872;      2.08216
 77.01515;     2.10990;-1.74054;      2.08659
 78.01515;     2.11124;-1.74070;      2.08957
 79.01515;     2.12317;-1.74202;      2.09194
 80.01515;     2.12664;-1.74230;      2.10219
 81.01515;     2.12917;-1.74083;      2.10444
 82.01515;     2.13566;-1.74131;      2.10727
 83.01515;     2.13796;-1.73940;      2.10754
 84.01515;     2.14440;-1.73992;      2.10995
 85.01515;     2.15065;-1.73799;      2.11546
 86.01515;     2.15144;-1.73732;      2.12267
 87.01515;     2.15079;-1.73524;      2.12145
 88.01515;     2.15339;-1.73575;      2.12907
 89.01515;     2.15288;-1.73658;      2.13057
 90.01515;     2.15152;-1.73888;      2.13533
 91.01515;     2.14744;-1.73824;      2.14075
 92.01515;     2.15214;-1.73711;      2.14044
 93.01515;     2.14841;-1.73571;      2.14555
 94.01515;     2.14667;-1.73471;      2.14773
 95.01515;     2.14985;-1.73433;      2.14800
 96.01515;     2.14847;-1.73218;      2.15188
 97.01515;     2.14992;-1.73196;      2.15662
 98.01515;     2.15484;-1.73100;      2.15894
 99.01515;     2.15421;-1.72955;      2.16267
100.01515;     2.15218;-1.72867;      2.16488
101.01515;     2.15743;-1.72580;      2.16460
102.01515;     2.15718;-1.72545;      2.16623
103.01515;     2.16292;-1.72294;      2.16997
104.01515;     2.16125;-1.72324;      2.17286
105.01515;     2.16805;-1.72325;      2.17356
106.01515;     2.17282;-1.72324;      2.17253
107.01515;     2.17393;-1.72409;      2.18121
108.01515;     2.17809;-1.72405;      2.18182
109.01515;     2.18026;-1.72261;      2.18414
110.01515;     2.18120;-1.72196;      2.18711
111.01515;     2.18798;-1.72071;      2.19149
112.01515;     2.18530;-1.72084;      2.19378
113.01515;     2.19050;-1.72088;      2.18043
114.01515;     2.19307;-1.72118;      2.17124
115.01515;     2.19400;-1.71974;      2.18774
116.01515;     2.20010;-1.71988;      2.19813
117.01515;     2.20071;-1.71876;      2.19981
118.01515;     2.20218;-1.71805;      2.20126
119.01515;     2.20425;-1.71822;      2.20368
