#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PE-17.ngb-sdg              0-PE-17.ngb-sdg              0-PE-17.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PE-17                      0-PE-17                      0-PE-17                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   30.01.2023 13:21             30.01.2023 13:21             30.01.2023 13:21            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PE-17                      0-PE-17                      0-PE-17                     
#SAMPLE MASS /mg:             1.44                         1.44                         1.44                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.04388;             ; -1.55419;-0.14795
-48.04388;             ; -1.55419; 5.64049
-47.04388;             ; -1.36040; 5.63551
-46.04388;             ; -1.53590; 5.50590
-45.04388;             ; -1.78727; 5.34290
-44.04388;             ; -2.12358; 5.18874
-43.04388;             ; -2.58633; 5.06071
-42.04388;             ; -3.15823; 4.95833
-41.04388;             ; -3.74714; 4.75704
-40.04388;             ; -4.01301; 4.55735
-39.04388;             ; -4.01913; 4.29567
-38.04388;             ; -4.02073; 4.19521
-37.04388;             ; -4.01462; 4.12992
-36.04388;             ; -4.01963; 3.95154
-35.04388;             ; -4.02087; 3.91522
-34.04388;             ; -4.02717; 3.90557
-33.04388;             ; -4.03176; 3.91173
-32.04388;             ; -4.03800; 3.91001
-31.04388;             ; -4.04270; 3.91247
-30.04388;             ; -4.04847; 3.91068
-29.04388;             ; -4.05540; 3.91382
-28.04388;             ; -4.06567; 3.91415
-27.04388;             ; -4.07148; 3.91390
-26.04388;             ; -4.07844; 3.91820
-25.04388;             ; -4.08201; 3.91814
-24.04388;             ; -4.08636; 3.92699
-23.04388;             ; -4.09349; 3.93712
-22.04388;             ; -4.10182; 3.94424
-21.04388;             ; -4.11042; 3.95309
-20.04388;             ; -4.11524; 3.96200
-19.04388;             ; -4.12318; 3.97269
-18.04388;             ; -4.13023; 3.98590
-17.04388;             ; -4.13655; 3.99822
-16.04388;             ; -4.14096; 4.01017
-15.04388;             ; -4.14631; 4.02635
-14.04388;             ; -4.15244; 4.03420
-13.04388;             ; -4.16067; 4.04815
-12.04388;             ; -4.16696; 4.06154
-11.04388;             ; -4.17357; 4.07420
-10.04388;             ; -4.18099; 4.08918
 -9.04388;             ; -4.18414; 4.10146
 -8.04388;             ; -4.18963; 4.11870
 -7.04388;             ; -4.19205; 4.13231
 -6.04388;             ; -4.19768; 4.14431
 -5.04388;             ; -4.20256; 4.16121
 -4.04388;             ; -4.20646; 4.17188
 -3.04388;             ; -4.21038; 4.18808
 -2.04388;             ; -4.21452; 4.19933
 -1.04388;             ; -4.21746; 4.21068
 -0.04388;             ; -4.22257; 4.22427
  0.95612;             ; -4.22505; 4.23903
  1.95612;             ; -4.22793; 4.25454
  2.95612;             ; -4.23100; 4.27008
  3.95612;             ; -4.23563; 4.28204
  4.95612;             ; -4.24234; 4.29807
  5.95612;             ; -4.24763; 4.31464
  6.95612;             ; -4.25366; 4.32988
  7.95612;             ; -4.26123; 4.34751
  8.95612;             ; -4.26784; 4.36090
  9.95612;             ; -4.27521; 4.37658
 10.95612;             ; -4.27839; 4.39198
 11.95612;             ; -4.28062; 4.40413
 12.95612;             ; -4.28316; 4.41982
