#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PE-24.ngb-sdg              0-PE-24.ngb-sdg              0-PE-24.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PE-24                      0-PE-24                      0-PE-24                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   01.03.2023 15:50             01.03.2023 15:50             01.03.2023 15:50            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     15-02-2023 16:42             15-02-2023 16:42             15-02-2023 16:42            
#SENSITIVITY:                 15-02-2023 16:42             15-02-2023 16:42             15-02-2023 16:42            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PE-24                      0-PE-24                      0-PE-24                     
#SAMPLE MASS /mg:             1.5                          1.5                          1.5                         
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       15-02-2023 16:42             15-02-2023 16:42             15-02-2023 16:42            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.04956;            ;-1.02640;7.338912e-03
-48.04956;            ;-0.96316;     1.36890
-47.04956;            ;-1.06391;     1.73536
-46.04956;            ;-1.17175;     1.90923
-45.04956;            ;-1.27145;     1.97138
-44.04956;            ;-1.36261;     1.96679
-43.04956;            ;-1.41413;     1.91854
-42.04956;            ;-1.43763;     1.83949
-41.04956;            ;-1.47341;     1.74899
-40.04956;            ;-1.48759;     1.67218
-39.04956;            ;-1.49143;     1.59843
-38.04956;            ;-1.49681;     1.54725
-37.04956;            ;-1.50286;     1.50237
-36.04956;            ;-1.50829;     1.48157
-35.04956;            ;-1.51304;     1.47935
-34.04956;            ;-1.51830;     1.49500
-33.04956;            ;-1.52338;     1.51604
-32.04956;            ;-1.52774;     1.54214
-31.04956;            ;-1.53139;     1.56776
-30.04956;            ;-1.53224;     1.58777
-29.04956;            ;-1.53483;     1.60777
-28.04956;            ;-1.53713;     1.62153
-27.04956;            ;-1.54222;     1.63456
-26.04956;            ;-1.54628;     1.64373
-25.04956;            ;-1.55182;     1.65123
-24.04956;            ;-1.55672;     1.65477
-23.04956;            ;-1.56366;     1.65974
-22.04956;            ;-1.56835;     1.66513
-21.04956;            ;-1.57528;     1.67307
-20.04956;            ;-1.58010;     1.68058
-19.04956;            ;-1.58542;     1.69066
-18.04956;            ;-1.58970;     1.69914
-17.04956;            ;-1.59459;     1.70739
-16.04956;            ;-1.59926;     1.71867
-15.04956;            ;-1.60277;     1.72614
-14.04956;            ;-1.60683;     1.73379
-13.04956;            ;-1.61069;     1.74179
-12.04956;            ;-1.61472;     1.75063
-11.04956;            ;-1.61798;     1.75698
-10.04956;            ;-1.62112;     1.76416
 -9.04956;            ;-1.62442;     1.77071
 -8.04956;            ;-1.62808;     1.77843
 -7.04956;            ;-1.63291;     1.78671
 -6.04956;            ;-1.63611;     1.79383
 -5.04956;            ;-1.64136;     1.80165
 -4.04956;            ;-1.64404;     1.80955
 -3.04956;            ;-1.64921;     1.81854
 -2.04956;            ;-1.65331;     1.82508
 -1.04956;            ;-1.65837;     1.83268
 -0.04956;            ;-1.66304;     1.84033
  0.95044;            ;-1.66724;     1.84935
  1.95044;            ;-1.67054;     1.85609
  2.95044;            ;-1.67311;     1.86355
  3.95044;            ;-1.67594;     1.87229
  4.95044;            ;-1.67932;     1.87847
  5.95044;            ;-1.68363;     1.88489
  6.95044;            ;-1.69060;     1.89204
  7.95044;            ;-1.69850;     1.89863
  8.95044;            ;-1.70496;     1.90788
  9.95044;            ;-1.70936;     1.91604
 10.95044;            ;-1.71226;     1.92091
 11.95044;            ;-1.71630;     1.92733
 12.95044;            ;-1.72198;     1.93379
