#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PET-10.ngb-sdg             0-PET-10.ngb-sdg             0-PET-10.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PET-10                     0-PET-10                     0-PET-10                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   02.01.2023 14:53             02.01.2023 14:53             02.01.2023 14:53            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PET-10                     0-PET-10                     0-PET-10                    
#SAMPLE MASS /mg:             1.29                         1.29                         1.29                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.03439;             ;-1.57197;-0.22168
-48.03439;             ;-1.57197; 5.93990
-47.03439;             ;-1.38750; 5.95115
-46.03439;             ;-1.52333; 5.79184
-45.03439;             ;-1.71917; 5.61003
-44.03439;             ;-1.97489; 5.44250
-43.03439;             ;-2.34151; 5.29670
-42.03439;             ;-2.82003; 5.18802
-41.03439;             ;-3.40340; 4.98374
-40.03439;             ;-3.97306; 4.78598
-39.03439;             ;-4.24690; 4.51895
-38.03439;             ;-4.23507; 4.41429
-37.03439;             ;-4.21898; 4.33291
-36.03439;             ;-4.22098; 4.02797
-35.03439;             ;-4.21855; 4.03796
-34.03439;             ;-4.21808; 4.06504
-33.03439;             ;-4.22414; 4.09274
-32.03439;             ;-4.23064; 4.06460
-31.03439;             ;-4.23530; 4.06771
-30.03439;             ;-4.24287; 4.06682
-29.03439;             ;-4.24596; 4.05688
-28.03439;             ;-4.25019; 4.05263
-27.03439;             ;-4.25723; 4.03872
-26.03439;             ;-4.26436; 4.03937
-25.03439;             ;-4.27151; 4.06281
-24.03439;             ;-4.27611; 4.04706
-23.03439;             ;-4.28042; 4.05334
-22.03439;             ;-4.28428; 4.06406
-21.03439;             ;-4.28786; 4.07257
-20.03439;             ;-4.29294; 4.08684
-19.03439;             ;-4.30154; 4.09422
-18.03439;             ;-4.31064; 4.10373
-17.03439;             ;-4.31531; 4.10969
-16.03439;             ;-4.31768; 4.12700
-15.03439;             ;-4.31773; 4.14188
-14.03439;             ;-4.32172; 4.15177
-13.03439;             ;-4.32446; 4.16325
-12.03439;             ;-4.32895; 4.17493
-11.03439;             ;-4.33436; 4.18627
-10.03439;             ;-4.34019; 4.19639
 -9.03439;             ;-4.34167; 4.20727
 -8.03439;             ;-4.34366; 4.22009
 -7.03439;             ;-4.34361; 4.22990
 -6.03439;             ;-4.34485; 4.24074
 -5.03439;             ;-4.34781; 4.25414
 -4.03439;             ;-4.35107; 4.26507
 -3.03439;             ;-4.35462; 4.27514
 -2.03439;             ;-4.35911; 4.28678
 -1.03439;             ;-4.36386; 4.29605
 -0.03439;             ;-4.36591; 4.30493
  0.96561;             ;-4.36903; 4.31279
  1.96561;             ;-4.36872; 4.32366
  2.96561;             ;-4.36879; 4.33430
  3.96561;             ;-4.36978; 4.34759
  4.96561;             ;-4.36996; 4.36365
  5.96561;             ;-4.37514; 4.38009
  6.96561;             ;-4.37661; 4.39377
  7.96561;             ;-4.37970; 4.41004
  8.96561;             ;-4.37941; 4.42219
  9.96561;             ;-4.37719; 4.43721
 10.96561;             ;-4.37841; 4.45195
 11.96561;             ;-4.37772; 4.46187
 12.96561;             ;-4.37901; 4.47231
