#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        0-PET-4.ngb-sdg              0-PET-4.ngb-sdg              0-PET-4.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    0-PET-4                      0-PET-4                      0-PET-4                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.12.2022 21:28             13.12.2022 21:28             13.12.2022 21:28            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#SENSITIVITY:                 25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      0-PET-4                      0-PET-4                      0-PET-4                     
#SAMPLE MASS /mg:             1.28                         1.28                         1.28                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.09174;            ;-0.80318;4.139827e-02
-48.09174;            ;-0.67923;     2.82222
-47.09174;            ;-0.75836;     2.53338
-46.09174;            ;-0.85240;     2.31630
-45.09174;            ;-0.99829;     2.16627
-44.09174;            ;-1.20766;     2.06580
-43.09174;            ;-1.50224;     2.00468
-42.09174;            ;-1.75870;     1.97866
-41.09174;            ;-1.81646;     1.98050
-40.09174;            ;-1.81559;     1.94072
-39.09174;            ;-1.82589;     1.90106
-38.09174;            ;-1.81803;     1.80276
-37.09174;            ;-1.81770;     1.82779
-36.09174;            ;-1.82041;     1.84310
-35.09174;            ;-1.82377;     1.72190
-34.09174;            ;-1.82836;     1.82089
-33.09174;            ;-1.83068;     1.91347
-32.09174;            ;-1.83035;     1.97588
-31.09174;            ;-1.83122;     2.00222
-30.09174;            ;-1.83372;     2.00189
-29.09174;            ;-1.83649;     1.99713
-28.09174;            ;-1.83886;     1.98210
-27.09174;            ;-1.84267;     1.98605
-26.09174;            ;-1.84312;     1.96659
-25.09174;            ;-1.84966;     1.95241
-24.09174;            ;-1.86116;     1.95620
-23.09174;            ;-1.86469;     1.94815
-22.09174;            ;-1.86617;     1.95724
-21.09174;            ;-1.87063;     1.95571
-20.09174;            ;-1.87196;     1.95111
-19.09174;            ;-1.87522;     1.96030
-18.09174;            ;-1.87496;     1.96776
-17.09174;            ;-1.87522;     1.97148
-16.09174;            ;-1.87526;     1.97620
-15.09174;            ;-1.87439;     1.93912
-14.09174;            ;-1.87421;     1.94285
-13.09174;            ;-1.87462;     1.98069
-12.09174;            ;-1.87446;     1.98331
-11.09174;            ;-1.87489;     1.98465
-10.09174;            ;-1.87305;     1.97219
 -9.09174;            ;-1.87275;     1.98278
 -8.09174;            ;-1.87195;     1.98569
 -7.09174;            ;-1.87154;     1.98743
 -6.09174;            ;-1.87096;     1.98917
 -5.09174;            ;-1.87019;     1.98895
 -4.09174;            ;-1.86990;     1.99472
 -3.09174;            ;-1.86790;     1.99080
 -2.09174;            ;-1.86813;     1.99016
 -1.09174;            ;-1.86648;     1.99863
 -0.09174;            ;-1.86446;     2.00287
  0.90826;            ;-1.86213;     2.00614
  1.90826;            ;-1.86123;     2.01017
  2.90826;            ;-1.85959;     2.01195
  3.90826;            ;-1.85875;     2.01427
  4.90826;            ;-1.85834;     2.00930
  5.90826;            ;-1.85700;     2.01154
  6.90826;            ;-1.85696;     2.01184
  7.90826;            ;-1.85574;     2.01206
  8.90826;            ;-1.85570;     2.01997
  9.90826;            ;-1.85460;     2.01863
 10.90826;            ;-1.85303;     2.01947
 11.90826;            ;-1.85047;     2.02229
 12.90826;            ;-1.84848;     2.02007
