#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PET-20.ngb-sdg            UV-PET-20.ngb-sdg            UV-PET-20.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PET-20                    UV-PET-20                    UV-PET-20                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   14.12.2022 21:29             14.12.2022 21:29             14.12.2022 21:29            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#SENSITIVITY:                 25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PET-20                    UV-PET-20                    UV-PET-20                   
#SAMPLE MASS /mg:             1.4                          1.4                          1.4                         
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-48.92607;            ;-0.93026;-4.704108e-02
-47.92607;            ;-0.81267;      2.52880
-46.92607;            ;-0.88342;      2.25937
-45.92607;            ;-0.96419;      2.05916
-44.92607;            ;-1.09749;      1.92084
-43.92607;            ;-1.28212;      1.83043
-42.92607;            ;-1.53925;      1.78169
-41.92607;            ;-1.79222;      1.76530
-40.92607;            ;-1.91080;      1.77101
-39.92607;            ;-1.89398;      1.73482
-38.92607;            ;-1.89597;      1.70715
-37.92607;            ;-1.88855;      1.62294
-36.92607;            ;-1.88500;      1.65791
-35.92607;            ;-1.88388;      1.54912
-34.92607;            ;-1.88145;      1.58852
-33.92607;            ;-1.88500;      1.68580
-32.92607;            ;-1.88491;      1.77432
-31.92607;            ;-1.88566;      1.82454
-30.92607;            ;-1.88619;      1.83513
-29.92607;            ;-1.88559;      1.85774
-28.92607;            ;-1.88487;      1.84475
-27.92607;            ;-1.88559;      1.84181
-26.92607;            ;-1.88499;      1.81494
-25.92607;            ;-1.88462;      1.80527
-24.92607;            ;-1.88347;      1.79757
-23.92607;            ;-1.87965;      1.80325
-22.92607;            ;-1.87952;      1.81500
-21.92607;            ;-1.87745;      1.81584
-20.92607;            ;-1.87817;      1.81350
-19.92607;            ;-1.87540;      1.82902
-18.92607;            ;-1.87463;      1.83206
-17.92607;            ;-1.87536;      1.83517
-16.92607;            ;-1.87644;      1.85476
-15.92607;            ;-1.87468;      1.86600
-14.92607;            ;-1.87319;      1.87274
-13.92607;            ;-1.87155;      1.86053
-12.92607;            ;-1.87133;      1.86494
-11.92607;            ;-1.86853;      1.86774
-10.92607;            ;-1.86664;      1.87068
 -9.92607;            ;-1.86559;      1.86463
 -8.92607;            ;-1.86330;      1.87038
 -7.92607;            ;-1.86054;      1.87109
 -6.92607;            ;-1.85940;      1.87521
 -5.92607;            ;-1.85505;      1.87444
 -4.92607;            ;-1.85346;      1.88433
 -3.92607;            ;-1.85051;      1.89028
 -2.92607;            ;-1.84814;      1.89566
 -1.92607;            ;-1.84709;      1.89996
 -0.92607;            ;-1.84485;      1.89796
  0.07393;            ;-1.84277;      1.90798
  1.07393;            ;-1.84112;      1.91238
  2.07393;            ;-1.83811;      1.90757
  3.07393;            ;-1.83600;      1.91613
  4.07393;            ;-1.83485;      1.91653
  5.07393;            ;-1.83236;      1.92657
  6.07393;            ;-1.83115;      1.92606
  7.07393;            ;-1.82900;      1.93140
  8.07393;            ;-1.82720;      1.93944
  9.07393;            ;-1.82459;      1.92884
 10.07393;            ;-1.82048;      1.93243
 11.07393;            ;-1.81776;      1.93981
 12.07393;            ;-1.81309;      1.94178
 13.07393;            ;-1.80989;      1.94662
 14.07393;            ;-1.80561;      1.95874
 15.07393;            ;-1.80138;      1.95972
 16.07393;            ;-1.79783;      1.97084
 17.07393;            ;-1.79456;      1.96771
 18.07393;1.792231e-02;-1.79081;      1.96917
 19.07393;1.792231e-02;-1.78843;      1.96873
 20.07393;1.792231e-02;-1.78512;      1.96386
 21.07393;     2.21271;-1.77781;      1.96434
 22.07393;     2.31621;-1.77412;      1.96384
 23.07393;     2.27215;-1.77216;      1.96823
 24.07393;     2.21360;-1.77523;      1.96933
 25.07393;     2.15274;-1.77708;      1.96668
 26.07393;     2.09841;-1.77648;      1.97064
 27.07393;     2.05199;-1.77428;      1.98011
 28.07393;     2.01633;-1.77086;      1.97468
 29.07393;     1.97211;-1.76961;      1.97916
 30.07393;     1.91456;-1.76765;      1.97862
 31.07393;     1.79629;-1.76629;      1.98327
 32.07393;     1.78374;-1.76605;      1.98571
 33.07393;     1.79138;-1.76408;      1.98077
 34.07393;     1.65530;-1.76258;      1.98724
 35.07393;     1.72893;-1.76074;      1.98724
 36.07393;     1.82188;-1.75828;      1.99080
 37.07393;     1.88636;-1.75867;      1.99333
 38.07393;     1.93994;-1.75603;      1.99682
