#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PET-28.ngb-sdg            UV-PET-28.ngb-sdg            UV-PET-28.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PET-28                    UV-PET-28                    UV-PET-28                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   22.12.2022 19:05             22.12.2022 19:05             22.12.2022 19:05            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PET-28                    UV-PET-28                    UV-PET-28                   
#SAMPLE MASS /mg:             1.35                         1.35                         1.35                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.07221;            ;-0.59998;6.531257e-03
-48.07221;            ;-0.52845;     1.70581
-47.07221;            ;-0.57903;     1.59639
-46.07221;            ;-0.62736;     1.50583
-45.07221;            ;-0.70472;     1.43771
-44.07221;            ;-0.78865;     1.38940
-43.07221;            ;-0.90775;     1.35904
-42.07221;            ;-1.05304;     1.34464
-41.07221;            ;-1.20572;     1.33992
-40.07221;            ;-1.25678;     1.31710
-39.07221;            ;-1.25478;     1.30101
-38.07221;            ;-1.25614;     1.24742
-37.07221;            ;-1.25738;     1.25757
-36.07221;            ;-1.26130;     1.23695
-35.07221;            ;-1.26347;     1.26408
-34.07221;            ;-1.26622;     1.28700
-33.07221;            ;-1.26796;     1.30929
-32.07221;            ;-1.26937;     1.32885
-31.07221;            ;-1.27134;     1.34443
-30.07221;            ;-1.27300;     1.35458
-29.07221;            ;-1.27522;     1.36160
-28.07221;            ;-1.27700;     1.36454
-27.07221;            ;-1.28022;     1.36680
-26.07221;            ;-1.28358;     1.36748
-25.07221;            ;-1.28660;     1.37077
-24.07221;            ;-1.29061;     1.37420
-23.07221;            ;-1.29427;     1.37932
-22.07221;            ;-1.29633;     1.38381
-21.07221;            ;-1.29894;     1.38834
-20.07221;            ;-1.30098;     1.39310
-19.07221;            ;-1.30295;     1.39755
-18.07221;            ;-1.30523;     1.39987
-17.07221;            ;-1.30803;     1.40307
-16.07221;            ;-1.31280;     1.40562
-15.07221;            ;-1.31683;     1.40970
-14.07221;            ;-1.31861;     1.41372
-13.07221;            ;-1.32038;     1.41706
-12.07221;            ;-1.32121;     1.41927
-11.07221;            ;-1.32349;     1.42205
-10.07221;            ;-1.32490;     1.42593
 -9.07221;            ;-1.32638;     1.42996
 -8.07221;            ;-1.32752;     1.43478
 -7.07221;            ;-1.33007;     1.43954
 -6.07221;            ;-1.33246;     1.44289
 -5.07221;            ;-1.33627;     1.44991
 -4.07221;            ;-1.34060;     1.45488
 -3.07221;            ;-1.33942;     1.46088
 -2.07221;            ;-1.33181;     1.46620
 -1.07221;            ;-1.33383;     1.47039
 -0.07221;            ;-1.33600;     1.47558
  0.92779;            ;-1.33789;     1.48004
  1.92779;            ;-1.33931;     1.48403
  2.92779;            ;-1.34061;     1.48820
  3.92779;            ;-1.34270;     1.49220
  4.92779;            ;-1.34387;     1.49735
  5.92779;            ;-1.34613;     1.50247
  6.92779;            ;-1.34779;     1.50818
  7.92779;            ;-1.35095;     1.51396
  8.92779;            ;-1.35306;     1.51918
  9.92779;            ;-1.35473;     1.52395
 10.92779;            ;-1.35536;     1.52832
 11.92779;            ;-1.35597;     1.53209
 12.92779;            ;-1.35644;     1.53627
 13.92779;            ;-1.35673;     1.53971
 14.92779;            ;-1.35663;     1.54408
 15.92779;            ;-1.35847;     1.54844
 16.92779;            ;-1.35956;     1.55205
 17.92779;            ;-1.36106;     1.55674
 18.92779;4.635308e-02;-1.36313;     1.56081
 19.92779;4.635308e-02;-1.36541;     1.56503
 20.92779;     1.81907;-1.36759;     1.56956
 21.92779;     1.90256;-1.36908;     1.57310
 22.92779;     1.87119;-1.37115;     1.57669
 23.92779;     1.82291;-1.37344;     1.57990
 24.92779;     1.77422;-1.37472;     1.58311
 25.92779;     1.72952;-1.37592;     1.58625
 26.92779;     1.69151;-1.37758;     1.58922
 27.92779;     1.66185;-1.37952;     1.59225
 28.92779;     1.63173;-1.38254;     1.59526
 29.92779;     1.58924;-1.38414;     1.59840
 30.92779;     1.50117;-1.38567;     1.60171
