#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        UV-PET-7.ngb-sdg             UV-PET-7.ngb-sdg             UV-PET-7.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    UV-PET-7                     UV-PET-7                     UV-PET-7                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   14.12.2022 06:37             14.12.2022 06:37             14.12.2022 06:37            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#SENSITIVITY:                 25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      UV-PET-7                     UV-PET-7                     UV-PET-7                    
#SAMPLE MASS /mg:             1.17                         1.17                         1.17                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       25-11-2022 15:44             25-11-2022 15:44             25-11-2022 15:44            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.05878;            ;-1.03269;-2.314471e-02
-48.05878;            ;-0.95741;      3.01392
-47.05878;            ;-1.04828;      2.71835
-46.05878;            ;-1.15818;      2.49962
-45.05878;            ;-1.29898;      2.34656
-44.05878;            ;-1.51839;      2.24296
-43.05878;            ;-1.80163;      2.18089
-42.05878;            ;-2.10326;      2.15552
-41.05878;            ;-2.16556;      2.15940
-40.05878;            ;-2.16155;      2.11842
-39.05878;            ;-2.12505;      2.08031
-38.05878;            ;-2.13413;      1.98014
-37.05878;            ;-2.13358;      2.00643
-36.05878;            ;-2.13180;      1.96715
-35.05878;            ;-2.12217;      1.90161
-34.05878;            ;-2.11950;      2.01721
-33.05878;            ;-2.10037;      2.09143
-32.05878;            ;-2.09835;      2.16607
-31.05878;            ;-2.10636;      2.19635
-30.05878;            ;-2.12866;      2.19844
-29.05878;            ;-2.13025;      2.20092
-28.05878;            ;-2.12944;      2.19577
-27.05878;            ;-2.12928;      2.18506
-26.05878;            ;-2.12633;      2.18272
-25.05878;            ;-2.12519;      2.17032
-24.05878;            ;-2.12170;      2.16730
-23.05878;            ;-2.12049;      2.17359
-22.05878;            ;-2.12569;      2.16390
-21.05878;            ;-2.12824;      2.17059
-20.05878;            ;-2.12629;      2.17073
-19.05878;            ;-2.12699;      2.18327
-18.05878;            ;-2.12761;      2.19148
-17.05878;            ;-2.12858;      2.18898
-16.05878;            ;-2.12815;      2.20730
-15.05878;            ;-2.12526;      2.20561
-14.05878;            ;-2.12327;      2.20853
-13.05878;            ;-2.12157;      2.22178
-12.05878;            ;-2.11788;      2.21865
-11.05878;            ;-2.11809;      2.21248
-10.05878;            ;-2.11603;      2.21584
 -9.05878;            ;-2.11522;      2.21826
 -8.05878;            ;-2.11130;      2.21319
 -7.05878;            ;-2.10455;      2.22030
 -6.05878;            ;-2.10583;      2.22347
 -5.05878;            ;-2.10251;      2.22009
 -4.05878;            ;-2.09208;      2.22361
 -3.05878;            ;-2.08779;      2.24049
 -2.05878;            ;-2.07877;      2.23530
 -1.05878;            ;-2.04892;      2.24051
 -0.05878;            ;-2.01570;      2.24234
  0.94122;            ;-2.05123;      2.23658
  1.94122;            ;-2.03955;      2.24271
  2.94122;            ;-2.03652;      2.24806
  3.94122;            ;-2.79837;      2.25020
  4.94122;            ;-2.07676;      2.25134
  5.94122;            ;-2.04437;      2.26052
  6.94122;            ;-2.03351;      2.26875
  7.94122;            ;-2.03305;      2.25872
  8.94122;            ;-2.03076;      2.26504
  9.94122;            ;-2.02387;      2.27043
 10.94122;            ;-2.02056;      2.27164
 11.94122;            ;-2.01749;      2.27293
 12.94122;            ;-2.01404;      2.27617
