#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PE-28.ngb-sdg             eb-PE-28.ngb-sdg             eb-PE-28.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PE-28                     eb-PE-28                     eb-PE-28                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   11.01.2023 14:58             11.01.2023 14:58             11.01.2023 14:58            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PE-28                     eb-PE-28                     eb-PE-28                    
#SAMPLE MASS /mg:             1.29                         1.29                         1.29                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.03734;             ;-1.71437;-0.19184
-48.03734;             ;-1.71437; 6.35752
-47.03734;             ;-1.57237; 6.35717
-46.03734;             ;-1.71486; 6.20875
-45.03734;             ;-1.92381; 6.02658
-44.03734;             ;-2.21243; 5.85005
-43.03734;             ;-2.60995; 5.70688
-42.03734;             ;-3.12978; 5.58684
-41.03734;             ;-3.75005; 5.35868
-40.03734;             ;-4.32443; 5.12586
-39.03734;             ;-4.57476; 4.82513
-38.03734;             ;-4.58326; 4.71367
-37.03734;             ;-4.57990; 4.64586
-36.03734;             ;-4.57230; 4.26850
-35.03734;             ;-4.57626; 4.29810
-34.03734;             ;-4.57672; 4.34726
-33.03734;             ;-4.58381; 4.37145
-32.03734;             ;-4.58985; 4.39302
-31.03734;             ;-4.59737; 4.41137
-30.03734;             ;-4.60352; 4.39838
-29.03734;             ;-4.61239; 4.41010
-28.03734;             ;-4.62011; 4.40233
-27.03734;             ;-4.63026; 4.40762
-26.03734;             ;-4.63945; 4.41221
-25.03734;             ;-4.64926; 4.39509
-24.03734;             ;-4.65897; 4.42077
-23.03734;             ;-4.66726; 4.42782
-22.03734;             ;-4.67622; 4.42584
-21.03734;             ;-4.68341; 4.44132
-20.03734;             ;-4.69139; 4.44175
-19.03734;             ;-4.70086; 4.46284
-18.03734;             ;-4.70670; 4.47810
-17.03734;             ;-4.71349; 4.48677
-16.03734;             ;-4.71697; 4.51957
-15.03734;             ;-4.72228; 4.51809
-14.03734;             ;-4.73112; 4.53041
-13.03734;             ;-4.73842; 4.55361
-12.03734;             ;-4.74490; 4.55709
-11.03734;             ;-4.75113; 4.57254
-10.03734;             ;-4.75523; 4.59130
 -9.03734;             ;-4.76418; 4.59806
 -8.03734;             ;-4.76905; 4.62536
 -7.03734;             ;-4.77405; 4.63373
 -6.03734;             ;-4.77966; 4.64826
 -5.03734;             ;-4.78409; 4.66760
 -4.03734;             ;-4.78963; 4.65149
 -3.03734;             ;-4.79498; 4.71269
 -2.03734;             ;-4.79887; 4.72444
 -1.03734;             ;-4.80556; 4.73052
 -0.03734;             ;-4.80892; 4.74113
  0.96266;             ;-4.81360; 4.74205
  1.96266;             ;-4.81872; 4.76361
  2.96266;             ;-4.82212; 4.77302
  3.96266;             ;-4.82862; 4.79857
  4.96266;             ;-4.83246; 4.81989
  5.96266;             ;-4.83806; 4.81577
  6.96266;             ;-4.84591; 4.84538
  7.96266;             ;-4.85131; 4.87139
  8.96266;             ;-4.85747; 4.88794
  9.96266;             ;-4.86151; 4.89284
 10.96266;             ;-4.86398; 4.92275
 11.96266;             ;-4.86933; 4.94981
 12.96266;             ;-4.87136; 4.96534
