#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PE-52.ngb-sdg             eb-PE-52.ngb-sdg             eb-PE-52.ngb-sdg            
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PE-52                     eb-PE-52                     eb-PE-52                    
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.01.2023 22:03             13.01.2023 22:03             13.01.2023 22:03            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    MH                           MH                           MH                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PE-52                     eb-PE-52                     eb-PE-52                    
#SAMPLE MASS /mg:             1.29                         1.29                         1.29                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.87311;             ;-2.63771;-8.868156e-02
-48.87311;             ;-2.62566;      5.45174
-47.87311;             ;-3.23867;      6.07044
-46.87311;             ;-3.83590;      6.04804
-45.87311;             ;-4.16215;      5.88033
-44.87311;             ;-4.18461;      5.69827
-43.87311;             ;-4.19309;      5.53354
-42.87311;             ;-4.19221;      5.39483
-41.87311;             ;-4.19125;      5.27047
-40.87311;             ;-4.19323;      5.06204
-39.87311;             ;-4.19968;      4.84687
-38.87311;             ;-4.20721;      4.60432
-37.87311;             ;-4.21859;      4.51246
-36.87311;             ;-4.22466;      4.29568
-35.87311;             ;-4.23563;      4.24159
-34.87311;             ;-4.24360;      4.20754
-33.87311;             ;-4.25119;      4.20669
-32.87311;             ;-4.26037;      4.21320
-31.87311;             ;-4.26584;      4.22664
-30.87311;             ;-4.27531;      4.22722
-29.87311;             ;-4.28207;      4.22106
-28.87311;             ;-4.29112;      4.22428
-27.87311;             ;-4.30096;      4.21693
-26.87311;             ;-4.30620;      4.21700
-25.87311;             ;-4.31180;      4.22003
-24.87311;             ;-4.31534;      4.22032
-23.87311;             ;-4.32176;      4.22814
-22.87311;             ;-4.32871;      4.23559
-21.87311;             ;-4.33504;      4.25048
-20.87311;             ;-4.34280;      4.25861
-19.87311;             ;-4.35117;      4.27162
-18.87311;             ;-4.35656;      4.29032
-17.87311;             ;-4.36100;      4.30410
-16.87311;             ;-4.36625;      4.31729
-15.87311;             ;-4.37070;      4.33233
-14.87311;             ;-4.38000;      4.34794
-13.87311;             ;-4.38747;      4.36487
-12.87311;             ;-4.39687;      4.38160
-11.87311;             ;-4.40347;      4.39482
-10.87311;             ;-4.41394;      4.40925
 -9.87311;             ;-4.42031;      4.42408
 -8.87311;             ;-4.42653;      4.44098
 -7.87311;             ;-4.42379;      4.45442
 -6.87311;             ;-4.42910;      4.46650
 -5.87311;             ;-4.43231;      4.48561
 -4.87311;             ;-4.43889;      4.49971
 -3.87311;             ;-4.44425;      4.52314
 -2.87311;             ;-4.44926;      4.53196
 -1.87311;             ;-4.45582;      4.54501
 -0.87311;             ;-4.46128;      4.55485
  0.12689;             ;-4.46743;      4.56467
  1.12689;             ;-4.47285;      4.57970
  2.12689;             ;-4.47745;      4.59886
  3.12689;             ;-4.48271;      4.60735
  4.12689;             ;-4.48735;      4.62748
  5.12689;             ;-4.49121;      4.64119
  6.12689;             ;-4.49723;      4.65885
  7.12689;             ;-4.50289;      4.67460
  8.12689;             ;-4.50975;      4.69114
  9.12689;             ;-4.51580;      4.71054
 10.12689;             ;-4.52245;      4.72539
 11.12689;             ;-4.53170;      4.73917
 12.12689;             ;-4.53667;      4.75744
