#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PE-7.ngb-sdg              eb-PE-7.ngb-sdg              eb-PE-7.ngb-sdg             
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PE-7                      eb-PE-7                      eb-PE-7                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   09.01.2023 15:59             09.01.2023 15:59             09.01.2023 15:59            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PE-7                      eb-PE-7                      eb-PE-7                     
#SAMPLE MASS /mg:             1.05                         1.05                         1.05                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.04034;             ; -2.11505;-0.23698
-48.04034;             ; -2.11505; 7.64638
-47.04034;             ; -1.83640; 7.62938
-46.04034;             ; -2.04090; 7.45319
-45.04034;             ; -2.31469; 7.22792
-44.04034;             ; -2.70856; 7.01819
-43.04034;             ; -3.24708; 6.84469
-42.04034;             ; -3.94496; 6.70514
-41.04034;             ; -4.75948; 6.42555
-40.04034;             ; -5.36555; 6.16094
-39.04034;             ; -5.46878; 5.79746
-38.04034;             ; -5.46171; 5.65970
-37.04034;             ; -5.44228; 5.56987
-36.04034;             ; -5.44570; 5.12532
-35.04034;             ; -5.44953; 5.17367
-34.04034;             ; -5.45515; 5.20972
-33.04034;             ; -5.46813; 5.24817
-32.04034;             ; -5.47834; 5.28796
-31.04034;             ; -5.48262; 5.28273
-30.04034;             ; -5.49227; 5.27796
-29.04034;             ; -5.50094; 5.27321
-28.04034;             ; -5.51392; 5.30058
-27.04034;             ; -5.52534; 5.28208
-26.04034;             ; -5.53170; 5.27064
-25.04034;             ; -5.54419; 5.28716
-24.04034;             ; -5.55301; 5.28516
-23.04034;             ; -5.56197; 5.30678
-22.04034;             ; -5.57369; 5.30772
-21.04034;             ; -5.58294; 5.30384
-20.04034;             ; -5.59279; 5.35067
-19.04034;             ; -5.60294; 5.35483
-18.04034;             ; -5.60958; 5.37068
-17.04034;             ; -5.61507; 5.39276
-16.04034;             ; -5.61866; 5.38766
-15.04034;             ; -5.62122; 5.41139
-14.04034;             ; -5.62772; 5.42503
-13.04034;             ; -5.63108; 5.44734
-12.04034;             ; -5.63921; 5.47069
-11.04034;             ; -5.64530; 5.47172
-10.04034;             ; -5.65260; 5.49136
 -9.04034;             ; -5.65936; 5.51077
 -8.04034;             ; -5.66485; 5.52963
 -7.04034;             ; -5.67092; 5.55138
 -6.04034;             ; -5.67512; 5.54232
 -5.04034;             ; -5.67750; 5.57227
 -4.04034;             ; -5.68407; 5.56821
 -3.04034;             ; -5.69114; 5.60109
 -2.04034;             ; -5.69612; 5.63371
 -1.04034;             ; -5.69933; 5.63202
 -0.04034;             ; -5.70096; 5.64058
  0.95966;             ; -5.70626; 5.64974
  1.95966;             ; -5.71072; 5.65392
  2.95966;             ; -5.71530; 5.69126
  3.95966;             ; -5.72096; 5.69649
  4.95966;             ; -5.73025; 5.71880
  5.95966;             ; -5.73462; 5.75527
  6.95966;             ; -5.73959; 5.77061
  7.95966;             ; -5.74451; 5.80069
  8.95966;             ; -5.74805; 5.82599
  9.95966;             ; -5.75266; 5.83536
 10.95966;             ; -5.75777; 5.84660
 11.95966;             ; -5.76190; 5.84328
 12.95966;             ; -5.76335; 5.86943
