#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PET-37.ngb-sdg            eb-PET-37.ngb-sdg            eb-PET-37.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PET-37                    eb-PET-37                    eb-PET-37                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.01.2023 01:32             13.01.2023 01:32             13.01.2023 01:32            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PET-37                    eb-PET-37                    eb-PET-37                   
#SAMPLE MASS /mg:             1.45                         1.45                         1.45                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.03395;             ;-1.42522;-0.18640
-48.03395;             ;-1.42522; 5.32208
-47.03395;             ;-1.25907; 5.31617
-46.03395;             ;-1.35558; 5.18416
-45.03395;             ;-1.51040; 5.01874
-44.03395;             ;-1.74030; 4.86207
-43.03395;             ;-2.04834; 4.72643
-42.03395;             ;-2.45907; 4.62414
-41.03395;             ;-2.97792; 4.42623
-40.03395;             ;-3.51220; 4.23730
-39.03395;             ;-3.76824; 3.97109
-38.03395;             ;-3.77564; 3.87349
-37.03395;             ;-3.75739; 3.79430
-36.03395;             ;-3.75910; 3.49976
-35.03395;             ;-3.76312; 3.52358
-34.03395;             ;-3.76578; 3.54821
-33.03395;             ;-3.76900; 3.58047
-32.03395;             ;-3.77100; 3.58855
-31.03395;             ;-3.77228; 3.59823
-30.03395;             ;-3.77689; 3.59372
-29.03395;             ;-3.77975; 3.58458
-28.03395;             ;-3.78406; 3.59294
-27.03395;             ;-3.78644; 3.58120
-26.03395;             ;-3.79212; 3.58552
-25.03395;             ;-3.79293; 3.58332
-24.03395;             ;-3.79484; 3.57701
-23.03395;             ;-3.79722; 3.59723
-22.03395;             ;-3.80153; 3.60011
-21.03395;             ;-3.80521; 3.61220
-20.03395;             ;-3.80928; 3.62072
-19.03395;             ;-3.81280; 3.63008
-18.03395;             ;-3.81650; 3.63925
-17.03395;             ;-3.82153; 3.65050
-16.03395;             ;-3.82330; 3.65941
-15.03395;             ;-3.82713; 3.66848
-14.03395;             ;-3.82852; 3.67877
-13.03395;             ;-3.83150; 3.68956
-12.03395;             ;-3.83397; 3.70267
-11.03395;             ;-3.83563; 3.71380
-10.03395;             ;-3.84012; 3.72430
 -9.03395;             ;-3.84349; 3.73710
 -8.03395;             ;-3.84444; 3.74876
 -7.03395;             ;-3.84534; 3.75593
 -6.03395;             ;-3.84525; 3.76364
 -5.03395;             ;-3.84856; 3.76756
 -4.03395;             ;-3.85154; 3.78476
 -3.03395;             ;-3.85297; 3.80373
 -2.03395;             ;-3.85350; 3.81735
 -1.03395;             ;-3.85330; 3.82573
 -0.03395;             ;-3.85288; 3.83012
  0.96605;             ;-3.85590; 3.83664
  1.96605;             ;-3.85729; 3.84502
  2.96605;             ;-3.85838; 3.85428
  3.96605;             ;-3.85992; 3.86459
  4.96605;             ;-3.85928; 3.87353
  5.96605;             ;-3.86259; 3.88582
  6.96605;             ;-3.86425; 3.90087
  7.96605;             ;-3.86702; 3.91908
  8.96605;             ;-3.86920; 3.94192
  9.96605;             ;-3.86824; 3.95705
 10.96605;             ;-3.87060; 3.96898
 11.96605;             ;-3.87155; 3.98236
 12.96605;             ;-3.87214; 3.98993
 13.96605;             ;-3.87348; 3.99849
 14.96605;             ;-3.87266; 4.00661
 15.96605;             ;-3.87236; 4.01575
 16.96605;             ;-3.87172; 4.02629
 17.96605;             ;-3.86935; 4.03415
 18.96605;-5.293708e-02;-3.87146; 4.04296
 19.96605;-5.293708e-02;-3.87144; 4.05448
 20.96605;      6.34377;-3.87372; 4.06316
 21.96605;      5.96876;-3.87463; 4.07272
 22.96605;      5.56922;-3.87514; 4.08391
 23.96605;      5.28073;-3.87625; 4.09350
 24.96605;      5.06298;-3.87701; 4.10352
 25.96605;      4.91678;-3.87672; 4.11382
 26.96605;      4.82783;-3.87873; 4.12140
 27.96605;      4.75756;-3.87853; 4.13382
 28.96605;      4.62488;-3.87817; 4.14361
 29.96605;      4.36583;-3.87658; 4.15489
 30.96605;      4.28985;-3.87271; 4.16653
 31.96605;      4.23777;-3.87331; 4.17673
 32.96605;      4.09325;-3.87257; 4.18678
 33.96605;      4.08066;-3.87361; 4.19488
 34.96605;      4.07908;-3.87585; 4.20742
 35.96605;      4.08174;-3.87438; 4.21852
 36.96605;      4.09633;-3.87583; 4.22592
 37.96605;      4.11152;-3.87414; 4.23543
 38.96605;      4.12373;-3.87194; 4.24522
 39.96605;      4.13435;-3.87054; 4.25540
 40.96605;      4.14406;-3.86905; 4.26365
 41.96605;      4.15124;-3.86981; 4.27494
 42.96605;      4.16021;-3.87112; 4.28157
 43.96605;      4.17007;-3.87119; 4.28618
 44.96605;      4.18106;-3.87342; 4.29234
 45.96605;      4.19418;-3.87096; 4.29645
 46.96605;      4.20625;-3.87029; 4.29535
 47.96605;      4.21909;-3.87011; 4.30028
 48.96605;      4.23265;-3.86889; 4.30574
 49.96605;      4.24571;-3.86850; 4.30367
 50.96605;      4.26139;-3.86775; 4.30715
 51.96605;      4.27499;-3.86560; 4.31016
 52.96605;      4.28989;-3.86620; 4.31492
 53.96605;      4.30360;-3.86442; 4.32142
 54.96605;      4.31696;-3.86360; 4.32778
 55.96605;      4.33271;-3.86326; 4.33498
 56.96605;      4.34534;-3.86087; 4.33789
 57.96605;      4.36067;-3.86086; 4.34208
 58.96605;      4.37556;-3.85804; 4.34742
 59.96605;      4.38916;-3.85546; 4.35159
 60.96605;      4.40494;-3.85445; 4.36016
 61.96605;      4.41726;-3.85151; 4.36884
 62.96605;      4.42991;-3.85251; 4.37590
 63.96605;      4.44387;-3.85145; 4.38208
 64.96605;      4.45614;-3.85116; 4.38770
 65.96605;      4.47093;-3.85118; 4.39406
 66.96605;      4.48363;-3.85114; 4.39971
 67.96605;      4.49541;-3.85313; 4.40580
 68.96605;      4.50880;-3.85530; 4.41277
 69.96605;      4.51998;-3.85656; 4.41999
 70.96605;      4.53247;-3.85894; 4.42920
 71.96605;      4.54551;-3.85895; 4.43670
 72.96605;      4.55732;-3.85811; 4.44575
 73.96605;      4.57110;-3.85724; 4.45584
 74.96605;      4.58289;-3.85570; 4.46717
 75.96605;      4.59302;-3.85831; 4.47802
 76.96605;      4.60433;-3.86120; 4.48840
 77.96605;      4.61328;-3.86528; 4.50187
 78.96605;      4.62566;-3.86699; 4.51155
 79.96605;      4.63731;-3.86697; 4.52075
 80.96605;      4.64839;-3.86700; 4.52951
 81.96605;      4.66166;-3.86698; 4.54212
 82.96605;      4.67292;-3.86563; 4.55213
 83.96605;      4.68341;-3.86604; 4.56112
 84.96605;      4.69395;-3.86439; 4.57297
 85.96605;      4.70250;-3.86198; 4.58082
 86.96605;      4.71343;-3.86167; 4.59223
 87.96605;      4.72260;-3.85876; 4.60048
 88.96605;      4.73173;-3.85834; 4.60980
 89.96605;      4.74210;-3.85586; 4.62278
 90.96605;      4.75159;-3.85482; 4.63156
 91.96605;      4.76121;-3.85518; 4.64448
 92.96605;      4.76983;-3.85590; 4.65243
 93.96605;      4.77861;-3.85734; 4.66359
 94.96605;      4.78870;-3.85817; 4.67505
 95.96605;      4.79813;-3.85822; 4.68239
 96.96605;      4.80805;-3.85747; 4.69111
 97.96605;      4.81876;-3.85411; 4.70134
 98.96605;      4.82814;-3.84981; 4.70755
 99.96605;      4.83935;-3.84829; 4.71674
100.96605;      4.85126;-3.84687; 4.72209
101.96605;      4.86395;-3.84735; 4.73280
102.96605;      4.87741;-3.84613; 4.73977
103.96605;      4.88487;-3.84364; 4.75166
104.96605;      4.89376;-3.84302; 4.76212
105.96605;      4.90231;-3.83954; 4.76913
106.96605;      4.91114;-3.83832; 4.77959
107.96605;      4.92206;-3.83660; 4.78915
108.96605;      4.93019;-3.83484; 4.79687
109.96605;      4.94054;-3.83475; 4.80693
110.96605;      4.94963;-3.83349; 4.81754
111.96605;      4.95775;-3.83361; 4.82577
112.96605;      4.96663;-3.83424; 4.83631
113.96605;      4.97527;-3.83219; 4.84607
114.96605;      4.98431;-3.83102; 4.85529
115.96605;      4.99470;-3.82848; 4.86533
116.96605;      5.00279;-3.82628; 4.87393
117.96605;      5.01237;-3.82428; 4.88358
118.96605;      5.02169;-3.81998; 4.89052
119.96605;      5.03007;-3.81707; 4.89741
120.96605;      5.03923;-3.81630; 4.90665
121.96605;      5.04750;-3.81365; 4.91531
122.96605;      5.05755;-3.81298; 4.92486
123.96605;      5.06866;-3.81014; 4.93658
124.96605;      5.07760;-3.81012; 4.94511
125.96605;      5.08881;-3.81205; 4.95867
126.96605;      5.09840;-3.81160; 4.96779
127.96605;      5.10908;-3.81383; 4.97660
128.96605;      5.11934;-3.81303; 4.98393
129.96605;      5.12790;-3.81215; 4.99231
130.96605;      5.13872;-3.81027; 5.00469
131.96605;      5.14802;-3.80649; 5.01465
132.96605;      5.15784;-3.80409; 5.02514
133.96605;      5.16898;-3.80395; 5.03600
134.96605;      5.17825;-3.80090; 5.04403
135.96605;      5.18936;-3.79920; 5.05655
136.96605;      5.19832;-3.79313; 5.06448
137.96605;      5.20651;-3.78961; 5.07137
138.96605;      5.21595;-3.78747; 5.08175
139.96605;      5.22449;-3.78525; 5.08973
140.96605;      5.23374;-3.78436; 5.09980
141.96605;      5.24459;-3.78479; 5.10944
142.96605;      5.25278;-3.78492; 5.11886
143.96605;      5.26336;-3.78802; 5.13117
144.96605;      5.27325;-3.78597; 5.14101
145.96605;      5.28353;-3.78417; 5.15003
146.96605;      5.29536;-3.78201; 5.15963
147.96605;      5.30384;-3.77830; 5.16994
148.96605;      5.31450;-3.77847; 5.17940
149.96605;      5.32482;-3.77676; 5.19110
150.96605;      5.33363;-3.77620; 5.20257
151.96605;      5.34511;-3.77574; 5.21528
152.96605;      5.35363;-3.77375; 5.22581
153.96605;      5.36542;-3.77365; 5.23656
154.96605;      5.37689;-3.77244; 5.24850
155.96605;      5.38508;-3.76992; 5.25697
156.96605;      5.39539;-3.76928; 5.26882
157.96605;      5.40319;-3.76784; 5.27903
158.96605;      5.41312;-3.76879; 5.28897
159.96605;      5.42530;-3.76849; 5.30008
160.96605;      5.43533;-3.76780; 5.31000
161.96605;      5.44757;-3.76884; 5.32279
162.96605;      5.45922;-3.77188; 5.33637
163.96605;      5.47012;-3.77169; 5.34554
164.96605;      5.48353;-3.77138; 5.36058
165.96605;      5.49358;-3.77055; 5.36955
166.96605;      5.50467;-3.77353; 5.38270
167.96605;      5.51506;-3.78163; 5.39249
168.96605;      5.52364;-3.78613; 5.40495
169.96605;      5.53209;-3.79834; 5.41663
170.96605;      5.53744;-3.79486; 5.42887
171.96605;      5.54254;-3.80764; 5.43985
172.96605;      5.55071;-3.82434; 5.45469
173.96605;      5.56221;-3.81987; 5.46542
174.96605;      5.57488;-3.84799; 5.47870
175.96605;      5.58667;-3.85407; 5.48927
176.96605;      5.59584;-3.88517; 5.49649
177.96605;      5.60687;-3.91237; 5.50808
178.96605;      5.61586;-3.93073; 5.51807
179.96605;      5.62610;-3.99255; 5.53318
180.96605;      5.63584;-4.03174; 5.54721
181.96605;      5.64448;-4.08532; 5.55779
182.96605;      5.65557;-4.16700; 5.57314
183.96605;      5.66387;-4.21637; 5.58550
184.96605;      5.67240;-4.27944; 5.60163
185.96605;      5.68227;-4.34879; 5.61553
186.96605;      5.69225;-4.41180; 5.63073
187.96605;      5.70539;-4.49147; 5.64038
188.96605;      5.71828;-4.54144; 5.65019
189.96605;      5.73122;-4.57383; 5.66093
190.96605;      5.74552;-4.60370; 5.67397
191.96605;      5.75610;-4.58041; 5.68535
192.96605;      5.76848;-4.55214; 5.69979
193.96605;      5.77940;-4.47458; 5.71119
194.96605;      5.79124;-4.37469; 5.72227
195.96605;      5.80540;-4.24970; 5.73491
196.96605;      5.81592;-4.08838; 5.74409
197.96605;      5.82757;-3.95168; 5.75710
198.96605;      5.83876;-3.83563; 5.76756
199.96605;      5.84992;-3.74968; 5.78051
200.96605;      5.86524;-3.70056; 5.79548
201.96605;      5.87927;-3.65909; 5.80728
202.96605;      5.89375;-3.64147; 5.81869
203.96605;      5.90825;-3.63361; 5.83116
204.96605;      5.91974;-3.62551; 5.84277
205.96605;      5.93196;-3.61727; 5.85770
206.96605;      5.94281;-3.61039; 5.87189
207.96605;      5.95245;-3.60323; 5.88846
208.96605;      5.96551;-3.59975; 5.90533
209.96605;      5.97604;-3.59496; 5.91377
210.96605;      5.99067;-3.59251; 5.92302
211.96605;      6.00637;-3.59106; 5.94142
212.96605;      6.02089;-3.58638; 5.96166
213.96605;      6.03666;-3.58399; 5.97873
214.96605;      6.04983;-3.58090; 6.00083
215.96605;      6.06603;-3.57507; 6.02019
216.96605;      6.08382;-3.57187; 6.04477
217.96605;      6.10230;-3.56567; 6.07501
218.96605;      6.12466;-3.56065; 6.08884
219.96605;      6.14496;-3.55681; 6.12245
220.96605;      6.16915;-3.55145; 6.14594
221.96605;      6.19789;-3.54769; 6.16484
222.96605;      6.22586;-3.54226; 6.20190
223.96605;      6.25840;-3.53708; 6.22767
224.96605;      6.29193;-3.53324; 6.25875
225.96605;      6.32567;-3.52817; 6.30154
226.96605;      6.36313;-3.52616; 6.34761
227.96605;      6.40528;-3.52244; 6.39092
228.96605;      6.45358;-3.51721; 6.43042
229.96605;      6.50113;-3.51421; 6.47297
230.96605;      6.55285;-3.50762; 6.51644
231.96605;      6.61192;-3.50409; 6.55078
232.96605;      6.66505;-3.49905; 6.59189
233.96605;      6.73203;-3.49445; 6.62457
234.96605;      6.79975;-3.49085; 6.65182
235.96605;      6.85608;-3.48557; 6.68006
236.96605;      6.92932;-3.47950; 6.70641
237.96605;      7.00231;-3.47421; 6.75271
238.96605;      7.05492;-3.46701; 6.79113
239.96605;      7.13248;-3.46221; 6.82237
240.96605;      7.17038;-3.45673; 6.85231
241.96605;      7.17723;-3.45144; 6.85979
242.96605;      7.14957;-3.44839; 6.84918
243.96605;      7.07128;-3.44420; 6.80199
244.96605;      6.95046;-3.44092; 6.73276
245.96605;      6.79257;-3.43662; 6.66598
246.96605;      6.64678;-3.43069; 6.57250
247.96605;      6.56238;-3.42822; 6.49003
248.96605;      6.50382;-3.42356; 6.44554
249.96605;      6.47501;-3.41820; 6.40947
250.96605;      6.45876;-3.41331; 6.40154
251.96605;      6.44480;-3.40411; 6.38672
252.96605;      6.45183;-3.39680; 6.37084
253.96605;      6.44935;-3.39015; 6.38483
254.96605;      6.45836;-3.38282; 6.38680
255.96605;      6.47607;-3.37752; 6.39670
256.96605;      6.47710;-3.37170; 6.40611
257.96605;      6.48251;-3.36651; 6.40930
258.96605;      6.48846;-3.36253; 6.42360
259.96605;      6.50985;-3.35657; 6.43129
260.96605;      6.52424;-3.35119; 6.44881
261.96605;      6.53323;-3.34218; 6.46050
262.96605;      6.54515;-3.33347; 6.47590
263.96605;      6.55795;-3.32583; 6.49038
264.96605;      6.57022;-3.31611; 6.50538
265.96605;      6.58488;-3.31004; 6.51952
266.96605;      6.59630;-3.30377; 6.52954
267.96605;      6.60599;-3.29769; 6.54478
268.96605;      6.61567;-3.29412; 6.55789
269.96605;      6.62615;-3.29662; 6.56933
270.96605;      6.64200;-3.31658; 6.58266
271.96605;      6.65765;-3.29037; 6.58975
272.96605;      6.67302;-3.27930; 6.60528
273.96605;      6.68901;-3.27939; 6.61810
274.96605;      6.69878;-3.26467; 6.62888
275.96605;      6.70962;-3.28335; 6.64541
276.96605;      6.71934;-3.26459; 6.65874
277.96605;      6.73143;-3.25789; 6.67389
278.96605;      6.74676;-3.27721; 6.68670
279.96605;      6.76038;-3.28941; 6.69877
280.96605;      6.77427;-3.25106; 6.71435
281.96605;      6.78992;-3.20704; 6.72886
282.96605;      6.80417;-3.10615; 6.74450
283.96605;      6.81846;-3.06496; 6.76745
284.96605;      6.82939;-2.95251; 6.78487
285.96605;      6.84166;-2.87697; 6.79910
286.96605;      6.85564;-2.79737; 6.81085
287.96605;      6.87005;-2.76525; 6.82582
288.96605;      6.88638;-2.85701; 6.84018
289.96605;      6.90364;-3.07129; 6.85387
290.96605;      6.92020;-3.42032; 6.87128
291.96605;      6.93791;-3.96306; 6.88583
292.96605;      6.95302;-4.65460; 6.90002
293.96605;      6.96413;-5.41328; 6.91706
294.96605;      6.97650;-6.23707; 6.93879
295.96605;      6.98542;-6.94597; 6.94870
296.96605;      6.99696;-7.39969; 6.95565
297.96605;      7.00816;-7.29948; 6.98456
298.96605;      7.01671;-3.20905; 6.98674

