#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        eb-PET-44.ngb-sdg            eb-PET-44.ngb-sdg            eb-PET-44.ngb-sdg           
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    eb-PET-44                    eb-PET-44                    eb-PET-44                   
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   16.01.2023 10:29             16.01.2023 10:29             16.01.2023 10:29            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#SENSITIVITY:                 13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    XG                           XG                           XG                          
#REMARK:                                                                                                            
#SAMPLE:                      eb-PET-44                    eb-PET-44                    eb-PET-44                   
#SAMPLE MASS /mg:             1.3                          1.3                          1.3                         
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       13-12-2022 14:34             13-12-2022 14:34             13-12-2022 14:34            
#CORR. CODE:                  050                          050                          050                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.05499;             ;-1.46963;-9.602926e-02
-48.05499;             ;-1.43102;      5.98117
-47.05499;             ;-1.26728;      5.97197
-46.05499;             ;-1.45593;      5.81487
-45.05499;             ;-1.73417;      5.62996
-44.05499;             ;-2.10576;      5.46321
-43.05499;             ;-2.60995;      5.31462
-42.05499;             ;-3.18635;      5.20415
-41.05499;             ;-3.78451;      4.98927
-40.05499;             ;-4.04739;      4.78090
-39.05499;             ;-4.03508;      4.49641
-38.05499;             ;-4.01852;      4.38453
-37.05499;             ;-4.01581;      4.29273
-36.05499;             ;-4.01763;      3.98011
-35.05499;             ;-4.01869;      4.00836
-34.05499;             ;-4.02276;      4.00333
-33.05499;             ;-4.02846;      4.03981
-32.05499;             ;-4.03382;      4.05229
-31.05499;             ;-4.04054;      4.05261
-30.05499;             ;-4.04310;      4.05021
-29.05499;             ;-4.04801;      4.03965
-28.05499;             ;-4.05239;      4.04035
-27.05499;             ;-4.05986;      4.04960
-26.05499;             ;-4.06774;      4.02946
-25.05499;             ;-4.07611;      4.03899
-24.05499;             ;-4.08076;      4.03968
-23.05499;             ;-4.08616;      4.03905
-22.05499;             ;-4.09336;      4.05531
-21.05499;             ;-4.09836;      4.05710
-20.05499;             ;-4.10168;      4.06195
-19.05499;             ;-4.10226;      4.07240
-18.05499;             ;-4.10652;      4.08630
-17.05499;             ;-4.10870;      4.09508
-16.05499;             ;-4.11212;      4.10486
-15.05499;             ;-4.11331;      4.11582
-14.05499;             ;-4.11664;      4.12348
-13.05499;             ;-4.12065;      4.13450
-12.05499;             ;-4.12355;      4.14776
-11.05499;             ;-4.12872;      4.15439
-10.05499;             ;-4.13192;      4.16741
 -9.05499;             ;-4.13566;      4.17969
 -8.05499;             ;-4.13931;      4.19243
 -7.05499;             ;-4.14061;      4.20612
 -6.05499;             ;-4.14051;      4.21709
 -5.05499;             ;-4.14030;      4.22911
 -4.05499;             ;-4.14066;      4.23907
 -3.05499;             ;-4.14442;      4.24905
 -2.05499;             ;-4.14923;      4.26392
 -1.05499;             ;-4.15566;      4.27682
 -0.05499;             ;-4.16035;      4.28560
  0.94501;             ;-4.16047;      4.29542
  1.94501;             ;-4.16257;      4.30618
  2.94501;             ;-4.16278;      4.32078
  3.94501;             ;-4.16537;      4.33085
  4.94501;             ;-4.16940;      4.34186
  5.94501;             ;-4.17100;      4.35737
  6.94501;             ;-4.17373;      4.36912
  7.94501;             ;-4.17448;      4.38058
  8.94501;             ;-4.17430;      4.39385
  9.94501;             ;-4.17616;      4.40695
 10.94501;             ;-4.17684;      4.42169
 11.94501;             ;-4.17702;      4.43403
 12.94501;             ;-4.18006;      4.44642
 13.94501;             ;-4.18008;      4.45897
 14.94501;             ;-4.18440;      4.46890
 15.94501;             ;-4.18429;      4.47832
 16.94501;             ;-4.18685;      4.48867
 17.94501;             ;-4.18839;      4.49956
 18.94501;-4.686379e-02;-4.18699;      4.51169
 19.94501;-4.686379e-02;-4.18636;      4.51919
 20.94501;      5.58619;-4.18657;      4.52763
 21.94501;      6.28919;-4.18772;      4.53207
 22.94501;      6.32073;-4.18919;      4.54178
